Year,MegaWatt
2512,638.1
2513,748.35
2514,872.7
2515,1028.8
2516,1199.3
2517,1256.3
2518,1406.6
2519,1652.1
2520,1873.4
2521,2100.6
2522,2255
2523,2417.4
2524,2588.7
2525,2838
2526,3204.3
2527,3547.3
2528,3878.4
2529,4180.9
2530,4733.9
2531,5444
2532,6232.7
2533,7093.7
2534,8045
2535,8876.9
2536,9730
2537,10708.8
2538,12267.9
2539,13310.9
2540,14506.3
2541,14179.9
2542,13712.4
2543,14918.3
2544,16126.4
2545,16681.1
2546,18121.4
2547,19325.8
2548,20537.5
2549,21064
2550,22586.1
2551,22568.2
2552,22044.9
2553,24009.9
2554,23900.21
2555,26121.1
2556,26598.14
2557,26942.1
