Date,GoldPrice
31/1/60,35.27
29/2/60,35.27
31/3/60,35.27
30/4/60,35.27
31/5/60,35.27
30/6/60,35.27
31/7/60,35.27
31/8/60,35.27
30/9/60,35.27
31/10/60,35.27
30/11/60,35.27
31/12/60,35.27
31/1/61,35.25
28/2/61,35.25
31/3/61,35.25
30/4/61,35.25
31/5/61,35.25
30/6/61,35.25
31/7/61,35.25
31/8/61,35.25
30/9/61,35.25
31/10/61,35.25
30/11/61,35.25
31/12/61,35.25
31/1/62,35.23
28/2/62,35.23
31/3/62,35.23
30/4/62,35.23
31/5/62,35.23
30/6/62,35.23
31/7/62,35.23
31/8/62,35.23
30/9/62,35.23
31/10/62,35.23
30/11/62,35.23
31/12/62,35.23
31/1/63,35.09
28/2/63,35.09
31/3/63,35.09
30/4/63,35.09
31/5/63,35.09
30/6/63,35.09
31/7/63,35.09
31/8/63,35.09
30/9/63,35.09
31/10/63,35.09
30/11/63,35.09
31/12/63,35.09
31/1/64,35.1
29/2/64,35.1
31/3/64,35.1
30/4/64,35.1
31/5/64,35.1
30/6/64,35.1
31/7/64,35.1
31/8/64,35.1
30/9/64,35.1
31/10/64,35.1
30/11/64,35.1
31/12/64,35.1
31/1/65,35.12
28/2/65,35.12
31/3/65,35.12
30/4/65,35.12
31/5/65,35.12
30/6/65,35.12
31/7/65,35.12
31/8/65,35.12
30/9/65,35.12
31/10/65,35.12
30/11/65,35.12
31/12/65,35.12
31/1/66,35.13
28/2/66,35.13
31/3/66,35.13
30/4/66,35.13
31/5/66,35.13
30/6/66,35.13
31/7/66,35.13
31/8/66,35.13
30/9/66,35.13
31/10/66,35.13
30/11/66,35.13
31/12/66,35.13
31/1/67,34.95
28/2/67,34.95
31/3/67,34.95
30/4/67,34.95
31/5/67,34.95
30/6/67,34.95
31/7/67,34.95
31/8/67,34.95
30/9/67,34.95
31/10/67,34.95
30/11/67,34.95
31/12/67,34.95
31/1/68,35.5
29/2/68,36
31/3/68,37
30/4/68,37.86
31/5/68,40.7
30/6/68,41.14
31/7/68,39.46
31/8/68,39.19
30/9/68,40.18
31/10/68,39.21
30/11/68,39.78
31/12/68,41.08
31/1/69,42.3
28/2/69,42.6
31/3/69,43.16
30/4/69,43.31
31/5/69,43.46
30/6/69,41.44
31/7/69,41.76
31/8/69,41.09
30/9/69,40.87
31/10/69,40.44
30/11/69,37.4
31/12/69,35.17
31/1/70,34.94
28/2/70,34.99
31/3/70,35.09
30/4/70,35.62
31/5/70,35.95
30/6/70,35.42
31/7/70,35.32
31/8/70,35.38
30/9/70,36.19
31/10/70,37.52
30/11/70,37.44
31/12/70,37.44
31/1/71,37.88
28/2/71,38.74
31/3/71,38.87
30/4/71,39.01
31/5/71,40.52
30/6/71,40.1
31/7/71,40.95
31/8/71,42.71
30/9/71,42.03
31/10/71,42.5
30/11/71,42.86
31/12/71,43.48
31/1/72,45.75
29/2/72,48.26
31/3/72,48.33
30/4/72,49.03
31/5/72,54.62
30/6/72,62.09
31/7/72,65.66
31/8/72,67.03
30/9/72,65.46
31/10/72,64.86
