Rk,Player,Tm,2017-18,2018-19
1,Stephen Curry,GSW,34682550.0,37457154.0
2,LeBron James,CLE,33285709.0,35607968.0
16,Kevin Durant,GSW,25000000.0,26250000.0
29,Kevin Love,CLE,22642350.0,24119025.0
41,George Hill,CLE,20000000.0,19000000.0
53,Klay Thompson,GSW,17826150.0,18988725.0
65,Draymond Green,GSW,16400000.0,17469565.0
66,Tristan Thompson,CLE,16400000.0,17469565.0
75,Andre Iguodala,GSW,14814815.0,16000000.0
87,J.R. Smith,CLE,13760000.0,14720000.0
108,Jordan Clarkson,CLE,11562500.0,12500000.0
146,Shaun Livingston,GSW,7692308.0,8307692.0
159,Kyle Korver,CLE,7000000.0,7560000.0
197,Nick Young,GSW,5192000.0,
239,Zaza Pachulia,GSW,3477600.0,
272,Cedi Osman,CLE,2642857.0,2775000.0
287,Rodney Hood,CLE,2386864.0,
299,David West,GSW,2328652.0,
301,Jose Calderon,CLE,2328652.0,
321,JaVale McGee,GSW,2116955.0,
322,Jeff Green,CLE,2116955.0,
325,Omri Casspi,GSW,2106470.0,
355,Ante Zizic,CLE,1645200.0,1952760.0
384,Larry Nance,CLE,1471382.0,2272391.0
395,Kevon Looney,GSW,1471382.0,
414,Damian Jones,GSW,1312611.0,1544951.0
427,Patrick McCaw,GSW,1312611.0,
458,Jason Thompson,GSW,945126.0,945126.0
461,Jordan Bell,GSW,815615.0,1378252.0
541,Okaro White,CLE,74159.0,
575,Marcus Thornton,CLE,46080.0,
