Title,Genre,GenreLabels,Premiere,Seasons,SeasonsParsed,EpisodesParsed,Length,MinLength,MaxLength,Status,Active,Table,Language
House of Cards,Political drama,"political,drama",1-Feb-13,"6 seasons, 73 episodes",6,73,42–59 min.,42,59 ,Ended,0,Drama,English
Hemlock Grove,Horror/thriller,"horror,thriller",19-Apr-13,"3 seasons, 33 episodes",3,33,45–58 min.,45,58 ,Ended,0,Drama,English
Orange Is the New Black,Comedy-drama,comedy-drama,11-Jul-13,"6 seasons, 78 episodes",6,78,50–92 min.,50,92 ,Renewed,1,Drama,English
Marco Polo,Historical drama,"historical,drama",12-Dec-14,"2 seasons, 20 episodes",2,20,48–65 min.,48,65 ,Ended,0,Drama,English
Bloodline,Thriller,thriller,20-Mar-15,"3 seasons, 33 episodes",3,33,48–68 min.,48,68 ,Ended,0,Drama,English
Sense8,Science fiction,science-fiction,5-Jun-15,"2 seasons, 24 episodes",2,24,45–152 min.,45,152 ,Ended,0,Drama,English
Narcos,Crime drama,"crime,drama",28-Aug-15,"3 seasons, 30 episodes",3,30,43–60 min.,43,60 ,Ended,0,Drama,English
Stranger Things,Science fiction/horror,"science-fiction,horror",15-Jul-16,"2 seasons, 17 episodes",2,17,42–62 min.,42,62 ,Renewed,1,Drama,English
The Get Down,Musical drama,"musical,drama",12-Aug-16,"2 parts, 11 episodes",0,11,50–93 min.,50,93 ,Ended,0,Drama,English
The Crown,Historical drama,"historical,drama",4-Nov-16,"2 seasons, 20 episodes",2,20,54–61 min.,54,61 ,Renewed,1,Drama,English
Gilmore Girls: A Year in the Life,Family drama,"family,drama",25-Nov-16,4 episodes,0,4 ,88–102 min.,88,102 ,Miniseries,0,Drama,English
The OA,Mystery,mystery,16-Dec-16,"2 parts, 16 episodes",0,16,31–71 min.,31,71 ,Pending,1,Drama,English
A Series of Unfortunate Events,Black-comedy mystery,"black-comedy,mystery",13-Jan-17,"3 seasons, 25 episodes",3,25,36–64 min.,36,64 ,Ended,0,Drama,English
13 Reasons Why,Teen drama/mystery,"teen,drama,mystery",31-Mar-17,"2 seasons, 26 episodes",2,26,49–70 min.,49,70 ,Renewed,1,Drama,English
Gypsy,Psychological thriller,"psychological,thriller",30-Jun-17,"1 season, 10 episodes",1,10,46–58 min.,46,58 ,Ended,0,Drama,English
Ozark,Crime drama,"crime,drama",21-Jul-17,"2 seasons, 20 episodes",2,20,52–80 min.,52,80 ,Renewed,1,Drama,English
Mindhunter,Crime drama,"crime,drama",13-Oct-17,"1 season, 10 episodes",1,10,34–60 min.,34,60 ,Renewed,1,Drama,English
Godless,Western,western,22-Nov-17,7 episodes,0,7 ,41–80 min.,41,80 ,Miniseries,0,Drama,English
Altered Carbon,Science fiction,science-fiction,2-Feb-18,"1 season, 10 episodes",1,10,46–66 min.,46,66 ,Renewed,1,Drama,English
Seven Seconds,Crime drama,"crime,drama",23-Feb-18,"1 season, 10 episodes",1,10,54–80 min.,54,80 ,Ended,0,Drama,English
Lost in Space,Science fiction,science-fiction,13-Apr-18,"1 season, 10 episodes",1,10,48–66 min.,48,66 ,Renewed,1,Drama,English
Insatiable,Dark comedy-drama,"dark,comedy-drama",10-Aug-18,"1 season, 12 episodes",1,12,40–53 min.,40,53 ,Renewed,1,Drama,English
