Date,Oil
31/1/03,30.71
28/2/03,32.63
31/3/03,27.22
30/4/03,23.72
31/5/03,26.71
30/6/03,27.11
31/7/03,27.52
31/8/03,28.9
30/9/03,26.82
31/10/03,27.17
30/11/03,28.45
31/12/03,29.87
31/1/04,28.68
29/2/04,31.13
31/3/04,31.49
30/4/04,33.99
31/5/04,36.17
30/6/04,32.68
31/7/04,38.69
31/8/04,38.15
30/9/04,43.39
31/10/04,43.39
30/11/04,39.77
31/12/04,36.43
31/1/05,40.95
28/2/05,46.26
31/3/05,50.23
30/4/05,47.9
31/5/05,47.6
30/6/05,52.01
31/7/05,54.2
31/8/05,61.1
30/9/05,58.02
31/10/05,52.99
30/11/05,49.69
31/12/05,53.47
31/1/06,60.4
28/2/06,56.01
31/3/06,61.17
30/4/06,65.48
31/5/06,64.88
30/6/06,67.29
31/7/06,68.42
31/8/06,65.18
30/9/06,57.38
31/10/06,53.37
30/11/06,58.71
31/12/06,55.97
31/1/07,52.62
28/2/07,56.69
31/3/07,63.79
30/4/07,64.26
31/5/07,64.45
30/6/07,68.02
31/7/07,72.56
31/8/07,69.7
30/9/07,77.43
31/10/07,84.76
30/11/07,85.72
31/12/07,90.7
31/1/08,87.92
29/2/08,96.35
31/3/08,98.63
30/4/08,107.33
31/5/08,121.68
30/6/08,136.03
31/7/08,122.48
31/8/08,111.23
30/9/08,90.32
31/10/08,57.43
30/11/08,47.22
31/12/08,35.58
31/1/09,42.02
28/2/09,43.23
31/3/09,46.65
30/4/09,50.36
31/5/09,63.71
30/6/09,69.56
31/7/09,68.59
31/8/09,70.37
30/9/09,65.55
31/10/09,75.56
30/11/09,76.21
31/12/09,77.16
31/1/10,71.01
28/2/10,74.6
31/3/10,78.7
30/4/10,84.13
31/5/10,71.88
30/6/10,72.49
31/7/10,74.43
31/8/10,72.39
30/9/10,77.48
31/10/10,79.42
30/11/10,83.65
31/12/10,88.99
31/1/11,95.53
28/2/11,108.5
31/3/11,111.42
30/4/11,120.35
31/5/11,111.2
30/6/11,107.5
31/7/11,112.18
31/8/11,111.4
30/9/11,101.57
31/10/11,107.12
30/11/11,110.38
31/12/11,106.84
31/1/12,111.21
29/2/12,120.79
31/3/12,120.89
30/4/12,117.2
31/5/12,101.06
30/6/12,92.99
31/7/12,102.22
31/8/12,111.17
30/9/12,109.68
31/10/12,106.16
30/11/12,108.59
31/12/12,107.76
31/1/13,112.3
28/2/13,108.62
31/3/13,107.23
30/4/13,100.65
31/5/13,98.78
30/6/13,100.78
31/7/13,104.97
31/8/13,111.55
30/9/13,105.61
31/10/13,106.75
30/11/13,107.07
31/12/13,107.94
31/1/14,104.45
28/2/14,105.92
31/3/14,104.08
30/4/14,103.95
31/5/14,105.91
30/6/14,108.59
31/7/14,103.6
31/8/14,99.99
30/9/14,94.17
31/10/14,81.97
30/11/14,68.89
31/12/14,52
31/1/15,44.83
28/2/15,56.83
31/3/15,51.06
30/4/15,62.21
31/5/15,60.47
30/6/15,58.79
31/7/15,50.51
31/8/15,47.01
30/9/15,43.58
31/10/15,43.66
30/11/15,38.93
31/12/15,31.27
31/1/16,29.11
29/2/16,30.13
31/3/16,34.33
30/4/16,42.7
31/5/16,45.15
30/6/16,46.27
31/7/16,38.97
31/8/16,43.91
30/9/16,44.63
31/10/16,45.83
30/11/16,44.8
31/12/16,53.3
31/1/17,52.19
28/2/17,53.4
31/3/17,50.43
30/4/17,49.33
31/5/17,48.69
30/6/17,45.63
31/7/17,49.97
31/8/17,49.36
30/9/17,55.2
31/10/17,58.53
30/11/17,61.06
31/12/17,64.47
31/1/18,66.28
28/2/18,63.97
31/3/18,65.87
30/4/18,71.01
31/5/18,75.17
30/6/18,74.23
