id,item,description
1,Master Ball,"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail."
2,Ultra Ball,An ultra-high-performance Poké Ball that provides a higher success rate for catching Pokémon than a Great Ball.
3,Great Ball,"A good, high-performance Poké Ball that provides a higher Pokémon catch rate than a standard Poké Ball."
4,Poké Ball,"A device for catching wild Pokémon. It’s thrown like a ball at a Pokémon, comfortably encapsulating its target."
5,Safari Ball,A special Poké Ball that is used only in the Great Marsh. It is recognizable by the camouflage pattern decorating it.
6,Net Ball,A somewhat different Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.
7,Dive Ball,A somewhat different Poké Ball that works especially well when catching Pokémon that live underwater.
8,Nest Ball,A somewhat different Poké Ball that becomes more effective the lower the level of the wild Pokémon.
9,Repeat Ball,A somewhat different Poké Ball that works especially well on a Pokémon species that has been caught before.
10,Timer Ball,A somewhat different Poké Ball that becomes progressively more effective the more turns that are taken in battle.
11,Luxury Ball,A particularly comfortable Poké Ball that makes a wild Pokémon quickly grow friendlier after being caught.
12,Premier Ball,A somewhat rare Poké Ball that was made as a commemorative item used to celebrate an event of some sort.
13,Dusk Ball,A somewhat different Poké Ball that makes it easier to catch wild Pokémon at night or in dark places like caves.
14,Heal Ball,A remedial Poké Ball that restores the HP of a Pokémon caught with it and eliminates any status conditions.
15,Quick Ball,A somewhat different Poké Ball that has a more successful catch rate if used at the start of a wild encounter.
16,Cherish Ball,A quite rare Poké Ball that has been crafted in order to commemorate a special occasion of some sort.
17,Potion,A spray-type medicine for treating wounds. It can be used to restore 20 HP to an injured Pokémon.
18,Antidote,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
19,Burn Heal,A spray-type medicine for treating burns. It can be used once to heal a Pokémon suffering from a burn.
20,Ice Heal,A spray-type medicine for freezing. It can be used once to defrost a Pokémon that has been frozen solid.
21,Awakening,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
