ndex,species,forme,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35,move36,move37,move38,move39,move40,move41,move42,move43,move44,move45,move46,move47,move48,move49,move50,move51,move52,move53,move54,move55,move56,move57,move58,move59,move60,move61,move62,move63,move64,move65,move66,move67,move68,move69,move70,move71,move72,move73,move74,move75,move76,move77,move78,move79,move80,move81,move82,move83,move84,move85,move86,move87,move88,move89,move90,move91,move92,move93,move94,move95,move96,move97,move98,move99,move100,move101,move102,move103,move104,move105,move106,move107,move108,move109,move110,move111,move112,move113,move114,move115,move116,move117,move118,move119,move120,move121,move122,move123,move124,move125,move126,move127,move128,move129,move130,move131,move132,move133,move134,move135,move136,move137,move138,move139,move140,move141,move142,move143,move144,move145,move146,move147,move148,move149,move150,move151,move152,move153,move154,move155,move156,move157,move158,move159,move160,move161,move162,move163,move164,move165,move166,move167,move168,move169,move170,move171,move172,move173,move174
1,Bulbasaur,Bulbasaur,Start - Tackle,L3 - Growl,L7 - Vine Whip,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L19 - Razor Leaf,L21 - Sweet Scent,L25 - Growth,L27 - Double-Edge,L31 - Worry Seed,L33 - Synthesis,L37 - Seed Bomb,TM01 - Work Up,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM53 - Energy Ball,TM75 - Swords Dance,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Tutor - Frenzy Plant,Egg - Skull Bash,Egg - Charm,Egg - Petal Dance,Egg - Magical Leaf,Egg - Grass Whistle,Egg - Curse,Egg - Ingrain,Egg - Nature Power,Egg - Amnesia,Egg - Leaf Storm,Egg - Power Whip,Egg - Sludge,Egg - Endure,Egg - Giga Drain,Egg - Grassy Terrain,ORAS - Seed Bomb,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivysaur,Ivysaur,Start - Tackle,Start - Growl,Start - Leech Seed,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L36 - Worry Seed,L39 - Synthesis,L44 - Solar Beam,TM01 - Work Up,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM27 - Return,TM32 - Double Team,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM53 - Energy Ball,TM75 - Swords Dance,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Tutor - Frenzy Plant,Egg - Skull Bash,Egg - Charm,Egg - Petal Dance,Egg - Magical Leaf,Egg - Grass Whistle,Egg - Curse,Egg - Ingrain,Egg - Nature Power,Egg - Amnesia,Egg - Leaf Storm,Egg - Power Whip,Egg - Sludge,Egg - Endure,Egg - Giga Drain,Egg - Grassy Terrain,ORAS - Seed Bomb,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,Prev - Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,Venusaur,Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM53 - Energy Ball,TM68 - Giga Impact,TM75 - Swords Dance,TM78 - Bulldoze,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Tutor - Frenzy Plant,Tutor - Grass Pledge,Egg - Skull Bash,Egg - Charm,Egg - Petal Dance,Egg - Magical Leaf,Egg - Grass Whistle,Egg - Curse,Egg - Ingrain,Egg - Nature Power,Egg - Amnesia,Egg - Leaf Storm,Egg - Power Whip,Egg - Sludge,Egg - Endure,Egg - Giga Drain,Egg - Grassy Terrain,ORAS - Seed Bomb,ORAS - Block,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,ORAS - Outrage,Prev - Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,Venusaur (Mega Venusaur),Start - Petal Dance,Start - Tackle,Start - Growl,Start - Leech Seed,Start - Vine Whip,L3 - Growl,L7 - Leech Seed,L9 - Vine Whip,L13 - Poison Powder,L13 - Sleep Powder,L15 - Take Down,L20 - Razor Leaf,L23 - Sweet Scent,L28 - Growth,L31 - Double-Edge,L39 - Worry Seed,L45 - Synthesis,L50 - Petal Blizzard,L53 - Solar Beam,TM01 - Work Up,TM05 - Roar,TM06 - Toxic,TM09 - Venoshock,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM20 - Safeguard,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM32 - Double Team,TM36 - Sludge Bomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM53 - Energy Ball,TM68 - Giga Impact,TM75 - Swords Dance,TM78 - Bulldoze,TM86 - Grass Knot,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM96 - Nature Power,TM100 - Confide,Tutor - Frenzy Plant,Tutor - Grass Pledge,Egg - Skull Bash,Egg - Charm,Egg - Petal Dance,Egg - Magical Leaf,Egg - Grass Whistle,Egg - Curse,Egg - Ingrain,Egg - Nature Power,Egg - Amnesia,Egg - Leaf Storm,Egg - Power Whip,Egg - Sludge,Egg - Endure,Egg - Giga Drain,Egg - Grassy Terrain,ORAS - Seed Bomb,ORAS - Block,ORAS - Bind,ORAS - Snore,ORAS - Knock Off,ORAS - Synthesis,ORAS - Giga Drain,ORAS - Worry Seed,ORAS - Outrage,Prev - Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charmander,Charmander,Start - Scratch,Start - Growl,L7 - Ember,L10 - Smokescreen,L16 - Dragon Rage,L19 - Scary Face,L25 - Fire Fang,L28 - Flame Burst,L34 - Slash,L37 - Flamethrower,L43 - Fire Spin,L46 - Inferno,TM01 - Work Up,TM02 - Dragon Claw,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM50 - Overheat,TM56 - Fling,TM61 - Will-O-Wisp,TM65 - Shadow Claw,TM75 - Swords Dance,TM80 - Rock Slide,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Tutor - Blast Burn,Egg - Belly Drum,Egg - Ancient Power,Egg - Bite,Egg - Outrage,Egg - Beat Up,Egg - Dragon Dance,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Focus Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charmeleon,Charmeleon,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L39 - Slash,L43 - Flamethrower,L50 - Fire Spin,L54 - Inferno,TM01 - Work Up,TM02 - Dragon Claw,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM17 - Protect,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM50 - Overheat,TM56 - Fling,TM61 - Will-O-Wisp,TM65 - Shadow Claw,TM75 - Swords Dance,TM80 - Rock Slide,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Tutor - Blast Burn,Egg - Belly Drum,Egg - Ancient Power,Egg - Bite,Egg - Outrage,Egg - Beat Up,Egg - Dragon Dance,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Focus Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,Charizard,Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM50 - Overheat,TM51 - Steel Wing,TM52 - Focus Blast,TM56 - Fling,TM58 - Sky Drop,TM59 - Brutal Swing,TM61 - Will-O-Wisp,TM65 - Shadow Claw,TM68 - Giga Impact,TM75 - Swords Dance,TM76 - Fly,TM78 - Bulldoze,TM80 - Rock Slide,TM82 - Dragon Tail,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Tutor - Blast Burn,Tutor - Fire Pledge,Egg - Belly Drum,Egg - Ancient Power,Egg - Bite,Egg - Outrage,Egg - Beat Up,Egg - Dragon Dance,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,Charizard (Mega Charizard X),Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM50 - Overheat,TM51 - Steel Wing,TM52 - Focus Blast,TM56 - Fling,TM58 - Sky Drop,TM59 - Brutal Swing,TM61 - Will-O-Wisp,TM65 - Shadow Claw,TM68 - Giga Impact,TM75 - Swords Dance,TM76 - Fly,TM78 - Bulldoze,TM80 - Rock Slide,TM82 - Dragon Tail,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Tutor - Blast Burn,Tutor - Fire Pledge,Egg - Belly Drum,Egg - Ancient Power,Egg - Bite,Egg - Outrage,Egg - Beat Up,Egg - Dragon Dance,Egg - Crunch,Egg - Dragon Rush,Egg - Metal Claw,Egg - Flare Blitz,Egg - Counter,Egg - Dragon Pulse,Egg - Focus Punch,Egg - Air Cutter,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,Charizard (Mega Charizard Y),Start - Wing Attack,Start - Flare Blitz,Start - Heat Wave,Start - Dragon Claw,Start - Shadow Claw,Start - Air Slash,Start - Scratch,Start - Growl,Start - Ember,L7 - Ember,L10 - Smokescreen,L17 - Dragon Rage,L21 - Scary Face,L28 - Fire Fang,L32 - Flame Burst,L41 - Slash,L47 - Flamethrower,L56 - Fire Spin,L62 - Inferno,L71 - Heat Wave,L77 - Flare Blitz,TM01 - Work Up,TM02 - Dragon Claw,TM05 - Roar,TM06 - Toxic,TM10 - Hidden Power,TM11 - Sunny Day,TM15 - Hyper Beam,TM17 - Protect,TM19 - Roost,TM21 - Frustration,TM22 - Solar Beam,TM26 - Earthquake,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM35 - Flamethrower,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM42 - Facade,TM43 - Flame Charge,TM44 - Rest,TM45 - Attract,TM48 - Round,TM49 - Echoed Voice,TM50 - Overheat,TM51 - Steel Wing,TM52 - Focus Blast,TM56 - Fling,TM58 - Sky Drop,TM59 - Brutal Swing,TM61 - Will-O-Wisp,TM65 - Shadow Claw,TM68 - Giga Impact,TM75 - Swords Dance,TM76 - Fly,TM78 - Bulldoze,TM80 - Rock Slide,TM82 - Dragon Tail,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM100 - Confide,Tutor - Blast Burn,Tutor - Fire Pledge,ORAS - Thunder Punch,ORAS - Fire Punch,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Heat Wave,ORAS - Tailwind,ORAS - Air Cutter,ORAS - Focus Punch,ORAS - Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirtle,Squirtle,Start - Tackle,L4 - Tail Whip,L7 - Water Gun,L10 - Withdraw,L13 - Bubble,L16 - Bite,L19 - Rapid Spin,L22 - Protect,L25 - Water Pulse,L28 - Aqua Tail,L31 - Skull Bash,L34 - Iron Defense,L37 - Rain Dance,L40 - Hydro Pump,TM01 - Work Up,TM06 - Toxic,TM07 - Hail,TM10 - Hidden Power,TM13 - Ice Beam,TM14 - Blizzard,TM17 - Protect,TM18 - Rain Dance,TM21 - Frustration,TM27 - Return,TM31 - Brick Break,TM32 - Double Team,TM39 - Rock Tomb,TM42 - Facade,TM44 - Rest,TM45 - Attract,TM48 - Round,TM55 - Scald,TM56 - Fling,TM74 - Gyro Ball,TM87 - Swagger,TM88 - Sleep Talk,TM90 - Substitute,TM94 - Surf,TM98 - Waterfall,TM100 - Confide,Tutor - Hydro Cannon,Egg - Mirror Coat,Egg - Haze,Egg - Mist,Egg - Foresight,Egg - Flail,Egg - Refresh,Egg - Mud Sport,Egg - Yawn,Egg - Muddy Water,Egg - Fake Out,Egg - Aqua Ring,Egg - Aqua Jet,Egg - Water Spout,Egg - Brine,Egg - Dragon Pulse,Egg - Aura Sphere,ORAS - Ice Punch,ORAS - Iron Defense,ORAS - Icy Wind,ORAS - Aqua Tail,ORAS - Zen Headbutt,ORAS - Dragon Pulse,ORAS - Iron Tail,ORAS - Snore,ORAS - Focus Punch,ORAS - Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
