Province	2556	2555	2554	2553	2552	2551	2550	2549	2548	2547	2546	2545
กรุงเทพมหานคร	5,686,252	5,673,560	5,674,843	5,701,394	5,702,595	5,710,883	5,716,248	5,695,956	5,658,953	5,634,132	5,844,607	5,782,159
นครราชสีมา	2,610,164	2,601,167	2,585,325	2,582,089	2,571,292	2,565,117	2,552,894	2,555,346	2,546,763	2,539,344	2,591,050	2,581,244
อุบลราชธานี	1,836,523	1,826,920	1,816,057	1,813,088	1,803,754	1,795,453	1,785,709	1,783,035	1,774,808	1,763,061	1,805,322	1,792,774
ขอนแก่น	1,781,655	1,774,816	1,766,066	1,767,601	1,762,242	1,756,101	1,752,414	1,749,935	1,747,542	1,741,749	1,770,605	1,767,643
เชียงใหม่	1,666,888	1,655,642	1,646,144	1,640,479	1,632,548	1,670,317	1,664,399	1,661,020	1,650,009	1,630,769	1,603,220	1,595,855
บุรีรัมย์	1,573,438	1,566,740	1,559,085	1,553,765	1,546,784	1,541,650	1,536,070	1,536,045	1,531,430	1,524,261	1,554,009	1,545,779
อุดรธานี	1,563,964	1,557,298	1,548,107	1,544,786	1,538,940	1,535,629	1,530,686	1,526,722	1,523,802	1,518,502	1,542,071	1,535,471
นครศรีธรรมราช	1,541,843	1,534,887	1,526,071	1,522,561	1,516,499	1,513,163	1,506,997	1,509,378	1,504,420	1,500,343	1,531,072	1,533,894
ศรีสะเกษ	1,462,028	1,458,370	1,452,203	1,452,471	1,446,345	1,441,412	1,443,011	1,446,494	1,443,975	1,440,404	1,465,538	1,458,969
ชลบุรี	1,390,354	1,364,002	1,338,656	1,316,293	1,289,590	1,264,687	1,233,446	1,205,574	1,172,432	1,142,985	1,157,111	1,129,886
สงขลา	1,389,890	1,378,574	1,367,010	1,357,023	1,343,954	1,335,768	1,324,915	1,314,395	1,302,421	1,281,509	1,294,442	1,271,067
สุรินทร์	1,388,194	1,386,277	1,380,399	1,381,761	1,377,827	1,375,560	1,372,672	1,375,567	1,374,700	1,371,429	1,406,612	1,399,377
ร้อยเอ็ด	1,308,958	1,308,570	1,305,058	1,309,708	1,308,159	1,307,212	1,308,589	1,309,939	1,310,672	1,310,250	1,322,389	1,322,864
สมุทรปราการ	1,241,610	1,223,302	1,203,223	1,185,180	1,164,105	1,147,224	1,126,940	1,104,766	1,077,523	1,049,416	1,045,850	1,027,719
เชียงราย	1,204,660	1,200,423	1,198,656	1,198,218	1,194,933	1,227,317	1,225,013	1,231,002	1,225,058	1,214,405	1,214,913	1,274,214
นนทบุรี	1,156,271	1,141,673	1,122,627	1,101,743	1,078,071	1,052,592	1,024,191	996,072	972,280	942,292	924,890	905,197
ชัยภูมิ	1,135,723	1,133,034	1,127,423	1,127,423	1,125,166	1,122,647	1,119,597	1,118,986	1,116,934	1,117,118	1,138,944	1,136,508
สกลนคร	1,134,322	1,129,174	1,123,351	1,122,905	1,118,449	1,116,034	1,113,064	1,108,624	1,104,106	1,101,619	1,113,720	1,107,752
นครสวรรค์	1,073,142	1,073,347	1,071,686	1,073,495	1,072,868	1,074,239	1,073,683	1,075,573	1,077,808	1,077,458	1,126,739	1,130,841
ปทุมธานี	1,053,158	1,033,837	1,010,898	985,643	956,376	929,250	896,843	856,790	815,402	769,998	739,404	708,909
สุราษฎร์ธานี	1,031,812	1,023,288	1,012,064	1,000,383	994,221	983,486	970,424	951,174	947,349	938,253	935,512	920,283
เพชรบูรณ์	994,397	993,702	990,807	996,031	995,125	996,231	997,531	1,002,159	1,002,459	1,001,180	1,052,286	1,040,786
กาฬสินธุ์	984,030	985,084	981,655	982,578	980,158	978,583	977,508	975,276	973,556	971,293	994,600	990,212
มหาสารคาม	955,644	945,149	939,736	940,911	939,090	936,854	936,005	937,402	936,883	935,051	944,385	942,909
นครปฐม	882,184	874,616	866,064	860,246	851,426	843,599	830,970	820,704	808,961	798,016	812,404	801,956
พิษณุโลก	856,376	854,372	851,357	849,692	845,561	843,995	841,683	844,620	840,970	841,524	867,356	867,685
ราชบุรี	850,162	846,631	842,684	839,075	844,962	835,861	831,438	828,779	823,494	815,077	833,734	830,275
สุพรรณบุรี	848,066	847,308	845,053	845,850	844,590	844,498	842,584	843,868	842,613	840,055	868,681	863,304
กาญจนบุรี	842,882	838,269	838,914	839,776	833,423	840,905	835,282	835,927	826,169	810,265	797,339	801,836
พระนครศรีอยุธยา	797,970	793,509	787,653	782,096	775,157	769,126	760,712	753,986	746,919	740,397	751,259	748,243
ลพบุรี	757,970	758,059	756,127	755,854	754,452	753,801	749,821	751,431	751,951	749,484	768,516	767,985
นราธิวาส	766,145	757,397	747,372	737,162	728,071	719,930	711,517	706,620	700,525	693,775	708,241	699,951
ลำปาง	754,862	756,811	757,534	761,949	764,498	767,615	770,613	794,266	776,726	778,926	797,216	800,775
กำแพงเพชร	728,631	727,555	726,009	727,093	726,846	726,213	725,994	728,313	728,265	726,436	774,225	768,130
นครพนม	710,860	708,350	704,768	703,392	700,690	699,364	697,105	695,269	693,594	691,160	710,440	721,540
ฉะเชิงเทรา	690,226	685,721	679,370	673,933	668,983	664,830	658,966	653,731	647,610	643,432	652,501	649,758
ปัตตานี	678,838	671,615	663,485	655,259	647,624	642,169	637,806	636,164	634,376	629,861	634,619	627,955
ระยอง	661,220	649,275	637,736	626,402	612,095	598,664	583,470	572,254	559,135	543,887	556,733	546,570
ตรัง	636,043	631,920	626,708	622,659	618,675	614,869	610,332	607,078	602,045	596,087	608,044	603,072
เลย	632,205	629,787	624,920	624,066	620,780	618,423	615,538	613,070	612,422	610,472	624,087	635,587
สระบุรี	629,261	625,689	620,454	617,384	612,707	621,640	615,756	608,612	601,938	595,870	625,574	621,994
สุโขทัย	602,713	602,601	601,504	601,778	602,813	603,817	605,301	608,965	610,361	611,379	621,693	625,099
สระแก้ว	550,937	548,342	545,596	544,100	542,451	541,425	539,137	538,492	536,977	536,204	541,441	539,107
พิจิตร	548,855	549,395	549,688	552,690	553,193	554,112	554,740	558,012	558,794	560,427	597,882	591,953
ยโสธร	540,383	540,267	538,853	539,257	539,134	539,284	539,542	540,832	541,264	541,320	552,948	553,864
ตาก	532,353	526,045	531,018	525,684	519,662	538,330	530,928	531,712	522,197	515,877	498,714	507,371
จันทบุรี	524,260	521,812	516,855	514,616	511,246	508,020	504,003	502,392	498,159	494,001	511,587	506,011
ประจวบคีรีขันธ์	520,271	517,050	512,568	509,134	504,063	500,378	494,588	493,946	486,797	479,688	492,480	488,477
สมุทรสาคร	519,457	508,812	499,098	491,887	484,606	478,146	469,934	461,792	452,017	442,687	448,199	442,914
พัทลุง	518,021	514,492	511,063	509,534	507,777	505,129	502,563	502,940	500,501	498,297	504,597	504,454
หนองคาย	514,943	512,439	509,870	509,395	907,250	906,877	902,618	899,033	896,099	895,722	913,275	909,543
หนองบัวลำภู	507,137	505,071	502,551	502,868	500,913	499,520	497,603	496,676	496,657	494,594	500,002	498,513
ยะลา	506,138	500,814	493,767	487,380	480,334	475,527	470,691	461,792	464,121	459,868	465,446	459,659
ชุมพร	498,294	495,310	492,182	489,964	487,744	484,722	481,298	478,956	475,763	472,068	477,116	473,818
พะเยา	486,744	488,120	486,472	486,304	487,120	487,386	486,579	486,476	486,889	488,343	501,509	508,554
น่าน	477,912	477,673	476,612	476,363	475,614	475,984	477,381	477,721	478,080	477,754	482,181	487,742
ปราจีนบุรี	476,167	473,770	469,652	466,572	461,854	459,379	454,988	453,263	449,621	445,944	453,935	452,822
เพชรบุรี	471,087	468,874	466,079	464,033	461,239	458,975	456,061	456,175	453,982	451,029	461,738	461,339
อุตรดิตถ์	460,995	461,294	461,040	462,618	462,951	464,205	465,277	467,446	469,387	469,944	481,640	484,984
แพร่	456,074	457,607	458,750	460,756	462,090	464,205	465,876	468,767	471,447	473,361	482,232	485,121
กระบี่	450,890	444,967	438,039	432,704	426,556	418,705	410,634	402,559	395,665	387,752	384,416	377,954
บึงกาฬ	416,236	412,613	407,634	403,542								
ลำพูน	405,268	404,673	403,952	404,560	404,693	405,125	405,157	405,876	404,727	404,780	409,041	407,202
อำนาจเจริญ	374,698	373,494	372,241	372,137	370,804	369,476	368,915	368,894	368,791	367,514	370,627	370,360
ภูเก็ต	369,522	360,905	353,847	345,067	335,913	327,006	315,498	299,768	292,245	285,901	278,480	270,438
มุกดาหาร	344,302	342,868	340,581	339,575	338,048	337,497	336,107	338,770	334,113	332,563	339,074	338,276
ชัยนาท	332,769	333,172	333,256	334,934	335,420	335,952	337,147	339,139	340,129	341,493	349,216	350,547
อุทัยธานี	329,536	328,950	328,034	327,959	327,871	327,586	326,975	335,359	326,731	326,001	339,483	336,176
สตูล	309,793	305,879	301,467	297,163	293,101	288,409	284,482	281,126	277,865	273,546	273,702	270,802
อ่างทอง	283,732	283,882	284,061	284,970	284,807	284,831	284,406	284,105	283,778	282,967	290,825	290,423
พังงา	259,420	257,493	254,931	253,112	251,657	249,933	246,887	245,295	241,442	239,064	240,725	239,401
นครนายก	256,085	255,174	253,831	252,734	251,683	250,753	248,496	250,140	250,779	248,592	251,877	251,064
แม่ฮ่องสอน	246,549	244,356	244,048	242,742	241,847	252,692	254,804	256,338	253,609	243,735	238,241	240,014
ตราด	224,010	222,855	222,013	220,921	220,008	221,827	220,543	220,472	219,135	217,950	225,021	225,295
สิงห์บุรี	212,690	213,216	213,587	214,661	215,299	215,551	215,653	217,055	217,744	220,121	222,728	223,352
สมุทรสงคราม	194,116	194,042	194,086	194,057	193,647	194,054	194,212	195,143	195,068	195,218	203,998	205,135
ระนอง	174,776	182,648	183,849	183,079	181,754	182,729	180,787	181,588	178,122	176,372	163,436	163,160
