Province,2556,2555,2554,2553,2552,2551,2550,2549,2548,2547,2546,2545
กรุงเทพมหานคร,5686252,5673560,5674843,5701394,5702595,5710883,5716248,5695956,5658953,5634132,5844607,5782159
นครราชสีมา,2610164,2601167,2585325,2582089,2571292,2565117,2552894,2555346,2546763,2539344,2591050,2581244
อุบลราชธานี,1836523,1826920,1816057,1813088,1803754,1795453,1785709,1783035,1774808,1763061,1805322,1792774
ขอนแก่น,1781655,1774816,1766066,1767601,1762242,1756101,1752414,1749935,1747542,1741749,1770605,1767643
เชียงใหม่,1666888,1655642,1646144,1640479,1632548,1670317,1664399,1661020,1650009,1630769,1603220,1595855
บุรีรัมย์,1573438,1566740,1559085,1553765,1546784,1541650,1536070,1536045,1531430,1524261,1554009,1545779
อุดรธานี,1563964,1557298,1548107,1544786,1538940,1535629,1530686,1526722,1523802,1518502,1542071,1535471
นครศรีธรรมราช,1541843,1534887,1526071,1522561,1516499,1513163,1506997,1509378,1504420,1500343,1531072,1533894
ศรีสะเกษ,1462028,1458370,1452203,1452471,1446345,1441412,1443011,1446494,1443975,1440404,1465538,1458969
ชลบุรี,1390354,1364002,1338656,1316293,1289590,1264687,1233446,1205574,1172432,1142985,1157111,1129886
สงขลา,1389890,1378574,1367010,1357023,1343954,1335768,1324915,1314395,1302421,1281509,1294442,1271067
สุรินทร์,1388194,1386277,1380399,1381761,1377827,1375560,1372672,1375567,1374700,1371429,1406612,1399377
ร้อยเอ็ด,1308958,1308570,1305058,1309708,1308159,1307212,1308589,1309939,1310672,1310250,1322389,1322864
สมุทรปราการ,1241610,1223302,1203223,1185180,1164105,1147224,1126940,1104766,1077523,1049416,1045850,1027719
เชียงราย,1204660,1200423,1198656,1198218,1194933,1227317,1225013,1231002,1225058,1214405,1214913,1274214
นนทบุรี,1156271,1141673,1122627,1101743,1078071,1052592,1024191,996072,972280,942292,924890,905197
ชัยภูมิ,1135723,1133034,1127423,1127423,1125166,1122647,1119597,1118986,1116934,1117118,1138944,1136508
สกลนคร,1134322,1129174,1123351,1122905,1118449,1116034,1113064,1108624,1104106,1101619,1113720,1107752
นครสวรรค์,1073142,1073347,1071686,1073495,1072868,1074239,1073683,1075573,1077808,1077458,1126739,1130841
ปทุมธานี,1053158,1033837,1010898,985643,956376,929250,896843,856790,815402,769998,739404,708909
สุราษฎร์ธานี,1031812,1023288,1012064,1000383,994221,983486,970424,951174,947349,938253,935512,920283
เพชรบูรณ์,994397,993702,990807,996031,995125,996231,997531,1002159,1002459,1001180,1052286,1040786
กาฬสินธุ์,984030,985084,981655,982578,980158,978583,977508,975276,973556,971293,994600,990212
มหาสารคาม,955644,945149,939736,940911,939090,936854,936005,937402,936883,935051,944385,942909
นครปฐม,882184,874616,866064,860246,851426,843599,830970,820704,808961,798016,812404,801956
พิษณุโลก,856376,854372,851357,849692,845561,843995,841683,844620,840970,841524,867356,867685
ราชบุรี,850162,846631,842684,839075,844962,835861,831438,828779,823494,815077,833734,830275
สุพรรณบุรี,848066,847308,845053,845850,844590,844498,842584,843868,842613,840055,868681,863304
กาญจนบุรี,842882,838269,838914,839776,833423,840905,835282,835927,826169,810265,797339,801836
พระนครศรีอยุธยา,797970,793509,787653,782096,775157,769126,760712,753986,746919,740397,751259,748243
ลพบุรี,757970,758059,756127,755854,754452,753801,749821,751431,751951,749484,768516,767985
นราธิวาส,766145,757397,747372,737162,728071,719930,711517,706620,700525,693775,708241,699951
ลำปาง,754862,756811,757534,761949,764498,767615,770613,794266,776726,778926,797216,800775
กำแพงเพชร,728631,727555,726009,727093,726846,726213,725994,728313,728265,726436,774225,768130
นครพนม,710860,708350,704768,703392,700690,699364,697105,695269,693594,691160,710440,721540
ฉะเชิงเทรา,690226,685721,679370,673933,668983,664830,658966,653731,647610,643432,652501,649758
ปัตตานี,678838,671615,663485,655259,647624,642169,637806,636164,634376,629861,634619,627955
ระยอง,661220,649275,637736,626402,612095,598664,583470,572254,559135,543887,556733,546570
ตรัง,636043,631920,626708,622659,618675,614869,610332,607078,602045,596087,608044,603072
เลย,632205,629787,624920,624066,620780,618423,615538,613070,612422,610472,624087,635587
สระบุรี,629261,625689,620454,617384,612707,621640,615756,608612,601938,595870,625574,621994
สุโขทัย,602713,602601,601504,601778,602813,603817,605301,608965,610361,611379,621693,625099
สระแก้ว,550937,548342,545596,544100,542451,541425,539137,538492,536977,536204,541441,539107
พิจิตร,548855,549395,549688,552690,553193,554112,554740,558012,558794,560427,597882,591953
ยโสธร,540383,540267,538853,539257,539134,539284,539542,540832,541264,541320,552948,553864
ตาก,532353,526045,531018,525684,519662,538330,530928,531712,522197,515877,498714,507371
จันทบุรี,524260,521812,516855,514616,511246,508020,504003,502392,498159,494001,511587,506011
ประจวบคีรีขันธ์,520271,517050,512568,509134,504063,500378,494588,493946,486797,479688,492480,488477
สมุทรสาคร,519457,508812,499098,491887,484606,478146,469934,461792,452017,442687,448199,442914
พัทลุง,518021,514492,511063,509534,507777,505129,502563,502940,500501,498297,504597,504454
หนองคาย,514943,512439,509870,509395,907250,906877,902618,899033,896099,895722,913275,909543
หนองบัวลำภู,507137,505071,502551,502868,500913,499520,497603,496676,496657,494594,500002,498513
ยะลา,506138,500814,493767,487380,480334,475527,470691,461792,464121,459868,465446,459659
ชุมพร,498294,495310,492182,489964,487744,484722,481298,478956,475763,472068,477116,473818
พะเยา,486744,488120,486472,486304,487120,487386,486579,486476,486889,488343,501509,508554
น่าน,477912,477673,476612,476363,475614,475984,477381,477721,478080,477754,482181,487742
ปราจีนบุรี,476167,473770,469652,466572,461854,459379,454988,453263,449621,445944,453935,452822
เพชรบุรี,471087,468874,466079,464033,461239,458975,456061,456175,453982,451029,461738,461339
อุตรดิตถ์,460995,461294,461040,462618,462951,464205,465277,467446,469387,469944,481640,484984
แพร่,456074,457607,458750,460756,462090,464205,465876,468767,471447,473361,482232,485121
กระบี่,450890,444967,438039,432704,426556,418705,410634,402559,395665,387752,384416,377954
บึงกาฬ,416236,412613,407634,403542,,,,,,,,
ลำพูน,405268,404673,403952,404560,404693,405125,405157,405876,404727,404780,409041,407202
อำนาจเจริญ,374698,373494,372241,372137,370804,369476,368915,368894,368791,367514,370627,370360
ภูเก็ต,369522,360905,353847,345067,335913,327006,315498,299768,292245,285901,278480,270438
มุกดาหาร,344302,342868,340581,339575,338048,337497,336107,338770,334113,332563,339074,338276
ชัยนาท,332769,333172,333256,334934,335420,335952,337147,339139,340129,341493,349216,350547
อุทัยธานี,329536,328950,328034,327959,327871,327586,326975,335359,326731,326001,339483,336176
สตูล,309793,305879,301467,297163,293101,288409,284482,281126,277865,273546,273702,270802
อ่างทอง,283732,283882,284061,284970,284807,284831,284406,284105,283778,282967,290825,290423
พังงา,259420,257493,254931,253112,251657,249933,246887,245295,241442,239064,240725,239401
นครนายก,256085,255174,253831,252734,251683,250753,248496,250140,250779,248592,251877,251064
แม่ฮ่องสอน,246549,244356,244048,242742,241847,252692,254804,256338,253609,243735,238241,240014
ตราด,224010,222855,222013,220921,220008,221827,220543,220472,219135,217950,225021,225295
สิงห์บุรี,212690,213216,213587,214661,215299,215551,215653,217055,217744,220121,222728,223352
สมุทรสงคราม,194116,194042,194086,194057,193647,194054,194212,195143,195068,195218,203998,205135
ระนอง,174776,182648,183849,183079,181754,182729,180787,181588,178122,176372,163436,163160
