food,serving,calories,kilojuole,serving_ml
7up,12 fl. oz. (355 ml),156,657,355
Barq's,12 fl. oz. (355 ml),163,685,355
Bitter Lemon,12 fl. oz. (355 ml),121,508,355
Canada Dry Ginger Ale,8 fl. oz. (240 ml),98,413,240
Cherry Coke,12 fl. oz. (355 ml),156,657,355
Coke,12 fl. oz. (355 ml),149,625,355
Coke Zero,12 fl. oz. (355 ml),0,0,355
Diet Cherry Coke,12 fl. oz. (355 ml),4,14,355
Diet Coke,12 fl. oz. (355 ml),4,14,355
Diet Dr. Pepper,12 fl. oz. (355 ml),0,0,355
Diet Pepsi,12 fl. oz. (355 ml),0,0,355
Diet Sunkist,12 fl. oz. (355 ml),0,0,355
Dr. Brown's,12 fl. oz. (355 ml),188,792,355
Dr. Pepper,12 fl. oz. (355 ml),96,401,355
Fanta,12 fl. oz. (355 ml),138,582,355
Fanta Zero,12 fl. oz. (355 ml),0,0,355
Five Alive,12 fl. oz. (355 ml),124,522,355
Fresca,12 fl. oz. (355 ml),0,0,355
Full Throttle,8 fl. oz. (240 ml),264,1109,240
Fuze,12 fl. oz. (355 ml),71,298,355
Fuze Tea,12 fl. oz. (355 ml),89,373,355
Gatorade,12 fl. oz. (355 ml),89,373,355
Ginger Ale,12 fl. oz. (355 ml),124,522,355
Ice Tea,12 fl. oz. (355 ml),96,401,355
Jolt Cola,8 fl. oz. (240 ml),106,444,240
Kool-Aid,8 fl. oz. (237 ml),62,258,237
Lemonade,12 fl. oz. (355 ml),149,625,355
Mello Yello,8 fl. oz. (240 ml),118,494,240
Minute Maid,8 fl. oz. (240 ml),110,463,240
Minute Maid Light,8 fl. oz. (240 ml),5,19,240
Mug Root Beer,8 fl. oz. (240 ml),101,422,240
Orange Soda,12 fl. oz. (355 ml),170,717,355
Pepsi,12 fl. oz. (355 ml),156,657,355
Pibb Xtra,12 fl. oz. (355 ml),142,596,355
Powerade,1 bottle (500 ml),600,2520,500
Schweppes Ginger Ale,12 fl. oz. (355 ml),135,568,355
Soda,12 fl. oz. (355 ml),188,792,355
Sprite,12 fl. oz. (355 ml),131,550,355
Sprite Zero,12 fl. oz. (355 ml),0,0,355
Squirt,8 fl. oz. (240 ml),106,444,240
Sunkist,12 fl. oz. (355 ml),89,373,355
Surge,12 fl. oz. (355 ml),170,717,355
TaB,12 fl. oz. (355 ml),0,0,355
Tonic Water,12 fl. oz. (355 ml),124,522,355
Vanilla Coke,12 fl. oz. (355 ml),160,671,355
