date, pm25, pm10, o3, no2, so2, co
2020/1/2, 86, 51, 13, 18, 1, 
2020/1/3, 100, 57, 16, 17, 1, 
2020/1/4, 117, 63, 14, 18, 1, 
2020/1/5, 132, 66, 14, 28, 1, 
2020/1/6, 135, 69, 17, 23, 1, 
2020/1/7, 139, 71, 16, 22, 1, 
2020/1/8, 149, 70, 18, 21, 1, 
2020/1/9, 140, 93, 14, 31, 2, 
2020/1/10, 180, 64, 16, 15, 1, 
2020/1/11, 138, 56, 16, 10, 2, 
2020/1/12, 120, 56, 13, 12, 1, 
2020/1/13, 116, 56, 13, 13, 1, 
2020/1/14, 112, 61, 14, 15, 1, 
2020/1/15, 122, 67, 16, 13, 1, 
2020/1/16, 127, 70, 19, 16, 1, 
2020/1/17, 143, 74, 18, 12, 1, 
2020/1/18, 162, 73, 19, 11, 1, 
2020/1/19, 158, 76, 18, 15, 1, 
2020/1/20, 164, 68, 19, 14, 1, 
2020/1/21, 148, 64, 17, 15, 1, 
2020/1/22, 124, 57, 13, 9, , 
2020/1/23, 115, 44, 10, 8, , 
2020/1/24, 89, , , , , 
2019/10/1, 106, 37, 17, 13, 1, 
2019/10/2, 85, 36, 12, 12, 2, 
2019/10/3, 78, 45, 6, 17, 1, 
2019/10/4, 93, 45, 8, 10, 1, 
2019/10/5, 90, 33, 10, 15, 2, 
2019/10/6, 82, 29, 10, 13, 1, 
2019/10/7, 72, 34, 11, 17, , 
2019/10/8, 72, 26, 9, 18, 1, 
2019/10/9, 83, 34, 15, 20, 1, 
2019/10/10, 101, 41, 14, 20, 2, 
2019/10/11, 96, 37, 14, 19, 2, 
2019/10/12, 88, 23, 5, 11, 2, 
2019/10/13, 79, 19, 9, 11, 4, 
2019/10/14, 65, 31, 9, 12, 2, 
2019/10/15, 73, 42, 6, 17, 3, 
2019/10/16, 73, 46, 10, 19, 1, 
2019/10/17, 75, 44, 17, 22, 2, 
2019/10/18, 75, 46, 18, 17, 2, 
2019/10/19, 83, 46, 15, 15, 1, 
2019/10/20, 82, 50, 23, 15, 1, 
2019/10/21, 92, 69, 27, 22, 1, 
2019/10/22, 148, 46, 19, 8, 1, 
2019/10/23, 94, 36, 12, 8, 1, 
2019/10/24, 80, 42, 18, 12, 1, 
2019/10/25, 84, 44, 16, 13, 2, 
2019/10/26, 90, 32, 15, 10, 3, 
2019/10/27, 68, 34, 18, 12, 1, 
2019/10/28, 73, 37, 13, 15, 1, 
2019/10/29, 79, 40, 19, 13, 1, 
2019/10/30, 78, 48, 21, 15, 1, 
2019/10/31, 86, 30, 12, 11, 1, 
2019/11/1, 62, 36, 8, 14, 1, 
2019/11/2, 75, 39, 14, 11, 1, 
2019/11/3, 85, 41, 22, 14, 2, 
2019/11/4, 81, 58, 24, 18, , 
2019/11/5, 110, 59, 19, 19, 1, 
2019/11/6, 122, 61, 15, 18, 1, 
2019/11/7, 127, 61, 22, 14, 2, 
2019/11/8, 120, 60, 22, 12, 1, 
2019/11/9, 132, 61, 21, 17, , 
2019/11/10, 128, 69, 25, 27, 1, 
2019/11/11, 131, 62, 13, 24, 1, 
2019/11/12, 137, 54, 13, 16, 1, 
2019/11/13, 113, 41, 6, 15, 1, 
2019/11/14, 81, 46, 16, 15, 1, 
2019/11/15, 88, 54, 20, 18, 1, 
2019/11/16, 109, 56, 27, 16, 1, 
2019/11/17, 113, 55, 15, 20, 3, 
2019/11/18, 99, 51, 16, 16, , 
2019/11/19, 88, 40, 13, 12, , 
2019/11/20, 78, 41, 18, 13, 1, 
2019/11/21, 85, 44, 16, 17, 1, 
2019/11/22, 87, 51, 18, 23, 2, 
2019/11/23, 107, 49, 20, 20, 2, 
2019/11/24, 99, 55, 15, 21, 1, 
2019/11/25, 111, 46, 15, 19, 2, 
2019/11/26, 90, 47, 10, 18, 1, 
2019/11/27, 87, 38, 10, 10, 3, 
2019/11/28, 72, 35, 17, 12, 1, 
2019/11/29, 74, 36, 8, 16, 1, 
2019/11/30, 73, 39, 14, 15, 2, 
2019/12/1, 79, 36, 11, 12, 1, 
2019/12/2, 66, 44, 15, 12, 2, 
2019/12/3, 84, 51, 20, 9, 1, 
2019/12/4, 104, 51, 24, 7, 2, 
2019/12/5, 107, 60, 23, 15, 2, 
2019/12/6, 119, 58, 21, 14, 4, 
2019/12/7, 103, 68, 23, 21, 4, 
2019/12/8, 134, 64, 17, 16, 3, 
2019/12/9, 129, 68, 22, 23, 1, 
2019/12/10, 137, 74, 18, 32, 1, 
2019/12/11, 149, 67, 16, 27, 1, 
2019/12/12, 138, 68, 16, 20, 1, 
2019/12/13, 142, 63, 13, 17, 1, 
2019/12/14, 128, 67, 3, 20, 1, 
2019/12/15, 123, 61, 14, 21, 1, 
2019/12/16, 113, 59, 12, 24, 1, 
2019/12/17, 115, 60, 14, 21, 1, 
2019/12/18, 116, 59, 16, 20, 1, 
2019/12/19, 117, 57, 13, 18, 1, 
2019/12/20, 114, 57, 15, 18, 1, 
2019/12/21, 113, 50, 13, 16, 2, 
2019/12/22, 99, 50, 14, 16, 1, 
2019/12/23, 97, 52, 15, 13, 1, 
2019/12/24, 103, 54, 15, 16, 1, 
2019/12/25, 108, 51, 14, 15, 1, 
2019/12/26, 102, 57, 14, 15, 1, 
2019/12/27, 119, 58, 15, 13, 1, 
2019/12/28, 114, 65, 5, 16, 1, 
2019/12/29, 131, , , , , 
2019/7/1, 66, 43, 6, 9, 1, 
2019/7/2, 76, 43, 4, 11, 1, 
2019/7/3, 71, 63, 3, 9, 1, 
2019/7/4, 69, 33, 3, 10, 1, 
2019/7/5, 66, 43, 2, 10, 1, 
2019/7/6, 74, 37, 3, 7, 1, 
2019/7/7, 61, 35, 7, 8, 1, 
2019/7/8, 62, 35, 8, 8, 3, 
2019/7/9, 67, 43, 9, 8, 1, 
2019/7/10, 71, 59, 10, 7, 2, 
2019/7/11, 81, 39, 11, 5, 1, 
2019/7/12, 66, 34, 10, 6, 1, 
2019/7/13, 61, 26, 4, 4, 1, 
2019/7/14, 49, 24, 5, 6, 1, 
2019/7/15, 50, 22, 12, 6, 1, 
2019/7/16, 43, 24, 10, 7, 1, 
2019/7/17, 51, 22, 13, 7, 1, 
2019/7/18, 53, 24, 11, 7, 1, 
2019/7/19, 54, 27, 13, 9, 1, 
2019/7/20, 61, 17, 6, 7, 1, 
2019/7/21, 54, 27, 5, 10, 1, 
2019/7/22, 67, 28, 3, 8, 1, 
2019/7/23, 66, 39, 2, 8, 1, 
2019/7/24, 65, 27, 3, 8, 1, 
2019/7/25, 87, 34, 15, 9, 1, 
2019/7/26, 65, 28, 10, 10, 1, 
2019/7/27, 50, 33, 11, 7, 1, 
2019/7/28, 55, 20, 6, 6, 1, 
2019/7/29, 39, 25, 7, 7, 1, 
2019/7/30, 57, 27, 8, 5, 1, 
2019/7/31, 57, 25, 6, 6, , 
2019/8/1, 49, 24, 7, 8, 1, 
2019/8/2, 49, 23, 5, 7, 1, 
2019/8/3, 51, 18, 6, 7, 1, 
2019/8/4, 45, 22, 6, 8, 1, 
2019/8/5, 47, 24, 7, 8, 1, 
2019/8/6, 54, 25, 6, 8, , 
2019/8/7, 54, 23, 4, 7, 1, 
2019/8/8, 60, 25, 6, 8, 1, 
2019/8/9, 64, 18, 5, 6, 1, 
2019/8/10, 48, 18, 6, 4, 1, 
2019/8/11, 42, 18, 7, 4, 1, 
2019/8/12, 46, 24, 5, 7, 1, 
