date, pm25, pm10, o3, no2, so2, co
2020/1/2, 78, 47, 34, 45, 3, 8
2020/1/3, 96, 46, 39, 45, 3, 7
2020/1/4, 101, 29, 38, 24, 3, 6
2020/1/5, 69, 29, 33, 33, 3, 6
2020/1/6, 62, 37, 30, 50, 4, 9
2020/1/7, 69, 35, 38, 46, 4, 9
2020/1/8, 64, 42, 44, 35, 2, 8
2020/1/9, 73, 45, 39, 40, 2, 8
2020/1/10, 88, 49, 35, 44, 3, 7
2020/1/11, 97, 44, 32, 37, 3, 
2020/1/12, 79, 35, 32, 35, 2, 
2020/1/13, 72, 39, 40, 39, 2, 8
2020/1/14, 83, 47, 39, 33, 2, 7
2020/1/15, 88, 49, 33, 33, 2, 8
2020/1/16, 103, 42, 20, 45, 4, 
2020/1/17, 77, 28, 26, 33, 2, 
2020/1/18, 62, 39, 30, 28, 2, 8
2020/1/19, 85, 36, 25, 42, 2, 8
2020/1/20, 80, 39, 36, 36, 2, 
2020/1/21, 85, 41, 43, 40, 2, 8
2020/1/22, 91, 36, 28, 38, 2, 8
2020/1/23, 78, 27, 24, 27, 1, 8
2020/1/24, 70, , , , , 
2019/10/1, 142, 51, 71, 50, 3, 9
2019/10/2, 119, 35, 48, 43, 3, 8
2019/10/3, 86, 28, 33, 37, 3, 7
2019/10/4, 75, 25, 24, 37, 4, 7
2019/10/5, 67, 23, 39, 19, 3, 5
2019/10/6, 60, 30, 36, 20, 2, 6
2019/10/7, 68, 34, 42, 35, 3, 7
2019/10/8, 77, 39, 49, 35, 2, 7
2019/10/9, 84, 34, 46, 42, 2, 8
2019/10/10, 77, 45, 106, 65, 4, 10
2019/10/11, 105, 50, 81, 59, 4, 10
2019/10/12, 118, 32, 56, 35, 2, 8
2019/10/13, 86, 34, 49, 38, 3, 10
2019/10/14, 89, 33, 44, 36, 3, 8
2019/10/15, 76, 33, 51, 36, 3, 6
2019/10/16, 66, 38, 54, 43, 3, 7
2019/10/17, 80, 44, 74, 59, 4, 8
2019/10/18, 96, 51, 71, 51, 4, 9
2019/10/19, 109, 43, 75, 37, 3, 8
2019/10/20, 90, 46, 74, 50, 3, 8
2019/10/21, 94, 39, 69, 45, 3, 7
2019/10/22, 79, 34, 54, 34, 3, 7
2019/10/23, 72, 40, 54, 42, 3, 7
2019/10/24, 81, 40, 57, 37, 3, 7
2019/10/25, 83, 41, 61, 39, 3, 7
2019/10/26, 84, 53, 61, 28, 3, 8
2019/10/27, 118, 58, 61, 51, 4, 9
2019/10/28, 124, 24, 27, 46, 3, 9
2019/10/29, 53, 39, 41, 51, 5, 9
2019/10/30, 76, 59, 62, 47, 4, 8
2019/10/31, 100, 44, 50, 34, 3, 7
2019/11/1, 71, 39, 43, 30, 3, 6
2019/11/2, 65, 43, 49, 29, 4, 7
2019/11/3, 80, 60, 67, 62, 6, 8
2019/11/4, 110, 55, 59, 46, 5, 8
2019/11/5, 98, 51, 51, 26, 4, 8
2019/11/6, 86, 52, 54, 46, 5, 8
2019/11/7, 105, 51, 54, 58, 6, 8
2019/11/8, 104, 49, 57, 43, 4, 8
2019/11/9, 98, 49, 69, 35, 3, 7
2019/11/10, 96, 43, 69, 39, 3, 7
