date, pm25, pm10, o3, no2, so2, co
2020/1/2, 34, 14, 27, 26, 2, 4
2020/1/3, 33, 13, 14, 26, 2, 5
2020/1/4, 38, 7, 22, 14, 1, 4
2020/1/5, 29, 9, 27, 9, 2, 4
2020/1/6, 29, 14, 19, 23, 2, 4
2020/1/7, 41, 21, 21, 28, 2, 5
2020/1/8, 52, 37, 22, 26, 4, 4
2020/1/9, 36, 12, 21, 28, 3, 5
2020/1/10, 44, 17, 29, 25, 2, 4
2020/1/11, 31, 12, 29, 24, 3, 4
2020/1/12, 26, 13, 27, 29, 4, 4
2020/1/13, 25, 9, 27, 16, 4, 3
2020/1/14, 25, 10, 23, 32, 4, 4
2020/1/15, 37, 16, 19, 12, 3, 4
2020/1/16, 43, 13, 24, 23, 2, 5
2020/1/17, 35, 20, 17, 36, 4, 6
2020/1/18, 50, 26, 16, 34, 5, 7
2020/1/19, 61, 44, 2, 44, 7, 11
2020/1/20, 94, 43, 2, 44, 7, 11
2020/1/21, 104, 34, 7, 37, 2, 6
2020/1/22, 93, 28, 14, 39, 1, 3
2020/1/23, 74, 20, 10, 20, 1, 3
2020/1/24, 63, , , , , 
2019/10/1, 47, 13, 20, 24, 1, 2
2019/10/2, 43, 24, 21, 43, 4, 5
2019/10/3, 56, 26, 20, 36, 3, 3
2019/10/4, 59, 19, 14, 27, 1, 2
2019/10/5, 48, 14, 25, 18, 1, 
2019/10/6, 45, 18, 20, 39, 3, 2
2019/10/7, 47, 26, 21, 40, 4, 3
2019/10/8, 52, 19, 23, 40, 3, 4
2019/10/9, 44, 22, 20, 41, 4, 4
2019/10/10, 45, 16, 25, 28, 1, 2
2019/10/11, 44, 15, 23, 48, 2, 3
2019/10/12, 46, 16, 28, 34, 2, 2
2019/10/13, 31, 21, 15, 36, 1, 2
2019/10/14, 41, 19, 19, 51, 4, 4
2019/10/15, 44, 23, 23, 47, 2, 4
2019/10/16, 54, 21, 23, 59, 1, 4
2019/10/17, 51, 20, 26, 48, 2, 3
2019/10/18, 49, 19, 24, 44, 2, 5
2019/10/19, 46, 17, 21, 26, 1, 3
2019/10/20, 55, 14, 26, 26, 1, 1
2019/10/21, 34, 27, 16, 52, 3, 6
2019/10/22, 43, 39, 6, 52, 2, 6
2019/10/23, 61, 32, 7, 42, 2, 5
2019/10/24, 48, 20, 29, 35, 2, 3
2019/10/25, 30, 18, 30, 28, 1, 2
2019/10/26, 45, 19, 19, 28, 1, 4
2019/10/27, 45, 39, 15, 46, 4, 4
2019/10/28, 38, 17, 24, 42, 4, 3
2019/10/29, 31, 24, 20, 41, 5, 5
2019/10/30, 45, 36, 8, 43, 6, 8
2019/10/31, 62, 41, 17, 43, 6, 6
2019/11/1, 51, 29, 24, 30, 6, 6
2019/11/2, 38, 32, 19, 40, 6, 8
2019/11/3, 58, 33, 15, 53, 6, 8
