name,dob,team,image_url
Anna Iriyama,1995-12-03,Team A,https://s.akb48.co.jp/upload/images/45813397010ccca24620731688cda85a.jpg?t=1522591741
Rin Okabe,1996-11-07,Team A,https://s.akb48.co.jp/members/profile/renew190501/175.jpg
Hinano Okumoto,2003-10-09,Team A,https://s.akb48.co.jp/members/profile/renew190501/1035.jpg
Yui Oguri,2001-12-26,Team A,https://s.akb48.co.jp/members/profile/renew190501/180.jpg
Rena Kato,1997-07-10,Team A,https://s.akb48.co.jp/members/profile/renew190501/61.jpg
Moe Goto,2001-05-20,Team A,https://s.akb48.co.jp/members/profile/renew190501/162.jpg
Miu Shitao,2001-04-03,Team A,https://s.akb48.co.jp/members/profile/renew190501/202.jpg
Ayana Shinozaki,1996-01-08,Team A,https://s.akb48.co.jp/members/profile/renew190501/106.jpg
Kurumi Suzuki,2004-09-02,Team A,https://s.akb48.co.jp/members/profile/renew190501/1013.jpg
Manaka Taguchi,2003-12-12,Team A,https://s.akb48.co.jp/members/profile/renew190501/1014.jpg
Hijiri Tanikawa,2000-12-26,Team A,https://s.akb48.co.jp/members/profile/renew190501/172.jpg
Erii Chiba,2003-10-27,Team A,https://s.akb48.co.jp/members/profile/renew190501/289.jpg
Rei Nishikawa,2003-10-25,Team A,https://s.akb48.co.jp/members/profile/renew190501/287.jpg
Kotone Hitomi,2001-01-19,Team A,https://s.akb48.co.jp/upload/images/0f45d2a976eb8cada9a9f063d284066f.jpg?t=1522592529
Ayaka Maeda,2000-12-18,Team A,https://s.akb48.co.jp/members/profile/renew190501/1020.jpg
Miho Miyazaki,1993-07-30,Team A,https://s.akb48.co.jp/members/profile/renew190501/47.jpg
Mion Mukaichi,1998-01-29,Team A,https://s.akb48.co.jp/upload/images/1333f6d009189144974660a5965a9c12.jpg?t=1556761477
Suzuha Yamane,2000-08-11,Team A,https://s.akb48.co.jp/members/profile/renew190501/1025.jpg
Yui Yokoyama,1992-12-08,Team A,https://s.akb48.co.jp/members/profile/renew190501/31.jpg
Karen Yoshida,2002-08-27,Team A,https://s.akb48.co.jp/members/profile/renew190501/278.jpg
Minami Sato,2003-08-03,Team A,https://s.akb48.co.jp/members/profile/renew190501/1011.jpg
Saki Michieda,2003-12-20,Team A,https://s.akb48.co.jp/members/profile/renew190501/1021.jpg
Shiori Sato,2001-07-22,Team A,https://s.akb48.co.jp/members/profile/renew190501/1038.jpg
Nazuna Furukawa,2003-08-21,Team A,https://s.akb48.co.jp/members/profile/renew190501/1039.jpg
Sora Honda,1999-02-26,Team A,https://s.akb48.co.jp/members/profile/renew190501/1040.jpg
Manami Ichikawa,1999-08-26,Team K,https://s.akb48.co.jp/members/profile/renew190501/147.jpg
Erina Oda,1997-04-25,Team K,https://s.akb48.co.jp/members/profile/renew190501/181.jpg
Narumi Kuranoo,2000-11-08,Team K,https://s.akb48.co.jp/members/profile/renew190501/210.jpg
Haruka Komiyama,1998-09-12,Team K,https://s.akb48.co.jp/members/profile/renew190501/149.jpg
Hinana Shimoguchi,2001-07-19,Team K,https://s.akb48.co.jp/members/profile/renew190501/163.jpg
Misaki Terada,1999-12-28,Team K,https://s.akb48.co.jp/members/profile/renew190501/295.jpg
Ikumi Nakano,2000-08-20,Team K,https://s.akb48.co.jp/members/profile/renew190501/198.jpg
Ayami Nagatomo,2000-11-02,Team K,https://s.akb48.co.jp/members/profile/renew190501/1016.jpg
Haruna Hashimoto,2000-05-25,Team K,https://s.akb48.co.jp/members/profile/renew190501/183.jpg
Yuki Harumoto,1999-12-24,Team K,https://s.akb48.co.jp/members/profile/renew190501/1036.jpg
Ayaka Hidaritomo,1998-07-29,Team K,https://s.akb48.co.jp/members/profile/renew190501/184.jpg
Minami Minegishi,1992-11-15,Team K,https://s.akb48.co.jp/members/profile/renew190501/29.jpg
Orin Muto,2000-07-22,Team K,https://s.akb48.co.jp/members/profile/renew190501/1022.jpg
