name,name_jp,dob,team,image_url
Anna Iriyama,入山 杏奈,1995-12-03,Team A,https://s.akb48.co.jp/members/profile/renew200410/51.jpg
Rin Okabe,岡部 麟,1996-11-07,Team A,https://s.akb48.co.jp/members/profile/renew200410/175.jpg
Hinano Okumoto,奥本 陽菜,2003-10-09,Team A,https://s.akb48.co.jp/members/profile/renew200410/1035.jpg
Yui Oguri,小栗 有以,2001-12-26,Team A,https://s.akb48.co.jp/members/profile/renew200410/180.jpg
Rena Kato,加藤 玲奈,1997-07-10,Team A,https://s.akb48.co.jp/members/profile/renew200410/61.jpg
Minami Sato,佐藤 美波,2003-08-03,Team A,https://s.akb48.co.jp/members/profile/renew200410/1011.jpg
Miu Shitao,下尾 みう,2001-04-03,Team A,https://s.akb48.co.jp/members/profile/renew200410/202.jpg
Ayana Shinozaki,篠崎 彩奈,1996-01-08,Team A,https://s.akb48.co.jp/members/profile/renew200410/106.jpg
Kurumi Suzuki,鈴木 くるみ,2004-09-02,Team A,https://s.akb48.co.jp/members/profile/renew200410/1013.jpg
Manaka Taguchi,田口 愛佳,2003-12-12,Team A,https://s.akb48.co.jp/members/profile/renew200410/1014.jpg
Erii Chiba,千葉 恵里,2003-10-27,Team A,https://s.akb48.co.jp/members/profile/renew200410/289.jpg
Rei Nishikawa,西川 怜,2003-10-25,Team A,https://s.akb48.co.jp/members/profile/renew200410/287.jpg
Ayaka Maeda,前田 彩佳,2000-12-18,Team A,https://s.akb48.co.jp/members/profile/renew200410/1020.jpg
Saki Michieda,道枝 咲,2003-12-20,Team A,https://s.akb48.co.jp/members/profile/renew200410/1021.jpg
Miho Miyazaki,宮崎 美穂,1993-07-30,Team A,https://s.akb48.co.jp/members/profile/renew200410/47.jpg
Mion Mukaichi,向井地 美音,1998-01-29,Team A,https://s.akb48.co.jp/members/profile/renew200410/153.jpg
Suzuha Yamane,山根 涼羽,2000-08-11,Team A,https://s.akb48.co.jp/members/profile/renew200410/1025.jpg
Yui Yokoyama,横山 由依,1992-12-08,Team A,https://s.akb48.co.jp/members/profile/renew200410/31.jpg
Karen Yoshida,吉田 華恋,2002-08-27,Team A,https://s.akb48.co.jp/members/profile/renew200410/278.jpg
Nazuna Furukawa,古川 夏凪,2003-08-21,Team A,https://s.akb48.co.jp/members/profile/renew200410/1039.jpg
Sora Honda,本田 そら,1999-02-26,Team A,https://s.akb48.co.jp/members/profile/renew200410/1040.jpg
Manami Ichikawa,市川 愛美,1999-08-26,Team K,https://s.akb48.co.jp/members/profile/renew200410/147.jpg
Rina Okada,岡田 梨奈,1999-07-27,Team K,https://s.akb48.co.jp/members/profile/renew200410/1041.jpg
Erina Oda,小田 えりな,1997-04-25,Team K,https://s.akb48.co.jp/members/profile/renew200410/181.jpg
Narumi Kuranoo,倉野尾 成美,2000-11-08,Team K,https://s.akb48.co.jp/members/profile/renew200410/210.jpg
Ran Kobayashi,小林 蘭,2003-10-07,Team K,https://s.akb48.co.jp/members/profile/renew200410/1043.jpg
Haruka Komiyama,込山 榛香,1998-09-12,Team K,https://s.akb48.co.jp/members/profile/renew200410/149.jpg
Hinana Shimoguchi,下口 ひなな,2001-07-19,Team K,https://s.akb48.co.jp/members/profile/renew200410/163.jpg
Ayami Nagatomo,長友 彩海,2000-11-02,Team K,https://s.akb48.co.jp/members/profile/renew200410/1016.jpg
Haruna Hashimoto,橋本 陽菜,2000-05-25,Team K,https://s.akb48.co.jp/members/profile/renew200410/183.jpg
Yuki Harumoto,春本 ゆき,1999-12-24,Team K,https://s.akb48.co.jp/members/profile/renew200410/1036.jpg
Ayaka Hidaritomo,左伴 彩佳,1998-07-29,Team K,https://s.akb48.co.jp/members/profile/renew200410/184.jpg
Minami Minegishi,峯岸 みなみ,1992-11-15,Team K,https://s.akb48.co.jp/members/profile/renew200410/29.jpg
Orin Muto,武藤 小麟,2000-07-22,Team K,https://s.akb48.co.jp/members/profile/renew200410/1022.jpg
Tomu Muto,武藤 十夢,1994-11-25,Team K,https://s.akb48.co.jp/members/profile/renew200410/76.jpg
Shinobu Mogi,茂木 忍,1997-02-16,Team K,https://s.akb48.co.jp/members/profile/renew200410/101.jpg
Kana Yasuda,安田 叶,2002-03-11,Team K,https://s.akb48.co.jp/members/profile/renew200410/1023.jpg
Kyoka Yamada,山田 杏華,2002-11-03,Team K,https://s.akb48.co.jp/members/profile/renew200410/1033.jpg
Ami Yumoto,湯本 亜美,1997-10-03,Team K,https://s.akb48.co.jp/members/profile/renew200410/154.jpg
Yui Yokoyama,横山 結衣,2001-02-22,Team K,https://s.akb48.co.jp/members/profile/renew200410/169.jpg
Yuzuki Suenaga,末永 祐月,2005-11-03,Team K,https://s.akb48.co.jp/members/profile/renew200410/1044.jpg
Megumi Nagano,永野 恵,2004-03-22,Team K,https://s.akb48.co.jp/members/profile/renew200410/1045.jpg
Saho Iwatate,岩立 沙穂,1994-10-04,Team B,https://s.akb48.co.jp/members/profile/renew200410/110.jpg
Hitomi Otake,大竹 ひとみ,1999-06-27,Team B,https://s.akb48.co.jp/members/profile/renew200410/1047.jpg
Maho Omori,大盛 真歩,1999-12-05,Team B,https://s.akb48.co.jp/members/profile/renew200410/1048.jpg
Shizuka Oya,大家 志津香,1991-12-28,Team B,https://s.akb48.co.jp/members/profile/renew200410/3.jpg
Hinako Okuhara,奥原 妃奈子,2003-11-18,Team B,https://s.akb48.co.jp/members/profile/renew200410/1037.jpg
Yuki Kashiwagi,柏木 由紀,1991-07-15,Team B,https://s.akb48.co.jp/members/profile/renew200410/35.jpg
Misaki Kawahara ,川原 美咲,2002-04-03,Team B,https://s.akb48.co.jp/members/profile/renew200410/1034.jpg
Saki Kitazawa,北澤 早紀,1997-06-05,Team B,https://s.akb48.co.jp/members/profile/renew200410/108.jpg
Satone Kubo,久保 怜音,2003-11-20,Team B,https://s.akb48.co.jp/members/profile/renew200410/285.jpg
Haruna Saito,齋藤 陽菜,2004-05-24,Team B,https://s.akb48.co.jp/members/profile/renew200410/1050.jpg
Yukari Sasaki,佐々木 優佳里,1995-08-28,Team B,https://s.akb48.co.jp/members/profile/renew200410/71.jpg
Akari Sato,佐藤 朱,1996-11-09,Team B,https://s.akb48.co.jp/members/profile/renew200410/171.jpg
Maria Shimizu,清水 麻璃亜,1997-09-29,Team B,https://s.akb48.co.jp/members/profile/renew200410/177.jpg
