asin,brand,title,url,image,rating,reviewUrl,totalReviews,price,originalPrice
B0000SX2UC,,Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,https://www.amazon.com/Dual-Band-Tri-Mode-Activated-Dialing-Backlit/dp/B0000SX2UC,https://m.media-amazon.com/images/I/2143EBQ210L._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B0000SX2UC,14,0,0
B0009N5L7K,Motorola,Motorola I265 phone,https://www.amazon.com/Motorola-i265-I265-phone/dp/B0009N5L7K,https://m.media-amazon.com/images/I/419WBAVDARL._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B0009N5L7K,7,49.95,0
B000SKTZ0S,Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,https://www.amazon.com/MOTOROLA-C168i-CINGULAR-PREPAID-GOPHONE/dp/B000SKTZ0S,https://m.media-amazon.com/images/I/71b+q3ydkIS._AC_UY218_ML3_.jpg,2.7,https://www.amazon.com/product-reviews/B000SKTZ0S,22,99.99,0
B001AO4OUC,Motorola,Motorola i335 Cell Phone Boost Mobile,https://www.amazon.com/Motorola-i335-Phone-Boost-Mobile/dp/B001AO4OUC,https://m.media-amazon.com/images/I/710UO8gdT+L._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B001AO4OUC,21,0,0
B001DCJAJG,Motorola,Motorola V365 no contract cellular phone AT&T,https://www.amazon.com/Motorola-V365-contract-cellular-phone/dp/B001DCJAJG,https://m.media-amazon.com/images/I/61LYNCVrrKL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B001DCJAJG,12,149.99,0
B001GQ3DJM,Nokia,Nokia 1680 Black Phone (T-Mobile),https://www.amazon.com/Nokia-1680-Black-Phone-T-Mobile/dp/B001GQ3DJM,https://m.media-amazon.com/images/I/41X4VeqkFOL._AC_UY218_ML3_.jpg,2.7,https://www.amazon.com/product-reviews/B001GQ3DJM,3,0,0
B0029F2O3A,Samsung,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Alias2-Phone-Verizon-Wireless/dp/B0029F2O3A,https://m.media-amazon.com/images/I/41HWHpfPlML._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B0029F2O3A,29,0,0
B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),https://www.amazon.com/Samsung-a167-Prepaid-GoPhone-AT/dp/B002AS9WEA,https://m.media-amazon.com/images/I/61OXcZ-oefL._AC_UY218_ML3_.jpg,2.9,https://www.amazon.com/product-reviews/B002AS9WEA,18,0,0
B002UHS0UI,Motorola,Verizon Wireless Motorola RAZR V3m - Silver,https://www.amazon.com/Verizon-Wireless-Motorola-RAZR-V3m/dp/B002UHS0UI,https://m.media-amazon.com/images/I/61pVtPaTkML._AC_UY218_ML3_.jpg,2.7,https://www.amazon.com/product-reviews/B002UHS0UI,208,0,0
B002WTC1NG,Motorola,Motorola Barrage V860 Phone (Verizon Wireless),https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG,https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B002WTC1NG,352,139.99,0
B0033SFV5A,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B0033SFV5A,57,64.99,0
B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,2.6,https://www.amazon.com/product-reviews/B003FCO9XE,78,99.99,0
B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B003P2VNAQ,70,179,0
B003W646YK,Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK,https://m.media-amazon.com/images/I/51oFJfZ-LcL._AC_UY218_ML3_.jpg,2.9,https://www.amazon.com/product-reviews/B003W646YK,3,79,0
B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B003XREZ4O,16,99.99,0
B0046REOWS,Samsung,Samsung T201G Prepaid Phone (Net10),https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS,https://m.media-amazon.com/images/I/91zoUJ+sJKL._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B0046REOWS,22,64.94,0
B004C7NVD0,Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0,https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B004C7NVD0,107,199.99,0
B004GLQTG8,Samsung,Samsung R355C Net 10 Unlimited,https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8,https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B004GLQTG8,146,79.99,0
B004H23JXW,Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",https://www.amazon.com/Samsung-I917-Unlocked-Wi-Fi-No-Warranty/dp/B004H23JXW,https://m.media-amazon.com/images/I/81s0xgVWDOL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B004H23JXW,349,0,0
B004MK9VLS,Nokia,Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit,https://www.amazon.com/Nokia-C3-Prepaid-GoPhone-Airtime/dp/B004MK9VLS,https://m.media-amazon.com/images/I/71uSQY79zZL._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B004MK9VLS,7,0,0
B004YBP8EY,Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,https://www.amazon.com/Samsung-SA-S5260WESP-Cellphone-Unlocked-Warranty/dp/B004YBP8EY,https://m.media-amazon.com/images/I/41S2alAozSL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B004YBP8EY,23,0,0
B005B3OXWC,Samsung,Samsung Freeform III Prepaid Phone (MetroPCS),https://www.amazon.com/Samsung-Freeform-Prepaid-Phone-MetroPCS/dp/B005B3OXWC,https://m.media-amazon.com/images/I/81l1bw5bs7L._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B005B3OXWC,32,0,0
B006OU39QW,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,https://www.amazon.com/Verizon-Samsung-Convoy-Contract-Rugged/dp/B006OU39QW,https://m.media-amazon.com/images/I/91xMuzi75uL._AC_UY218_ML3_.jpg,4.1,https://www.amazon.com/product-reviews/B006OU39QW,252,0,0
B006VH79R8,Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8,https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B006VH79R8,84,14.99,0
B00727AODC,Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",https://www.amazon.com/Samsung-I677-Unlocked-Windows-Bluetooth/dp/B00727AODC,https://m.media-amazon.com/images/I/81O5HRPD1gL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B00727AODC,123,0,0
B007LU0HU0,Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0,https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_ML3_.jpg,2.5,https://www.amazon.com/product-reviews/B007LU0HU0,10,249.99,0
B007X6FFLS,Samsung,Samsung a157 GoPhone (AT&T),https://www.amazon.com/Samsung-a157-GoPhone-AT-T/dp/B007X6FFLS,https://m.media-amazon.com/images/I/71Y+FpZYcFL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B007X6FFLS,305,97.69,0
B0081TDISI,Motorola,Motorola Brute i686 Rugged PTT For Sprint,https://www.amazon.com/Motorola-Brute-i686-Rugged-Sprint/dp/B0081TDISI,https://m.media-amazon.com/images/I/614NiqhyYOL._AC_UY218_ML3_.jpg,2.8,https://www.amazon.com/product-reviews/B0081TDISI,10,0,0
B00836Y6B2,Nokia,Nokia Lumia 900 Black Factory Unlocked,https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2,https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00836Y6B2,929,109.98,0
B008PAW5EQ,Samsung,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",https://www.amazon.com/Samsung-Gusto-Prepaid-Verizon-Wireless/dp/B008PAW5EQ,https://m.media-amazon.com/images/I/71KNeSQtVfL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B008PAW5EQ,74,0,0
B0096DERAG,Motorola,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,https://www.amazon.com/Motorola-Computer-Windows-Mobile-MC75A8-PYFSWQRA9WR/dp/B0096DERAG,https://m.media-amazon.com/images/I/51tGSJTIQmL._AC_UY218_ML3_.jpg,1,https://www.amazon.com/product-reviews/B0096DERAG,1,499.95,0
B0096QYH80,Motorola,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",https://www.amazon.com/Motorola-Droid-RAZR-Verizon-Wireless/dp/B0096QYH80,https://m.media-amazon.com/images/I/71-afm8RuLL._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B0096QYH80,488,349.99,0
B009LRMQTG,Motorola,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,https://www.amazon.com/Telcel-America-Motorola-Pre-Paid-Phone/dp/B009LRMQTG,https://m.media-amazon.com/images/I/814kh7KdbtL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B009LRMQTG,196,99.99,0
B00A2V7BA4,Nokia,"Nokia Lumia 920, Black 32GB (AT&T)",https://www.amazon.com/Nokia-Lumia-920-Black-32GB/dp/B00A2V7BA4,https://m.media-amazon.com/images/I/61UTfUPGH1L._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00A2V7BA4,468,209.67,0
B00A2V7ULY,Nokia,"Nokia Lumia 920, Yellow 32GB (AT&T)",https://www.amazon.com/Nokia-Lumia-920-Yellow-32GB/dp/B00A2V7ULY,https://m.media-amazon.com/images/I/71kn06zWzvL._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B00A2V7ULY,45,184.18,0
B00A408AF8,Samsung,"Samsung Galaxy Express, Gray 8GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-Express-Gray-8GB/dp/B00A408AF8,https://m.media-amazon.com/images/I/816B5o+yZkL._AC_UY218_ML3_.jpg,2.9,https://www.amazon.com/product-reviews/B00A408AF8,8,389.28,0
B00A7F57EM,Nokia,Nokia Lumia 822 16GB Windows Phone Black - Verizon,https://www.amazon.com/Nokia-Lumia-Windows-Phone-Black/dp/B00A7F57EM,https://m.media-amazon.com/images/I/81jxGoYUWTL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00A7F57EM,62,204.16,0
B00A7F5M9W,Nokia,"Nokia Lumia 822, White 16GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-822-Verizon-Wireless/dp/B00A7F5M9W,https://m.media-amazon.com/images/I/81OtSgABAYL._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B00A7F5M9W,23,0,0
B00ACZ0DUA,Nokia,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,https://www.amazon.com/Nokia-Unlocked-Windows-Smartphone-Optics/dp/B00ACZ0DUA,https://m.media-amazon.com/images/I/51FCiU2tJ8L._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B00ACZ0DUA,74,182.25,0
B00B5081MI,Samsung,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",https://www.amazon.com/Samsung-Unlocked-Internet-Capabilities-Speakerphone/dp/B00B5081MI,https://m.media-amazon.com/images/I/51gbQhGQWWL._AC_UY218_ML3_.jpg,2.4,https://www.amazon.com/product-reviews/B00B5081MI,49,114.99,0
B00BV1MVJ0,Samsung,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",https://www.amazon.com/Samsung-GT-I9500-Factory-Unlocked-Cellphone/dp/B00BV1MVJ0,https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00BV1MVJ0,1,144.71,0
B00CEKXJ3Y,Samsung,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-S4-Black-Sprint/dp/B00CEKXJ3Y,https://m.media-amazon.com/images/I/71s9fDfT7UL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00CEKXJ3Y,561,0,0
B00CEKXZA6,Samsung,"Samsung Galaxy S4, White Frost 16GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-S4-White-Sprint/dp/B00CEKXZA6,https://m.media-amazon.com/images/I/81vLTvMW6DL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00CEKXZA6,354,0,0
B00CGIULGC,Samsung,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,https://www.amazon.com/Samsung-Galaxy-Unlocked-Android-Ruggedized/dp/B00CGIULGC,https://m.media-amazon.com/images/I/81hxAMIxAeL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CGIULGC,365,0,0
B00CQAODG4,Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-928-Verizon-Wireless/dp/B00CQAODG4,https://m.media-amazon.com/images/I/41zkjf9ksSL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CQAODG4,349,0,0
B00CS2ZWKQ,Nokia,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,https://www.amazon.com/Nokia-RM-893-Windows-Smartphone-Unlocked/dp/B00CS2ZWKQ,https://m.media-amazon.com/images/I/81MoEhAZS2L._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CS2ZWKQ,94,0,0
B00D35Z6OE,HUAWEI,Huawei Glory Android Prepaid Phone (Net10),https://www.amazon.com/Huawei-Glory-Android-Prepaid-Phone/dp/B00D35Z6OE,https://m.media-amazon.com/images/I/81iP8QUNElL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B00D35Z6OE,36,27.9,0
B00D99ZBR6,Samsung,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),https://www.amazon.com/Samsung-Prevail-II-Discontinued-Manufacturer/dp/B00D99ZBR6,https://m.media-amazon.com/images/I/61NDR6WOqPL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00D99ZBR6,314,89,0
B00E45043A,Nokia,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),https://www.amazon.com/Nokia-Lumia-520-Discontinued-Manufacturer/dp/B00E45043A,https://m.media-amazon.com/images/I/71X1D2B1IKL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00E45043A,4,59.99,0
B00E6FGSHY,Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-S4-White-Frost/dp/B00E6FGSHY,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B00E6FGSHY,641,154.97,0
B00E8TGT1S,Nokia,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,https://www.amazon.com/Nokia-Lumia-Quad-Band-Unlocked-Smartphone/dp/B00E8TGT1S,https://m.media-amazon.com/images/I/61huy0bRgEL._AC_UY218_ML3_.jpg,2.1,https://www.amazon.com/product-reviews/B00E8TGT1S,5,0,0
B00EP2BN00,Samsung,"Samsung Convoy 3, Gray (Verizon Wireless)",https://www.amazon.com/Samsung-Convoy-Gray-Verizon-Wireless/dp/B00EP2BN00,https://m.media-amazon.com/images/I/71Q7aSSyOkL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00EP2BN00,340,0,0
B00F1HVZ0Q,Samsung,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,https://www.amazon.com/Samsung-Galaxy-M919-T-Mobile-Smartphone/dp/B00F1HVZ0Q,https://m.media-amazon.com/images/I/51hnjqGbVqL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B00F1HVZ0Q,111,229.99,0
B00F2SKPIM,Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B00F2SKPIM,https://m.media-amazon.com/images/I/91eFtaIWpcL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B00F2SKPIM,983,0,0
B00F3JPKCG,Nokia,"Nokia Lumia 925, Black 16GB (AT&T)",https://www.amazon.com/Nokia-Lumia-925-Black-16GB/dp/B00F3JPKCG,https://m.media-amazon.com/images/I/81buw9ag-VL._AC_UY218_ML3_.jpg,2.7,https://www.amazon.com/product-reviews/B00F3JPKCG,46,54.99,0
B00F9RRVUG,Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,https://www.amazon.com/Samsung-a157V-Phone-Annual-Contract/dp/B00F9RRVUG,https://m.media-amazon.com/images/I/415nK4G4hJL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00F9RRVUG,299,102,0
B00FTV382C,Samsung,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",https://www.amazon.com/SAMSUNG-GALAXY-T-Mobile-locked-white/dp/B00FTV382C,https://m.media-amazon.com/images/I/61pNvD+KDoL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00FTV382C,85,299,0
B00G9G0HTI,Samsung,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",https://www.amazon.com/Samsung-ATIV-Neo-Royal-Blue/dp/B00G9G0HTI,https://m.media-amazon.com/images/I/81QMC1LvX0L._AC_UY218_ML3_.jpg,4,https://www.amazon.com/product-reviews/B00G9G0HTI,10,79,0
B00HE5834Y,Motorola,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,https://www.amazon.com/Motorola-XT1080-Android-Smartphone-Camera/dp/B00HE5834Y,https://m.media-amazon.com/images/I/81p5bS9i6dL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00HE5834Y,30,249.99,0
B00HPP3QD6,Motorola,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),https://www.amazon.com/Moto-Verizon-Prepaid-Phone-Only/dp/B00HPP3QD6,https://m.media-amazon.com/images/I/81VuPb8-arL._AC_UY218_ML3_.jpg,4,https://www.amazon.com/product-reviews/B00HPP3QD6,773,64.99,0
B00HWEMZ1E,Nokia,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-Icon-Verizon-Wireless/dp/B00HWEMZ1E,https://m.media-amazon.com/images/I/51W3p2zTv9L._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00HWEMZ1E,159,233.71,0
B00I2KY5TM,Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Smartphone/dp/B00I2KY5TM,https://m.media-amazon.com/images/I/51YIDTWEWDL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00I2KY5TM,13,159.99,0
