Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Style,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Version Unlocked,Filename,ClothGroup ID,Internal ID,Unique Entry ID
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,White,No,490.0,122.0,51.0,White,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,1.0,party,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThreed0,386.0,4463.0,FNxEraBTeWRiCvtFu
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,Black,No,490.0,122.0,51.0,Black,Colorful,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Active,2.0,party,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassThreed1,386.0,11020.0,mM9SXPCcGPfPJAmtm
bandage,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,NA,No,140.0,35.0,51.0,Beige,White,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Active,1.0,outdoorsy; comfy; sporty,AccessoryMouth,No,For sale,1.0.0,1.0.0,AccessoryMouthBandageSkin,503.0,4677.0,2qFT5iPkk8bREvpkj
beak,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,NA,No,490.0,122.0,51.0,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,All Year,Yes,Cute,1.0,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,1.0.0,AccessoryMouthBeakYellow,184.0,3549.0,T5CpsJi4xBSachNL5
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,Red,No,NFS,620.0,573.0,Red,Pink,1x1,NA,Birthday,,All Year,No,Gorgeous,1.0,party,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassBirthday2,415.0,11218.0,ojXoAAj8Bs2XgRiWB
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,Pink,No,NFS,620.0,573.0,Pink,Pink,1x1,NA,Birthday,,All Year,No,Gorgeous,2.0,party,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassBirthday1,415.0,11217.0,g3MPcmAKM4z5h8KYX
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,Yellow,No,NFS,620.0,573.0,Yellow,Red,1x1,NA,Birthday,,All Year,No,Gorgeous,3.0,party,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassBirthday0,415.0,4510.0,S6CiB9ZvzBTMhEnDz
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,Blue,No,NFS,620.0,573.0,Light blue,Green,1x1,NA,Birthday,,All Year,No,Gorgeous,4.0,party,AccessoryEye,Yes,Not for sale,1.0.0,1.0.0,AccessoryGlassBirthday3,415.0,11219.0,Yr9mRJaZM44554oTS
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,Black,No,1100.0,275.0,51.0,Black,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,1.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose6,463.0,11086.0,eT6KLntq43nCGFvB9
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,Red,No,1100.0,275.0,51.0,Red,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,Simple,2.0,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,1.0.0,AccessoryGlassLoose0,463.0,4597.0,ZHqtvcoqqDpJLf9Pc
