Name,Image,Buy,Category,Source,Filename,Unique Entry ID
brick bridge,"http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wqearthyjuk,.png",198000.0,Bridge,Resident Services Upgrade,BridgeBricks,Rvkrg9tcubTMakcBS
iron bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wdaeteyhrjtuy.png,228000.0,Bridge,Resident Services Upgrade,BridgeIron,RmQ6iiKkFf3Sy4iSQ
log bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1adsvfbgnhjh.png,98000.0,Bridge,Resident Services Upgrade,BridgeLog,Px55sTfjKSbbMtjAK
red zen bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1wdqfegrhtryjmm.png,228000.0,Bridge,Resident Services Upgrade,BridgeRed,jTziEHXkeYaugKDQQ
stone bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1adwfesgrdthfgmj.png,168000.0,Bridge,Resident Services Upgrade,BridgeStone,JmrwC2tRRCCgbZnrp
suspension bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1sxdaefwrge5yhyjum.png,129800.0,Bridge,Resident Services Upgrade,BridgeSuspension,q52JebMTHDqHJKBba
wooden bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1adsfhngm.png,168000.0,Bridge,Resident Services Upgrade,BridgeWood,7oZ7FMrJEpBLZzsmw
zen bridge,http://acnhcdn.com/drivesync/bridgearamp/NewCanvas1w.png,228000.0,Bridge,Resident Services Upgrade,BridgeJapanese,TbKbHzJM8j8ezmAEF
basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowAR,HrAsZSpm2pRj2u8ad
beige basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowGR,uF4YeCTGBx4Tawcp8
beige simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleBR,jQFLgioHYBRbRkBYK
beige windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowGR,oMqf22Pf8fZzeoJdY
beige wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardGR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardGR,N5LASg9qjhgexBMe7
black common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefHR,6mmdmWbK5ZRpbCsWc
black fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingBR,3ZahH8gvtHGdkEM68
black imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseHR,qT9ghD7YkZpMDgBDf
black latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeHR,Kzu4WsZwmSWzLdMC6
black rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityDR,TKDhdqyJBdrz8yQt6
black vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowHR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowHR,Z4efmoeAjzYLhTsKJ
black zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseER,AxrkW9SNKqmh9kX4S
blue basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowER,BxqZmtEty82NDo8J3
blue common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefCR,hfWfx4mxev3qjp2zH
blue fancy door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCarvingER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCarvingER,fm6MupiuPAK6HPNNj
blue iron door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronCR,5tgy5p3AE38NBeG9B
blue latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeFR,JwdJLi5HHZe24DmkF
blue metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsCR,YB3NZt9RRYJroWRcn
blue rustic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimplicityFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimplicityFR,8k4sCwWWqugmTYuw6
blue simple door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorSimpleDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorSimpleDR,cN2eTBiAPt2Bv8GTK
blue vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowDR,AJB8xQLjaJR2WrHBv
blue windowed door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorWindowER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorWindowER,i5JLZk2vdr5jZ9nBC
blue wooden door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorStandardER.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorStandardER,okXxYSYZ8o2vceKQG
brown imperial door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorChineseBR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorChineseBR,SN5ik2H7HfGLuG9EN
brown latticework door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorLatticeAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorLatticeAR,a4Mft9ihDSpo4jusc
brown metal-accent door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorIronpartsFR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorIronpartsFR,8eztTyD69pNsq7Eee
brown zen door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorJapaneseCR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorJapaneseCR,3bWWrFPG7N5NcAKbS
burgundy basic door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorCercleWindowDR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorCercleWindowDR,vuSF9u2vtgf95NREh
common door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorReliefAR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorReliefAR,8Gx8LKMb7ipbF9qKa
cyan vertical-panes door,https://acnhcdn.com/latest/HouseDoorIcon/HouseDoorVerticalWindowJR.png,5000.0,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowJR,CTyPWnQDRGqMcDEyf
