Name,Image,VFX,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
aqua tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile01.png,No,No,900.0,225.0,Light blue,Light blue,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTile01,5036.0,JmNGqRhEow3PH7bgk
arabesque flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArabesque00.png,No,No,2120.0,530.0,Black,Gray,NA,Nook's Cranny,,151.0,expensive,living room,None,Cloth Floors,For sale,1.0.0,1.0.0,RoomTexFloorArabesque00,4953.0,4dabyuetmZD5dDdCH
arched-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArchBrick00.png,No,No,1100.0,275.0,Brown,Brown,NA,Nook's Cranny,,151.0,facility,shop,None,Arched Brick,For sale,1.0.0,1.0.0,RoomTexFloorArchBrick00,4998.0,CSPoYJzCnzWjqWrj5
argyle tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileWood00.png,No,No,1750.0,437.0,White,Beige,NA,Nook's Cranny,,151.0,bathroom,facility,None,Tile Floors,For sale,1.0.0,1.0.0,RoomTexFloorTileWood00,4994.0,BH8PqRSou2XjQ8ppQ
artsy parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetArt00.png,No,No,1800.0,450.0,Beige,Beige,NA,Nook's Cranny,,151.0,facility,shop,None,Simple Parquet,For sale,1.0.0,1.0.0,RoomTexFloorParquetArt00,5232.0,fbfCzw546bWEF95Aq
backyard lawn,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLawn00.png,No,Yes,NFS,600.0,Green,Green,NA,Crafting,,103.0,garden,None,None,Grassland,Not for sale,1.0.0,1.0.0,RoomTexFloorLawn00,4979.0,kANgKb2s4a6pMSjnd
bamboo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBamboo00.png,No,Yes,NFS,2400.0,Green,Beige,NA,Crafting,,103.0,zen-style,None,bamboo,Nature - Green,Not for sale,1.0.0,1.0.0,RoomTexFloorBamboo00,4964.0,gMeLjZdPobbrt58sT
basement flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBasement00.png,No,Yes,NFS,1500.0,Gray,Gray,NA,Crafting,,103.0,horror,facility,None,Stone Floors,Not for sale,1.0.0,1.0.0,RoomTexFloorBasement00,4797.0,DgaMSqGEyko87dD3H
beige desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco00.png,No,No,2100.0,525.0,Beige,White,NA,Nook's Cranny,,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexFloorMorocco00,4965.0,yhH3pNWq8L8j48tHW
berry-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate02.png,No,No,3000.0,750.0,Pink,Pink,NA,Saharah,,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexFloorChocolate02,5053.0,E7Mfi6saTnBEgW6o8
