Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Surface,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,Natural,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Beige,Brown,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_0_0,0_0,383.0,EpywQXABBcv2dipsP
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,Cherry,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Red,Black,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_1_0,1_0,383.0,K9she5Y4SuXA8MGBR
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,Brown,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Brown,Black,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_2_0,2_0,383.0,vLq9iphAvALBXazDr
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,Blue,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Blue,Black,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_3_0,3_0,383.0,nuqeFzNE5PneqGHaj
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,White,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,White,Black,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_4_0,4_0,383.0,DotFsojrhCwrLZ3TF
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,Black,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Black,Black,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_5_0,5_0,383.0,RuRMFyvWnDC2SoG8m
acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,Pink,Body,NA,NA,Yes,Yes,No,5.0,NFS,3210.0,Pink,White,1x1,No,NA,Crafting,,103.0,music,None,None,None,MusicalInstrument,Yes,Musical Instrument,No,Does not play music,No lighting,Not for sale,1.0.0,1.0.0,FtrAcorsticguitar_Remake_6_0,6_0,383.0,NWv9CJfSPtBTKoL4B
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1100.0,275.0,White,White,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,living room,office,None,None,AC,Yes,Fan,Yes,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrCirculator_Remake_0_0,0_0,3821.0,J4inuBziPCSGZNEPM
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,Black,NA,NA,NA,No,No,No,NA,1100.0,275.0,Black,Gray,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,living room,office,None,None,AC,Yes,Fan,Yes,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrCirculator_Remake_1_0,1_0,3821.0,E2dZPSD94isFZWd2F
air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,Pink,NA,NA,NA,No,No,No,NA,1100.0,275.0,Pink,Pink,1x1,No,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,151.0,living room,office,None,None,AC,Yes,Fan,Yes,Does not play music,No lighting,For sale,1.0.0,1.0.0,FtrCirculator_Remake_2_0,2_0,3821.0,uAY6FFGdXWeAG9gMa
