#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
10.0,agrias butterfly,https://acnhcdn.com/latest/MenuIcon/Ins6.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMiirotatehaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaCropped.png,3000.0,Flying near flowers,Any except rain,20.0,5,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,"Some say the agrias butterfly is one of the most beautiful butterflies in the world. Bah, I say! BAH! They may have brightly colored wings, but the way they flutter and flitter...SO FOUL! In fact, the agrias butterfly flies so fast, it is quite a feat to catch one. I suppose I should congratulate you on your good fortune... But catching any bug seems a misfortune to me.",I caught an agrias butterfly! I wonder if it finds me disagrias-able?,64.0,Pet,Pink,Green,Ins6,InsectMiirotateha,FtrInsectMiirotateha,620.0,aj95rMzdbSbvZy9A2
69.0,ant,https://acnhcdn.com/latest/MenuIcon/Ins26.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriCropped.png,80.0,On rotten turnips,Any weather,0.0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"I warn you, the ant may be a small bug, but it finds scary strength in numbers. You see, the ant itself is the strongest creature in the world in relation to its size. One of these diminutive fiends can carry 50 times its own bodyweight! And if it wants to lift something even larger... Why, it simply calls on its ant friends to join the effort. Creepy cooperation, I say...",I caught an ant! TELL ME WHERE THE QUEEN IS!,64.0,Pet,Black,White,Ins26,InsectAri,FtrInsectAri,588.0,QZpmczZu4hW2a4Rpv
14.0,Atlas moth,https://acnhcdn.com/latest/MenuIcon/Ins10.png,https://acnhcdn.com/latest/BookInsectIcon/InsectYonagunisanCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectYonagunisanCropped.png,3000.0,On trees (any kind),Any weather,20.0,5,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,1x1,Yes,"The Atlas moth is a monstrous thing! Not only is it one of the largest moths in the world... The tips of its wings look rather like the heads of venomous snakes! Despite its largeness and loathsome looks, the adult Atlas moth lives only for a few days. It emerges from its cocoon without a mouth, you see...and so cannot eat. I feel for the poor thing...but it is still foul!",I caught an Atlas moth! I bet it never gets lost!,64.0,Pet,Orange,Yellow,Ins10,InsectYonagunisan,FtrInsectYonagunisan,652.0,u2GhYQJXDCQKp7AQ8
68.0,bagworm,https://acnhcdn.com/latest/MenuIcon/Ins36.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMinomushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinomushiCropped.png,600.0,Shaking trees (hardwood or cedar only),Any weather,0.0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"The bagworm is, in fact, not a worm at all, but a caterpillar instead. The filthy fraud uses silk and leaves to spin a cozy bag for it to hide inside—hence the name. Some find it cute the way bagworms dangle from trees. But the truth is they're gluttonous monsters. These beasts love to stuff their bug- gullets full of leaves, devouring the very trees they hang upon. Wretched villains is what they are.",I caught a bagworm! Guess I'm a bragworm!,64.0,Pet,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622.0,QvxgCm82JqHsDknY4
34.0,banded dragonfly,https://acnhcdn.com/latest/MenuIcon/Ins24.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOniyanmaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOniyanmaCropped.png,4500.0,Flying near water,Any except rain,50.0,7,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,"The banded dragonfly is known for its black-and-yellow-striped body, as well as for its piercing green eyes. And it is those very eyes that help make dragonflies master hunters, you see. Alas, when one looks at me, I can't help but feel it is sizing me up for a meal! Hoot! The horrors! Look away, fiend!",I did it! Did you see that? I caught a banded dragonfly!,64.0,Pet,Black,Yellow,Ins24,InsectOniyanma,FtrInsectOniyanma,635.0,pCFep58D6QusMSvR7
21.0,bell cricket,https://acnhcdn.com/latest/MenuIcon/Ins31.png,https://acnhcdn.com/latest/BookInsectIcon/InsectSuzumushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectSuzumushiCropped.png,430.0,On the ground,Any except rain,0.0,60,NA,NA,NA,NA,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,5 PM – 8 AM,5 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"The call of the bell cricket heralds the arrival of autumn. And I concede it is a rather pleasant sound. What I do NOT find pleasant is the way these things rub their strange wings together to make their song! Ick and blech! And to make matters worse, bell crickets have been known to shed two of their four wings! And they simply leave these wings where they fall, as if it were litter! I simply cannot abide such odious behavior.",I found a bell cricket! It would make a great bellhop!,64.0,Pet,Black,Beige,Ins31,InsectSuzumushi,FtrInsectSuzumushi,642.0,d5EQqbQsip82G2CZE
49.0,blue weevil beetle,https://acnhcdn.com/latest/MenuIcon/Ins80.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHousekizoumushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHousekizoumushiCropped.png,800.0,On palm trees,Any weather,0.0,2,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Yes, yes. The blue weevil beetle does come in beautiful shades of blue and green. The colors are so bright, some say it looks like a living jewel. But I say it looks like a weevil...and weevil rhymes with EVIL. Draw your own conclusions from there. Hoot! I certainly have!",I caught a blue weevil beetle! It's the lesser of blue weevils!,64.0,Pet,Green,Pink,Ins80,InsectHousekizoumushi,FtrInsectHousekizoumushi,3485.0,qocWy6r5RXjeThdYy
26.0,brown cicada,https://acnhcdn.com/latest/MenuIcon/Ins17.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAburazemiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAburazemiCropped.png,250.0,On hardwood/cedar trees,Any weather,0.0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Cicadas are obnoxious insects. And not just brown cicadas, mind you...but all cicadas! They flex ribbed membranes on their torso called tymbals to make a loud snapping sound. So rude! Hoo! Yes, it is only the males who make the noise. Sometimes at a volume that can produce pain at close range! Appallingly inconsiderate, I must say...","I caught a brown cicada! Now it probably feels blue, cicada.",64.0,Pet,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582.0,gBLRZ2J2R2wwYWFCk
77.0,centipede,https://acnhcdn.com/latest/MenuIcon/Ins60.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMukadeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMukadeCropped.png,300.0,From hitting rocks,Any weather,0.0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,NA,NA,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,1x1,No,"The centipede's name means ""100 legs."" But I tell you now, that's a lie! These ugly bugs can have as few as 15 pairs of legs...or as many as 171. But because of how their bodies are segmented, they never have exactly 100! Hoo! It's true! You know what else is true? Centipedes are carnivorous, aggressive, and venomous! And their bite is quite painful too! HOO-rrible things, I say.",I caught a centipede! 99 more and I'll have a dollarpede!,64.0,Pet,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628.0,ubStMQwHMJJcYje38
31.0,cicada shell,https://acnhcdn.com/latest/MenuIcon/Ins69.png,https://acnhcdn.com/latest/BookInsectIcon/InsectSeminonukegaraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectSeminonukegaraCropped.png,10.0,On hardwood/cedar trees,Any weather,50.0,1,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"Cicadas! The nerve! Not only are they loud, they leave their cicada shells lying about! When it's time for a cicada nymph to turn into an adult, you see, it clings to a tree and sheds its exoskeleton. Then it just leaves this shell of its former self hanging right there! Awful manners, really...and awfully terrifying too.",I found a cicada shell! I'm glad the little guy came out of it!,64.0,None,Brown,Green,Ins69,InsectSeminonukegara,FtrInsectSeminonukegara,641.0,6s3MCahAroqpjGybW
