Name,Image,Source,Source Notes,Internal ID,Unique Entry ID
Aggravation,https://acnhcdn.com/latest/ManpuIcon/Outraged.png,Peppy,,Outraged,6suhKYAAhh5QMKt64
Agreement,https://acnhcdn.com/latest/ManpuIcon/Nodding.png,Cranky,,Nodding,7smqwK9J7eFBxta28
Amazed,https://acnhcdn.com/latest/ManpuIcon/Shocked.png,Snooty,,Shocked,vosig4bbr4kPq57AT
Apologetic,https://acnhcdn.com/latest/ManpuIcon/Apologize.png,Big Sister,,Apologize,jBKsQYCAd7PtymQeB
Bashfulness,https://acnhcdn.com/latest/ManpuIcon/Blushing.png,Lazy,,Blushing,wzvKbFrEJCseTohoz
Bewilderment,https://acnhcdn.com/latest/ManpuIcon/Pardon.png,Cranky,,Pardon,WRSSRZMtM6rXfXBrR
Cold Chill,https://acnhcdn.com/latest/ManpuIcon/ColdChill.png,Big Sister,,ColdChill,K62u2owKFDLmPCB3Q
Confident,https://acnhcdn.com/latest/ManpuIcon/Assent.png,Big Sister,Requires a high level of friendship,Assent,TGifHTbyLBh4f3gDQ
Curiosity,https://acnhcdn.com/latest/ManpuIcon/QuestionMark.png,Peppy,,QuestionMark,SskgipgnKzm5TsK7d
Daydreaming,https://acnhcdn.com/latest/ManpuIcon/AbsentMindedness.png,Normal,Requires a high level of friendship,AbsentMindedness,JFrTBJCEaX5R4kABT
Delight,https://acnhcdn.com/latest/ManpuIcon/Clapping.png,All,,Clapping,F9DpGeqZzDeSTh2bq
Disagreement,https://acnhcdn.com/latest/ManpuIcon/Negative.png,Big Sister,,Negative,Bw5YBM6iuWgMzutWq
Distress,https://acnhcdn.com/latest/ManpuIcon/Frantic.png,Jock,,Frantic,vsSjQBZXPeSK6uDTK
Dozing,https://acnhcdn.com/latest/ManpuIcon/Sleep.png,Smug,,Sleep,2vvgAacGjthcFW5Qa
Encouraging,https://acnhcdn.com/latest/ManpuIcon/Cheering.png,Jock,,Cheering,fomfML4NWdY8x6adv
Fearful,https://acnhcdn.com/latest/ManpuIcon/Shaking.png,Normal,,Shaking,noKrWYCMSWcH4jwvi
Flourish,https://acnhcdn.com/latest/ManpuIcon/Dance.png,Jock,Requires a high level of friendship,Dance,5QDD3DcwdPhbGoJAf
Glee,https://acnhcdn.com/latest/ManpuIcon/HappyDance.png,Normal,,HappyDance,8nAwdhzZfotqpLC9R
Greetings,https://acnhcdn.com/latest/ManpuIcon/Greeting.png,All,,Greeting,oE6uqhZYjYfuqb55n
Happiness,https://acnhcdn.com/latest/ManpuIcon/Smiling.png,Peppy,,Smiling,TWENXBbBENgnFiGq3
Heartbreak,https://acnhcdn.com/latest/ManpuIcon/BrokenHeart.png,Smug,,BrokenHeart,ex6gKZu6zsyd6MgDr
Inspiration,https://acnhcdn.com/latest/ManpuIcon/IdeaBulb.png,Cranky,Requires a high level of friendship,IdeaBulb,8ux4ddfibJQR2EuWW
Intense,https://acnhcdn.com/latest/ManpuIcon/Silent.png,Snooty,,Silent,X2kzqTaPwtG6SGNT8
Joy,https://acnhcdn.com/latest/ManpuIcon/HappyFlower.png,All,,HappyFlower,fSNyHJHgLKac5mSLT
Laughter,https://acnhcdn.com/latest/ManpuIcon/Laughing.png,Big Sister,,Laughing,EBenMHMpwnkMgS6eg
Love,https://acnhcdn.com/latest/ManpuIcon/Love.png,Snooty,Requires a high level of friendship,Love,GvAsErCFuGAcMAeXM
Mischief,https://acnhcdn.com/latest/ManpuIcon/Scheming.png,Peppy,Requires a high level of friendship,Scheming,E7it7yLfFaddFvEhQ
Mistaken,https://acnhcdn.com/latest/ManpuIcon/Oops.png,Lazy,,Oops,DPR7WWkmR36Bsf2LG
Pleased,https://acnhcdn.com/latest/ManpuIcon/Hello.png,Normal,,Hello,Z3MuKfQMaH3D8vkPA
Pride,https://acnhcdn.com/latest/ManpuIcon/SmugFace.png,Lazy,Requires a high level of friendship,SmugFace,xKoQpdJMtocNFRckm
Resignation,https://acnhcdn.com/latest/ManpuIcon/OhGeez.png,Smug,,OhGeez,7YdF3ZMr95XP3FaoW
Sadness,https://acnhcdn.com/latest/ManpuIcon/SadSpiral.png,Normal,,SadSpiral,Wo8q6KhPtL2CYwat4
Sheepishness,https://acnhcdn.com/latest/ManpuIcon/WrySmile.png,Cranky,,WrySmile,5cRnCPDJRdRpPJF8D
Shocked,https://acnhcdn.com/latest/ManpuIcon/Surprised.png,Jock,,Surprised,bn29da8SNdMYYyWAa
Showmanship,https://acnhcdn.com/latest/ManpuIcon/Shaki.png,Smug,Requires a high level of friendship,Shaki,Bj5iG7kc6tLND9bjn
Shyness,https://acnhcdn.com/latest/ManpuIcon/Hesitate.png,Lazy,,Hesitate,9H7jt7AGKbh6mW4y8
Sighing,https://acnhcdn.com/latest/ManpuIcon/Sighing.png,Snooty,,Sighing,ntjLqg82EQNsgnzYA
Sleepy,https://acnhcdn.com/latest/ManpuIcon/Sleepy.png,Peppy,,Sleepy,9e5BhxmqtMurNWqW4
Smirking,https://acnhcdn.com/latest/ManpuIcon/Grin.png,Smug,,Grin,KDAWT9zDKpufEWgaW
Sneezing,https://acnhcdn.com/latest/ManpuIcon/Sneezing.png,Jock,,Sneezing,F6Dkk4PGtjDMCgry3
Sorrow,https://acnhcdn.com/latest/ManpuIcon/Crying.png,Lazy,,Crying,W8nngMS98uwpHHW4m
Surprise,https://acnhcdn.com/latest/ManpuIcon/Aha.png,All,,Aha,7jmkZiSxrYT7MMm4P
Thought,https://acnhcdn.com/latest/ManpuIcon/Thinking.png,Snooty,,Thinking,HEFCeCGtJ7Bkb5PXG
Worry,https://acnhcdn.com/latest/ManpuIcon/Worried.png,Cranky,,Worried,TygKeKxvotLEzWqvY
