Name,Image,DIY,Buy,Sell,Color 1,Color 2,Size,Size Category,Miles Price,Source,Source Notes,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,No,1500.0,375.0,Gray,Gray,3x2 ,Medium,NA,Saharah,,253.0,garden,outdoors,None,Slender Rugs,For sale,1.0.0,1.0.0,RugRectAluminumM00,7356.0,vFkuGbx8Sh2MDLEsq
apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,Yes,NFS,1200.0,Red,Red,3x3 ,Medium,NA,Crafting,,103.0,fancy,child's room,fruits,Fruit Rugs,Not for sale,1.0.0,1.0.0,RugOtherAppleM00,7327.0,5GsjYsaz9NDtQ6QFB
Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,No,NFS,6000.0,None,None,3x3,Medium,1200.0,Nintendo; Nook Miles Shop,,151.0,expensive,None,None,Park Rugs,Not for sale,1.2.0,1.2.0,RugOtherBellM00,12214.0,KfRapmYKpizqQWzCg
black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,No,1500.0,375.0,Black,Gray,3x3 ,Medium,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareBlockM03,11104.0,4kj8FXzMTqvZvqEra
black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,No,1500.0,375.0,Black,Black,3x2 ,Medium,NA,Saharah,,253.0,outdoors,None,None,Wood Rugs,For sale,1.0.0,1.0.0,RugRectDeckM03,7382.0,kQDKkEGfdAjqPxd4w
black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,No,1000.0,250.0,Black,Orange,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectNativeKitchenS03,7594.0,G7CAPiAEpYv6QKbsL
blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,No,2000.0,500.0,Blue,Green,4x3 ,Large,NA,Saharah,,253.0,living room,expensive,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectArgyleL02,8467.0,uw8DvCwwBia7ozA72
blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,No,1500.0,375.0,Blue,Blue,3x3 ,Medium,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareBlockM01,11102.0,Mjxd8kenDFZgTFXcm
blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,No,2000.0,500.0,Blue,Blue,4x3 ,Large,NA,Saharah,,253.0,fancy,child's room,None,Slender Pattern Rugs,For sale,1.0.0,1.0.0,RugRectDotL03,7467.0,JAAx9zSMrjXKKw2ij
blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,No,2000.0,500.0,Blue,Black,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareKirimL01,9316.0,MhvdxvmyKtddid2G2
blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,No,1000.0,250.0,Blue,Blue,2x1 ,Small,NA,Saharah,,253.0,kitchen,None,None,Kitchen Rugs,For sale,1.0.0,1.0.0,RugRectKitchenS02,8394.0,SLBDbK365pHRnKE5k
blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,No,1500.0,375.0,Blue,Blue,3x3 ,Medium,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleM02,9546.0,JfLKCbWRz4CozZYpH
blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,No,1000.0,250.0,Blue,Blue,2x1 ,Small,NA,Saharah,,253.0,child's room,None,None,Message Mats,For sale,1.0.0,1.0.0,RugOtherMessageS01,9310.0,5grLuDzGkNL4DYk4r
blue Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,No,2000.0,500.0,Blue,Beige,5x5 ,Large,NA,Saharah,,253.0,expensive,living room,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquarePersianL01,8035.0,CDY97qjWg4xG6egyS
blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,No,2000.0,500.0,Blue,Blue,5x5 ,Large,NA,Saharah,,253.0,living room,None,None,Pattern Rugs,For sale,1.0.0,1.0.0,RugSquareShaggyL02,9564.0,v4ZJPY2ToZPHXp6KH
blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,No,1000.0,250.0,Blue,Blue,2x2 ,Small,NA,Saharah,,253.0,living room,child's room,None,Shaggy Round Rugs,For sale,1.0.0,1.0.0,RugRoundSimpleS02,9549.0,BxaqCsC7TqwGdHpib
