Name,Icon Image,Photo Image,Gender,Gender (Asia),Version Added,NPC ID,Internal ID,Birthday,Unique Entry ID
Cyrus,https://acnhcdn.com/latest/NpcIcon/alp.png,https://acnhcdn.com/latest/NpcPoster/NpcSpAlp.png,Male,Male,1.2.0,alp,0.0,1/26,yJQuzNGtgcSbWw47g
Reese,https://acnhcdn.com/latest/NpcIcon/alw.png,https://acnhcdn.com/latest/NpcPoster/NpcSpAlw.png,Female,Female,1.2.0,alw,1.0,7/5,MKLPGvYfpDwWCEWQ7
Chip,,https://acnhcdn.com/latest/NpcPoster/NpcSpBev.png,Male,Male,NA,bev,2.0,12/9,XGGxy4Wx86EDDH57S
C.J.,,,Male,Male,1.0.0,bey,59.0,3/7,ztkxCvQbcCJYQEgJ7
Joan,,https://acnhcdn.com/latest/NpcPoster/NpcSpBoa.png,Female,Female,NA,boa,4.0,1/8,g489RXNAdbSB7Jdtf
Daisy Mae,,,Female,Female,1.0.0,boc,61.0,3/30,cGKq9qsGALbSyfgbR
Katrina,,https://acnhcdn.com/latest/NpcPoster/NpcSpBpt.png,Female,Female,NA,bpt,5.0,10/28,He3BpCnsFZo9yjTZc
Nat,,https://acnhcdn.com/latest/NpcPoster/NpcSpChm.png,Male,Male,NA,chm,6.0,7/25,KvScWdYZwL2e7kGNn
Flick,,,Male,Male,1.0.0,chy,63.0,5/10,iN2YPaidM5d8aCFpa
Saharah,https://acnhcdn.com/latest/NpcIcon/cml.png,https://acnhcdn.com/latest/NpcBromide/NpcSpCml.png,Female,Male,1.0.0,cml,7.0,11/10,x753Z7JdmLFZRCwGr
Copper,,https://acnhcdn.com/latest/NpcPoster/NpcSpDga.png,Male,Male,NA,dga,30.0,6/28,jdNK4NrvZmRC82yJ5
Booker,,https://acnhcdn.com/latest/NpcPoster/NpcSpDgb.png,Male,Male,NA,dgb,32.0,4/23,ucw3urkmPQzYh6s9i
Wilbur,https://acnhcdn.com/latest/NpcIcon/doc.png,,Male,Male,1.0.0,doc,66.0,7/4,ShygyMGDR4dAFDXN6
Orville,,,Male,Male,1.0.0,dod,62.0,10/2,9ifp3YpYMgGyei58b
Redd,https://acnhcdn.com/latest/NpcIcon/fox.png,https://acnhcdn.com/latest/NpcPoster/NpcSpFox.png,Male,Male,1.2.0,fox,9.0,10/18,iRkXJeZqaWApHk92x
Phineas,,https://acnhcdn.com/latest/NpcPoster/NpcSpFsl.png,Male,Male,NA,fsl,3.0,6/20,AQJEzmjGKShfyCyqX
Gracie,,https://acnhcdn.com/latest/NpcPoster/NpcSpGrf.png,Female,Male,NA,grf,10.0,11/14,chZz2xBGZBy2g9L8e
Wisp,,,Male,Male,1.0.0,gstA,55.0,2/26,SnDQ7nvg5wHmjY6Fg
Wisp,,,Male,Male,1.0.0,gstB,64.0,2/26,tJZGzhrXiu2Ft7Fj7
Gulliver,https://acnhcdn.com/latest/NpcIcon/gul.png,https://acnhcdn.com/latest/NpcBromide/NpcSpGul.png,Male,Male,1.0.0,gul,35.0,5/25,uf2Phk2T4fnoaqY2A
Gullivarrr,,,Male,Male,1.3.0,gulB,69.0,5/25,Qy6ZZFjpN2BNWP4gB
Label,https://acnhcdn.com/latest/NpcIcon/hgc.png,https://acnhcdn.com/latest/NpcBromide/NpcSpHgc.png,Female,Female,1.0.0,hgc,11.0,10/31,ueB44Z45DNkoQSZnL
Mabel,https://acnhcdn.com/latest/NpcIcon/hgh.png,https://acnhcdn.com/latest/NpcBromide/NpcSpHgh.png,Female,Female,1.0.0,hgh,12.0,5/22,swWzSCwrBNYkgTEWK
Sable,https://acnhcdn.com/latest/NpcIcon/hgs.png,https://acnhcdn.com/latest/NpcBromide/NpcSp,Female,Female,1.0.0,hgs,13.0,11/22,WQnJq8BHMee2XKQ2i
Grams,,https://acnhcdn.com/latest/NpcPoster/NpcSpKpg.png,Female,Female,NA,kpg,14.0,4/15,6Cj4smgBhJ7moa4JN
Leilani,,https://acnhcdn.com/latest/NpcPoster/NpcSpKpm.png,Female,Female,NA,kpm,15.0,9/26,D9fj5XxQmDR7ABnws
Kapp'n,,https://acnhcdn.com/latest/NpcPoster/NpcSpKpp.png,Male,Male,NA,kpp,16.0,7/12,AKDnsnCJwk4Yj96ZR
