Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Set,Miles Price,Source,Source Notes,Version Added,Version Unlocked,Filename,Variant ID,Internal ID,Unique Entry ID
axe,https://acnhcdn.com/latest/FtrIcon/ToolAxe.png,NA,NA,Yes,No,NA,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,None,NA,Nook's Cranny; Crafting,,1.0.0,1.0.0,ToolAxe,NA,2100.0,iR9zzEhzpbXTGdkR4
bamboo wand,https://acnhcdn.com/latest/FtrIcon/ToolStickBamboo.png,NA,NA,Yes,No,NA,Unlimited,1.0,NFS,3900.0,201.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolStickBamboo,NA,7590.0,YLjDYt9NhwTgoXhLD
bug wand,https://acnhcdn.com/latest/FtrIcon/ToolStcikInsect.png,NA,NA,No,No,NA,Unlimited,1.0,NFS,1500.0,501.0,None,None,1x1,None,NA,Bug-Off,,1.0.0,1.0.0,ToolStcikInsect,NA,8769.0,vqp4KBeWgZjYbFj7Z
Bunny Day wand,https://acnhcdn.com/latest/FtrIcon/ToolStickEgg.png,NA,NA,Yes,No,NA,Unlimited,1.0,NFS,11100.0,351.0,None,None,1x1,None,NA,Crafting,,1.1.0,1.1.0a,ToolStickEgg,NA,12578.0,26wk773sY75rKY2P4
cherry-blossom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCherryblossom.png,NA,NA,Yes,No,NA,Unlimited,1.0,NFS,2700.0,0.0,None,None,1x1,None,NA,Crafting,,1.0.0,1.0.0,ToolStickCherryblossom,NA,7589.0,WHHbg5ZqTMu4J2wm5
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_0_0.png,Yellow,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_0_0,0_0,8472.0,ZTf6fzMoETiRSgYyv
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_1_0.png,Orange,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_1_0,1_0,8472.0,9RuY2ZBRztSNDRrfy
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_2_0.png,Light blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_2_0,2_0,8472.0,8PASMoPi9YgSBQ2LK
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_3_0.png,Pink,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_3_0,3_0,8472.0,sfSivSgSps27Jaz5M
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_4_0.png,Green,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_4_0,4_0,8472.0,vnSiERDKYDcddtuv6
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_5_0.png,Purple,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_5_0,5_0,8472.0,avewXgm4JtCerDcd6
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_6_0.png,White,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_6_0,6_0,8472.0,wmcSp5RZAczawLnJf
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_7_0.png,Gray,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolFishingrodDuck_Remake_7_0,7_0,8472.0,v76QddpoKv2M4XspK
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_0_0.png,Yellow & orange,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_0_0,0_0,8177.0,5wGjS9fxCaGhWK5Cv
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_1_0.png,Red & yellow,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_1_0,1_0,8177.0,k4Ssqq2DesuGTy6hy
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_2_0.png,Orange & blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_2_0,2_0,8177.0,6pJhWYNiuyZKuKvYz
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_3_0.png,Pink & yellow,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_3_0,3_0,8177.0,AmK8KNTDWxdrJH6h7
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_4_0.png,Green & blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_4_0,4_0,8177.0,zcdZjuNZWrHas5efC
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_5_0.png,Purple & pink,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_5_0,5_0,8177.0,cTrR3cREJBqWZyfN6
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_6_0.png,White & blue,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_6_0,6_0,8177.0,wFcTeKJ9gM4yLgfTQ
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_7_0.png,Gray & green,Color,No,Yes,1.0,30.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolNetPattern_Remake_7_0,7_0,8177.0,kgBcZghywrT4j47vx
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_0_0.png,Yellow,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_0_0,0_0,8577.0,ojvEkqxvFKKrrB6GR
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_1_0.png,Red,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_1_0,1_0,8577.0,pnM6ygwcMS5KmSP6c
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_2_0.png,Blue,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_2_0,2_0,8577.0,MYmh4oANQabcGNjJ6
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_3_0.png,Pink,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_3_0,3_0,8577.0,c3Frxwsyo8PSKZNya
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_4_0.png,Green,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_4_0,4_0,8577.0,RbQtnSAf4HNLKuao2
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_5_0.png,Purple,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_5_0,5_0,8577.0,MiJwRTGjbkK5Jx3Zw
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_6_0.png,White,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_6_0,6_0,8577.0,XCrHq3vFnD83kY2Sg
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_7_0.png,Black,Color,No,Yes,1.0,100.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolScoopColorful_Remake_7_0,7_0,8577.0,zo7TsB8NzfnFDA7yS
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_0_0.png,Yellow,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_0_0,0_0,8580.0,dSvd9K7sRTbx6k5cd
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_1_0.png,Red,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_1_0,1_0,8580.0,WAcZwYerSQtwujaPZ
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_2_0.png,Blue,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_2_0,2_0,8580.0,k7afhFcA5Pqd8qu5F
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_3_0.png,Pink,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_3_0,3_0,8580.0,GBqsH5XYgDHk8wGAz
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_4_0.png,Green,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_4_0,4_0,8580.0,qq67sn4aq9w7w9Ga2
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_5_0.png,Purple,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_5_0,5_0,8580.0,2JHaGhkbpoa4qbhge
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_6_0.png,White,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_6_0,6_0,8580.0,cQYdSQ4MzKcnYAyc8
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_7_0.png,Black,Color,No,Yes,1.0,20.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolSlingshotColorful_Remake_7_0,7_0,8580.0,KiTQgsCkJSTq6ssm6
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_0_0.png,Yellow,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_0_0,0_0,8534.0,35yzBzko3wrMwHjST
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_1_0.png,Red,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_1_0,1_0,8534.0,ngYPKLyn5xXawzas3
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_2_0.png,Blue,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_2_0,2_0,8534.0,QxhyiwvJWyAShwyhJ
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_3_0.png,Pink,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_3_0,3_0,8534.0,yuB5QpzCg94HN6u4g
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_4_0.png,Green,Color,No,Yes,1.0,60.0,1.0,2500.0,625.0,0.0,None,None,1x1,Colorful Tools,NA,Nook's Cranny,Available in Nook's Cranny (upgraded only),1.0.0,1.0.0,ToolWateringColorful_Remake_4_0,4_0,8534.0,q3p2jaJBt5gD2HRkZ
