Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,No,NA,No,1560.0,390.0,White,Colorful,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Cloth,151.0,shop,facility,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallAbstract00,4873.0,FpdbDr4PMe5WdEZkA
ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,No,NA,No,3000.0,750.0,Beige,Brown,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,folk art,horror,None,Asia,Not for sale,1.0.0,1.0.0,RoomTexWallEgypt00,4936.0,Y2pykQMhqbEoGGa62
apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,No,NA,Yes,NFS,4000.0,Red,Red,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Cloth,103.0,fancy,child's room,fruits,Fruit Walls,Not for sale,1.0.0,1.0.0,RoomTexWallApple00,4916.0,roJZFWataeLQK6vqa
aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,No,NA,No,1420.0,355.0,Light blue,Light blue,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,bathroom,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTile01,4930.0,6NXvjsdpxJLbd96RM
arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,Yes,NA,No,2150.0,537.0,Brown,Light blue,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,shop,expensive,None,Special Walls,For sale,1.0.0,1.0.0,RoomSpWallGlass00,5482.0,TzS5oe6a7KyBezmLS
autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,Yes,Random,Yes,NFS,4700.0,Brown,Orange,NA,Crafting,,None,NA,NA,None,NA,Wood,201.0,garden,None,tree's bounty or leaves ,Special Warm Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallAutumun00,4905.0,KfLqJKhWtys8v86ig
backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,Yes,Synchro,No,3000.0,750.0,Light blue,White,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,garden,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallBackyard00,5481.0,oPYWjEfm7BqHTYipq
bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,No,NA,Yes,NFS,2400.0,Green,Beige,NA,Crafting,,None,NA,NA,None,NA,Wood,103.0,zen-style,None,bamboo,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBamboo00,4833.0,MYpD6DoNCPDw6d9t3
bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,No,NA,Yes,NFS,4300.0,Green,Green,NA,Crafting,,None,NA,NA,None,NA,Wood,201.0,zen-style,None,bamboo,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallChikurin00,4853.0,LbsrED9Rwg6SHTCpa
bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,No,NA,No,1770.0,442.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,zen-style,None,None,Wood Walls,For sale,1.0.0,1.0.0,RoomTexWallRattan00,4836.0,MZt39wkPG6P7iWG2M
bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,No,NA,No,3000.0,750.0,Gray,Gray,NA,Saharah,,None,NA,NA,None,NA,Tile,451.0,facility,expensive,None,Iron Walls,Not for sale,1.0.0,1.0.0,RoomTexWallSafeBox00,4839.0,HrgjLfo8tPzP2zpbE
basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,Yes,NA,No,600.0,150.0,White,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Tile,151.0,office,facility,None,Special Walls,For sale,1.0.0,1.0.0,RoomSpWallSimplePanel00,5559.0,FJxKPu5W2sd2YWQfA
beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,No,NA,No,1720.0,430.0,White,Orange,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,151.0,shop,kitchen,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallBeadsCurtain00,4877.0,M3mNZS2vSaHaiujcH
beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,No,NA,No,2780.0,695.0,Beige,Beige,NA,Nook's Cranny,,Arch,Wood,Glass,None,NA,Wood,151.0,child's room,living room,None,Art Deco Walls,For sale,1.0.0,1.0.0,RoomTexWallArtDeco00,4817.0,2zmJaMB2B9i8gLTKt
beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,No,NA,No,1760.0,440.0,Beige,Brown,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,151.0,fancy,living room,None,Country,For sale,1.0.0,1.0.0,RoomTexWallCountry00,4831.0,CF5325jZx7pNsqb6Z
beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,No,NA,No,2440.0,610.0,Beige,Beige,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexWallMorocco00,4834.0,qZrgjoMjxz9ehXqa4
black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,No,NA,No,1240.0,310.0,Black,Black,NA,Nook's Cranny,,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,151.0,facility,expensive,None,Wood Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallWoodTile03,6877.0,PEcX9J774Ffd6Gn8S
black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,No,NA,No,2000.0,500.0,Black,Black,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,facility,music,None,Hall Walls,For sale,1.0.0,1.0.0,RoomTexWallHall03,6862.0,pQrYRHsmovBApejNJ
black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,No,NA,No,1180.0,295.0,Black,Black,NA,Nook's Cranny,,None,NA,NA,None,NA,Tile,151.0,music,facility,None,Pegboard Walls,For sale,1.0.0,1.0.0,RoomTexWallPegboard02,4922.0,7fMiJATy4fWP4DpoC
black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,No,NA,No,1850.0,462.0,Black,Black,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Stone,151.0,bathroom,facility,None,Two-Tone Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTwoToneTile06,6859.0,aF8tqscwpShhhsASx
black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,No,NA,No,1000.0,250.0,Black,Black,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,None,NA,Wood,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexWallBrick02,4929.0,tCex7y47sAsaD44Wm
black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,No,NA,No,2350.0,587.0,Black,Black,NA,Nook's Cranny,,None,NA,NA,None,NA,Tile,151.0,expensive,None,None,Crown Walls,For sale,1.0.0,1.0.0,RoomTexWallCrown01,4815.0,4cCAvP8bbCYcyAyBE
