date,pm25,pm10,o3,no2,so2,co
2017-01-01,,30.0,18.0,9.0,1.0,
2017-01-02,85.0,36.0,12.0,12.0,1.0,
2017-01-03,104.0,40.0,11.0,12.0,1.0,
2017-01-04,109.0,58.0,13.0,15.0,1.0,
2017-01-05,126.0,52.0,9.0,13.0,1.0,
2017-01-06,120.0,55.0,12.0,16.0,2.0,
2017-01-07,130.0,52.0,4.0,14.0,1.0,
2017-01-08,138.0,41.0,3.0,13.0,1.0,
2017-01-09,115.0,49.0,3.0,18.0,1.0,
2017-01-10,153.0,29.0,7.0,11.0,1.0,
2017-01-11,88.0,27.0,7.0,9.0,1.0,
2017-01-12,74.0,38.0,18.0,15.0,2.0,
2017-01-13,87.0,52.0,27.0,16.0,2.0,
2017-01-14,114.0,62.0,28.0,15.0,1.0,
2017-01-15,141.0,47.0,26.0,13.0,1.0,
2017-01-16,113.0,40.0,14.0,15.0,1.0,
2017-01-17,100.0,48.0,15.0,17.0,1.0,
2017-01-18,109.0,53.0,22.0,18.0,1.0,
2017-01-19,124.0,49.0,17.0,13.0,1.0,
2017-01-20,106.0,47.0,20.0,9.0,1.0,
2017-01-21,102.0,40.0,19.0,9.0,,
2017-01-22,92.0,46.0,23.0,10.0,1.0,
2017-01-23,102.0,57.0,26.0,16.0,1.0,
2017-01-24,121.0,63.0,27.0,20.0,1.0,
2017-01-25,139.0,46.0,20.0,15.0,1.0,
2017-01-26,104.0,48.0,23.0,14.0,1.0,
2017-01-27,107.0,53.0,29.0,13.0,1.0,
2017-01-28,116.0,64.0,33.0,22.0,2.0,
2017-01-29,143.0,62.0,25.0,20.0,1.0,
2017-01-30,138.0,59.0,20.0,20.0,1.0,
2017-01-31,133.0,59.0,23.0,19.0,1.0,
2017-02-01,131.0,61.0,21.0,16.0,1.0,
2017-02-02,137.0,28.0,9.0,12.0,1.0,
2017-02-03,74.0,47.0,26.0,19.0,1.0,
2017-02-04,105.0,61.0,33.0,21.0,2.0,
2017-02-05,139.0,71.0,37.0,29.0,2.0,
2017-02-06,156.0,58.0,32.0,16.0,2.0,
2017-02-07,134.0,44.0,28.0,13.0,1.0,
