Flavour,Calories,Total_Fat_g,Trans_Fat_g,Carbohydrates_g,Sugars_g,Protein_g,Size
Bananas Foster,160,8.0,0.2,20,16,2.0,kids70g
Baseball Nut,160,9.0,0.2,19,13,3.0,kids70g
Beavertails Pastry,170,9.0,0.3,21,15,3.0,kids70g
Blackberry Frozen Yogurt,120,4.0,0.1,17,16,3.0,kids70g
Blue Raspberry Sherbet,130,2.0,0.1,26,20,2.0,kids70g
Blueberry Cheesecake,150,8.0,0.3,18,14,3.0,kids70g
Brownie Sundae(No Sugar Added),120,5.0,0.1,21,4,3.0,kids70g
Caramel Praline Cheesecake,170,8.0,0.2,21,17,3.0,kids70g
NSA Caramel Turtle Truffle,200,8.0,0.2,38,7,5.0,kids70g
Cherries Jubilee,220,11.0,0.4,26,19,4.0,kids70g
Chocoholic’s Resolution,190,11.0,0.2,22,17,3.0,kids70g
Chocolate,230,13.0,0.4,25,18,5.0,kids70g
Chocolate Chip,240,15.0,0.5,23,18,5.0,kids70g
Chocolate Chip Cookie Dough,280,15.0,0.5,31,23,5.0,kids70g
Chocolate Fudge,150,9.0,0.3,17,12,3.0,kids70g
Chocolate Hazelnut Truffle,280,17.0,0.4,29,20,5.0,kids70g
Chocolate Mousse Royale,180,11.0,0.2,18,13,3.0,kids70g
Citrus Twist Ice,100,0.0,0.0,25,18,0.0,kids70g
Cookies 'n Cake,190,10.0,0.2,21,16,3.0,kids70g
Cookies 'n Cream,270,17.0,0.4,25,18,5.0,kids70g
Cotton Candy,240,12.0,0.4,31,20,4.0,kids70g
Easter Egg Hunt,180,11.0,0.4,21,17,2.0,kids70g
French Vanilla,180,10.0,0.3,16,16,3.0,kids70g
Fudge Brownie,180,12.0,0.3,18,13,3.0,kids70g
German Chocolate Cake,190,10.0,0.2,21,16,4.0,kids70g
Gold Medal Ribbon,240,12.0,0.4,30,23,4.0,kids70g
Green Tea,140,9.0,0.3,13,10,3.0,kids70g
Icing on the Cake,320,18.0,0.4,36,28,4.0,kids70g
Jamoca Almond Fudge,260,15.0,0.4,28,20,5.0,kids70g
Love Potion #31,260,14.0,0.4,29,24,4.0,kids70g
Lunar Cheesecake,180,11.0,0.4,18,13,3.0,kids70g
Made with Snickers,170,9.0,0.3,21,16,3.0,kids70g
Mango Mania,130,6.0,0.2,17,14,2.0,kids70g
Mango Sorbet,70,0.0,0.0,16,12,0.0,kids70g
Mango Tango,230,10.0,0.4,29,24,4.0,kids70g
Maple Walnut,260,17.0,0.4,22,17,5.0,kids70g
Maui Brownie Madness,230,11.0,0.2,30,22,6.0,kids70g
Mint Chocolate Chip,240,15.0,0.5,23,18,5.0,kids70g
Mom’s Makin Cookies,190,9.0,0.2,24,18,2.0,kids70g
Nutty Coconut,280,19.0,0.4,23,17,6.0,kids70g
Old Fashioned Butter Pecan,260,18.0,0.4,20,16,5.0,kids70g
Peanut Butter 'n Banana,180,12.0,0.3,15,11,4.0,kids70g
Peanut Butter 'n Chocolate,290,20.0,0.4,24,17,7.0,kids70g
Peanut Butter 'n Jelly,190,12.0,0.2,16,12,4.0,kids70g
Perils of Praline,160,6.0,0.2,21,20,3.0,kids70g
NSA Pineapple Coconut,160,6.0,0.2,30,8,5.0,kids70g
