Style,StyleID
Altbier,1
Alternative Grain Beer,2
Alternative Sugar Beer,3
American Amber Ale,4
American Barleywine,5
American Brown Ale,6
American IPA,7
American Lager,8
American Light Lager,9
American Pale Ale,10
American Porter,11
American Stout,12
American Strong Ale,13
American Wheat Beer,14
American Wheat or Rye Beer,15
Apple Wine,16
Australian Sparkling Ale,17
Autumn Seasonal Beer,18
Baltic Porter,19
Belgian Blond Ale,20
Belgian Dark Strong Ale,21
Belgian Dubbel,22
Belgian Golden Strong Ale,23
Belgian Pale Ale,24
Belgian Specialty Ale,25
Belgian Tripel,26
Berliner Weisse,27
Best Bitter,28
Bière de Garde,29
Blonde Ale,30
Bohemian Pilsener,31
Braggot,32
Brett Beer,33
British Brown Ale,34
British Golden Ale,35
British Strong Ale,36
Brown Porter,37
California Common,38
California Common Beer,39
Classic American Pilsner,40
Classic Rauchbier,41
Classic Style Smoked Beer,42
Clone Beer,43
Common Cider,44
Cream Ale,45
Cyser (Apple Melomel),46
Czech Amber Lager,47
Czech Dark Lager,48
Czech Pale Lager,49
Czech Premium Pale Lager,50
Dusseldorf Altbier,51
Dark American Lager,52
Dark Mild,53
Doppelbock,54
Dortmunder Export,55
Double IPA,56
Dry Mead,57
Dry Stout,58
Dunkelweizen,59
Dunkles Bock,60
Dunkles Weissbier,61
Eisbock,62
English Barleywine,63
English Cider,64
English IPA,65
English Porter,66
Experimental Beer,67
Extra Special/Strong Bitter (ESB),68
Festbier,69
Flanders Brown Ale/Oud Bruin,70
Flanders Red Ale,71
Foreign Extra Stout,72
French Cider,73
Fruit and Spice Beer,74
Fruit Beer,75
Fruit Cider,76
Fruit Lambic,77
German Helles Exportbier,78
German Leichtbier,79
German Pils,80
German Pilsner (Pils),81
Gose,82
Gueuze,83
Helles Bock,84
Holiday/Winter Special Spiced Beer,85
Imperial IPA,86
Imperial Stout,87
International Amber Lager,88
International Dark Lager,89
International Pale Lager,90
Irish Extra Stout,91
Irish Red Ale,92
Irish Stout,93
Kölsch,94
Kellerbier: Amber Kellerbier,95
Kellerbier: Pale Kellerbier,96
Kentucky Common,97
Lambic,98
Lichtenhainer,99
Light American Lager,100
London Brown Ale,101
Märzen,102
Maibock/Helles Bock,103
Metheglin,104
Mild,105
Mixed-Fermentation Sour Beer,106
Mixed-Style Beer,107
Munich Dunkel,108
Munich Helles,109
New England Cider,110
N/A,111
North German Altbier,112
Northern English Brown,113
Oatmeal Stout,114
Oktoberfest/Märzen,115
Old Ale,116
Open Category Mead,117
Ordinary Bitter,118
Other Fruit Melomel,119
Other Smoked Beer,120
Other Specialty Cider or Perry,121
Oud Bruin,122
Piwo Grodziskie,123
Premium American Lager,124
Pre-Prohibition Lager,125
Pre-Prohibition Porter,126
Pyment (Grape Melomel),127
Rauchbier,128
Robust Porter,129
Roggenbier,130
Roggenbier (German Rye Beer),131
Russian Imperial Stout,132
Sahti,133
Saison,134
Schwarzbier,135
Scottish Export,136
Scottish Export 80/-,137
Scottish Heavy,138
Scottish Heavy 70/-,139
Scottish Light,140
Scottish Light 60/-,141
Semi-Sweet Mead,142
Southern English Brown,143
Special/Best/Premium Bitter,144
Specialty Beer,145
Specialty Fruit Beer,146
Specialty IPA: Belgian IPA,147
Specialty IPA: Black IPA,148
Specialty IPA: Brown IPA,149
Specialty IPA: Red IPA,150
Specialty IPA: Rye IPA,151
Specialty IPA: White IPA,152
Specialty Smoked Beer,153
Specialty Wood-Aged Beer,154
Spice  Herb  or Vegetable Beer,155
Standard American Lager,156
Standard/Ordinary Bitter,157
Straight (Unblended) Lambic,158
Strong Bitter,159
Strong Scotch Ale,160
Sweet Mead,161
Sweet Stout,162
Traditional Bock,163
Traditional Perry,164
Trappist Single,165
Tropical Stout,166
Vienna Lager,167
Wee Heavy,168
Weissbier,169
Weizen/Weissbier,170
Weizenbock,171
Wheatwine,172
Wild Specialty Beer,173
Winter Seasonal Beer,174
Witbier,175
Wood-Aged Beer,176
