No.,Name,Networth(USD),Age,Nationality,Source(s)ofwealth
1,JeffBezos,$131billion,55,UnitedStates,Amazon
2,BillGates,$96.5billion,63,UnitedStates,Microsoft
3,WarrenBuffett,$82.5billion,88,UnitedStates,BerkshireHathaway
4,BernardArnault,$76billion,70,France,LVMH
5,CarlosSlim,$64billion,79,Mexico,AméricaMóvil,GrupoCarso
6,AmancioOrtega,$62.7billion,82,Spain,Inditex,Zara
7,LarryEllison,$62.5billion,74,UnitedStates,OracleCorporation
8,MarkZuckerberg,$62.3billion,34,UnitedStates,Facebook
9,MichaelBloomberg,$55.5billion,77,UnitedStates,BloombergL.P.
10,LarryPage,$50.8billion,45,UnitedStates,AlphabetInc.
