title,year,genres,rank_in_year,imdb_rating,rt_score,rt_audience_score,worldwide_gross,2015_inflation,adjusted,rt_freshness,audience_freshness,length,rating,release_date,studio,poster_url,poster_img
Captain America: The Winter Soldier,2014,Sci-Fi|Adventure|Action,7,7.8,7.5,4.3,714766572.0,-0.26%,712903691.09,89.0,92.0,136.0,PG-13,2014-04-04,Marvel Studios,http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg,<img src=http://resizing.flixster.com/gxRJwetP1eNIrPR6xlWBfD_VaFc=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/72/11177246_ori.jpg width=100>
Dawn of the Planet of the Apes,2014,Sci-Fi|Drama|Action,9,7.7,7.9,4.2,708835589.0,-0.26%,706988165.89,90.0,89.0,130.0,PG-13,2014-07-11,20th Century Fox,http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg,<img src=http://resizing.flixster.com/gDtbA1iPxTYEjBZeSsIYktCtUiw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189194_ori.jpg width=100>
Guardians of the Galaxy,2014,Sci-Fi|Adventure|Action,3,8.1,7.7,4.4,774176600.0,-0.26%,772158880.0,91.0,93.0,121.0,PG-13,2014-08-01,Marvel Studios,http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg,<img src=http://resizing.flixster.com/YrF_OeTQx3bXNsMLIy_NocjA4wI=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178082_ori.jpg width=100>
Interstellar,2014,Sci-Fi|Adventure,10,8.7,7.0,4.2,672974414.0,-0.26%,671220455.1,72.0,86.0,169.0,PG-13,2014-11-07,Paramount Pictures|Warner Bros.,http://resizing.flixster.com/l9yjA-72sZMYECeOjx-r14mgXtU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/19/08/11190860_ori.jpg,<img src=http://resizing.flixster.com/l9yjA-72sZMYECeOjx-r14mgXtU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/19/08/11190860_ori.jpg width=100>
Maleficent,2014,Family|Adventure|Action,4,7.1,5.7,3.8,758654942.0,-0.26%,756677675.77,49.0,71.0,97.0,PG,2014-05-30,Walt Disney Pictures,http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg,<img src=http://resizing.flixster.com/YukULOFULUesVZccNjOZzF1YX30=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/12/11181292_ori.jpg width=100>
The Amazing Spider-Man 2,2014,Fantasy|Adventure|Action,8,6.9,5.9,3.7,709582323.0,-0.26%,707732953.69,53.0,66.0,142.0,PG-13,2014-05-02,Columbia Pictures,http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg,<img src=http://resizing.flixster.com/uJRknhjV8s_CDr9Krj6hzk4GzYM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/00/11180032_ori.jpg width=100>
The Hobbit: The Battle of the Five Armies,2014,Fantasy|Adventure,2,7.5,6.3,3.9,955113783.0,-0.26%,952624490.27,61.0,76.0,144.0,PG-13,2014-12-17,Warner Bros.|New Line Cinema|MGM,http://resizing.flixster.com/KK-V3xB7CY355XaejcerpzryvDs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/97/11179703_ori.jpg,<img src=http://resizing.flixster.com/KK-V3xB7CY355XaejcerpzryvDs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/97/11179703_ori.jpg width=100>
The Hunger Games: Mockingjay - Part 1,2014,Sci-Fi|Adventure,5,6.8,6.3,3.8,752100229.0,-0.26%,750140046.17,65.0,73.0,123.0,PG-13,2014-11-21,Lionsgate Films,http://resizing.flixster.com/rrb4D1D8S1_ACJFg1qDpd6bY4cQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189899_ori.jpg,<img src=http://resizing.flixster.com/rrb4D1D8S1_ACJFg1qDpd6bY4cQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/98/11189899_ori.jpg width=100>
Transformers: Age of Extinction,2014,Sci-Fi|Adventure|Action,1,5.8,3.9,3.3,1091404499.0,-0.26%,1088559994.68,18.0,52.0,165.0,PG-13,2014-06-27,Paramount Pictures,http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg,<img src=http://resizing.flixster.com/jXWcxIKVUq4G-2vl7aClbKnOXr4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/05/11180556_ori.jpg width=100>
X-Men: Days of Future Past,2014,Sci-Fi|Adventure|Action,6,8.1,7.6,4.3,748121534.0,-0.26%,746171720.76,91.0,92.0,131.0,PG-13,2014-05-23,20th Century Fox,http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg,<img src=http://resizing.flixster.com/Oi1KcdBv_gG5Xqk84faEkayyX9E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180875_ori.jpg width=100>
