name,dob,role,img_url
BAMBOO,2002-09-03,51,https://www.bnk48.com/data/Members/51/s/20200225103349prstwz.jpg
CHERPRANG,1996-05-02,4,https://www.bnk48.com/data/Members/4/s/20200225103459cdehi6.jpg
FAII,1996-06-28,48,https://www.bnk48.com/data/Members/48/s/20200225103605jny256.jpg
FIFA,2001-11-06,47,https://www.bnk48.com/data/Members/47/s/20200225103644hlmx14.jpg
FOND,2002-12-03,46,https://www.bnk48.com/data/Members/46/s/20200225103736cdgq57.jpg
GYGEE,2001-10-04,45,https://www.bnk48.com/data/Members/45/s/20200225103802dixz89.jpg
JAA,2003-01-20,23,https://www.bnk48.com/data/Members/23/s/20200225103832astv18.jpg
JANE,2000-03-23,24,https://www.bnk48.com/data/Members/24/s/20200225103903abesxy.jpg
JENNIS,2000-07-04,2,https://www.bnk48.com/data/Members/2/s/20200225103931afhi15.jpg
JIB,2002-07-04,22,https://www.bnk48.com/data/Members/22/s/20200225104000jknvx2.jpg
JUNÉ,2000-07-04,44,https://www.bnk48.com/data/Members/44/s/20200225104030djknrt.jpg
KAEW,1994-03-31,21,https://www.bnk48.com/data/Members/21/s/20200225104056lmops4.jpg
KAIMOOK,1997-08-27,20,https://www.bnk48.com/data/Members/20/s/20200225104127gnsy58.jpg
KATE,2001-06-09,19,https://www.bnk48.com/data/Members/19/s/20200225104224bvy125.jpg
KHAMIN,1999-04-23,43,https://www.bnk48.com/data/Members/43/s/20200225104256flmnw6.jpg
KHENG,2000-03-26,42,https://www.bnk48.com/data/Members/42/s/20200225104329blosu3.jpg
KORN,1999-01-21,18,https://www.bnk48.com/data/Members/18/s/20200225104403bjmsw1.jpg
MEWNICH,2002-03-11,40,https://www.bnk48.com/data/Members/40/s/20200225104432hkln39.jpg
MIND,2001-09-06,16,https://www.bnk48.com/data/Members/16/s/20200225104503hmoy12.jpg
MINMIN,1997-03-20,39,https://www.bnk48.com/data/Members/39/s/20200225104533cqtw68.jpg
MIORI,1998-09-30,15,https://www.bnk48.com/data/Members/15/s/20200225104557bqt568.jpg
MOBILE,2002-07-09,14,https://www.bnk48.com/data/Members/14/s/20200225104622ksv146.jpg
MUSIC,2001-02-24,13,https://www.bnk48.com/data/Members/13/s/20200225104652aimns2.jpg
MYYU,1999-10-28,38,https://www.bnk48.com/data/Members/38/s/20200225104721egrsu8.jpg
NAMNEUNG,1996-11-11,12,https://www.bnk48.com/data/Members/12/s/20200225104751bejpx3.jpg
NAMSAI,1999-10-26,11,https://www.bnk48.com/data/Members/11/s/20200225104816cimo47.jpg
NATHERINE,1999-11-11,37,https://www.bnk48.com/data/Members/37/s/20191119013537gkqr45.png
NEW,2003-01-02,36,https://www.bnk48.com/data/Members/36/s/20200225104847bcfghs.jpg
NIKY,2005-01-26,35,https://www.bnk48.com/data/Members/35/s/20200225104918ijmw14.jpg
NINE,2000-11-11,34,https://www.bnk48.com/data/Members/34/s/20200225104946mqw249.jpg
NOEY,1997-04-09,9,https://www.bnk48.com/data/Members/9/s/20200225105018opvxy6.jpg
OOM,2002-09-29,33,https://www.bnk48.com/data/Members/33/s/20191119013829iorw79.png
ORN,1997-02-03,3,https://www.bnk48.com/data/Members/3/s/20200225105044binqw4.jpg
PAKWAN,2000-02-18,32,https://www.bnk48.com/data/Members/32/s/20200225105111egpx13.jpg
PANDA,1997-10-10,31,https://www.bnk48.com/data/Members/31/s/20200225105136bdknt1.jpg
PHUKKHOM,1998-02-28,30,https://www.bnk48.com/data/Members/30/s/20200225105201himuy8.jpg
PIAM,2003-06-04,8,https://www.bnk48.com/data/Members/8/s/20200225105224klnqu3.jpg
PUN,2000-11-09,1,https://www.bnk48.com/data/Members/1/s/20200225105247gmz345.jpg
PUPE,1998-01-18,7,https://www.bnk48.com/data/Members/7/s/20200225105310lnpx37.jpg
RATAH,2002-03-27,29,https://www.bnk48.com/data/Members/29/s/20200225105340enr568.jpg
SATCHAN,2003-12-13,6,https://www.bnk48.com/data/Members/6/s/20200225105406imnu19.jpg
STANG,2003-10-22,28,https://www.bnk48.com/data/Members/28/s/20200225105431hlnpw1.jpg
TARWAAN,1996-12-18,5,https://www.bnk48.com/data/Members/5/s/20200225105457bginx5.jpg
VIEW,2004-05-28,27,https://www.bnk48.com/data/Members/27/s/20200225105521bhnw13.jpg
WEE,2001-10-23,26,https://www.bnk48.com/data/Members/26/s/20200225105542ais124.jpg
