rank,title,studio,lifetime_gross,year
1,Star Wars: The Force Awakens,BV,936662225,2015
2,Avatar,Fox,760507625,2009
3,Black Panther,BV,700059566,2018
4,Avengers: Infinity War,BV,678681680,2018
5,Titanic,Par.,659363944,1997
6,Jurassic World,Uni.,652270625,2015
7,Marvel's The Avengers,BV,623357910,2012
8,Star Wars: The Last Jedi,BV,620181382,2017
9,Incredibles 2,BV,597066966,2018
10,The Dark Knight,WB,534858444,2008
11,Rogue One: A Star Wars Story,BV,532177324,2016
12,Beauty and the Beast (2017),BV,504014165,2017
13,Finding Dory,BV,486295561,2016
14,Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999
15,Star Wars,Fox,460998007,1977
16,Avengers: Age of Ultron,BV,459005868,2015
17,The Dark Knight Rises,WB,448139099,2012
18,Shrek 2,DW,441226247,2004
19,E.T.: The Extra-Terrestrial,Uni.,435110554,1982
20,The Hunger Games: Catching Fire,LGF,424668047,2013
21,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,2006
22,The Lion King,BV,422783777,1994
23,Toy Story 3,BV,415004880,2010
24,Jurassic World: Fallen Kingdom,Uni.,413025695,2018
25,Wonder Woman,WB,412563408,2017
26,Iron Man 3,BV,409013994,2013
27,Captain America: Civil War,BV,408084349,2016
28,The Hunger Games,LGF,408010692,2012
29,Jumanji: Welcome to the Jungle,Sony,404515480,2017
30,Spider-Man,Sony,403706375,2002
31,Jurassic Park,Uni.,402453882,1993
32,Transformers: Revenge of the Fallen,P/DW,402111870,2009
33,Frozen,BV,400738009,2013
34,Guardians of the Galaxy Vol. 2,BV,389813101,2017
35,Harry Potter and the Deathly Hallows Part 2,WB,381011219,2011
36,Finding Nemo,BV,380843261,2003
37,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,2005
38,The Lord of the Rings: The Return of the King,NL,377845905,2003
39,Spider-Man 2,Sony,373585825,2004
40,The Passion of the Christ,NM,370782930,2004
41,The Secret Life of Pets,Uni.,368384330,2016
42,Despicable Me 2,Uni.,368061265,2013
43,The Jungle Book (2016),BV,364001123,2016
44,Deadpool,Fox,363070709,2016
45,Inside Out,BV,356461711,2015
46,Furious 7,Uni.,353007020,2015
47,Transformers: Dark of the Moon,P/DW,352390543,2011
48,American Sniper,WB,350126372,2014
49,The Lord of the Rings: The Two Towers,NL,342551365,2002
50,Zootopia,BV,341268248,2016
51,The Hunger Games: Mockingjay - Part 1,LGF,337135885,2014
52,Spider-Man 3,Sony,336530303,2007
53,Minions,Uni.,336045770,2015
54,Spider-Man: Homecoming,Sony,334201140,2017
55,Alice in Wonderland (2010),BV,334191110,2010
56,Guardians of the Galaxy,BV,333176600,2014
57,Batman v Superman: Dawn of Justice,WB,330360194,2016
58,Forrest Gump,Par.,330252182,1994
59,It,WB (NL),327481748,2017
60,Suicide Squad,WB,325100054,2016
61,Shrek the Third,P/DW,322719944,2007
62,Transformers,P/DW,319246193,2007
63,Iron Man,Par.,318412101,2008
64,Deadpool 2,Fox,318365417,2018
65,Harry Potter and the Sorcerer's Stone,WB,317575550,2001
66,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,2008
67,The Lord of the Rings: The Fellowship of the Ring,NL,315544750,2001
68,Thor: Ragnarok,BV,315058289,2017
69,Iron Man 2,Par.,312433331,2010
70,Star Wars: Episode II - Attack of the Clones,Fox,310676740,2002
71,Pirates of the Caribbean: At World's End,BV,309420425,2007
72,Return of the Jedi,Fox,309306177,1983
73,Independence Day,Fox,306169268,1996
74,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,2003
75,Skyfall,Sony,304360277,2012
76,The Hobbit: An Unexpected Journey,WB (NL),303003568,2012
77,Harry Potter and the Half-Blood Prince,WB,301959197,2009
78,The Twilight Saga: Eclipse,Sum.,300531751,2010
79,The Twilight Saga: New Moon,Sum.,296623634,2009
80,Harry Potter and the Deathly Hallows Part 1,WB,295983305,2010
81,The Sixth Sense,BV,293506292,1999
82,Up,BV,293004164,2009
83,Inception,WB,292576195,2010
84,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,2012
85,Harry Potter and the Order of the Phoenix,WB,292004738,2007
86,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957,2005
87,Man of Steel,WB,291045518,2013
88,The Empire Strikes Back,Fox,290475067,1980
89,Harry Potter and the Goblet of Fire,WB,290013036,2005
90,"Monsters, Inc.",BV,289916256,2001
91,Home Alone,Fox,285761243,1990
92,The Hunger Games: Mockingjay - Part 2,LGF,281723902,2015
93,The Matrix Reloaded,WB,281576461,2003
94,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,2011
95,Meet the Fockers,Uni.,279261160,2004
96,The Hangover,WB,277322503,2009
97,Gravity,WB,274092705,2013
98,Sing,Uni.,270395425,2016
99,Monsters University,BV,268492764,2013
100,Shrek,DW,267665011,2001
101,Despicable Me 3,Uni.,264624300,2017
102,The Amazing Spider-Man,Sony,262030663,2012
103,Harry Potter and the Chamber of Secrets,WB,261988482,2002
104,The Incredibles,BV,261441092,2004
105,How the Grinch Stole Christmas,Uni.,260044825,2000
106,Jaws,Uni.,260000000,1975
107,Captain America: The Winter Soldier,BV,259766572,2014
108,The Hobbit: The Desolation of Smaug,WB (NL),258366855,2013
109,The LEGO Movie,WB,257760692,2014
110,Star Trek,Par.,257730019,2009
111,I Am Legend,WB,256393010,2007
112,The Blind Side,WB,255959475,2009
113,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,2014
114,The Hangover Part II,WB,254464305,2011
115,Despicable Me,Uni.,251513985,2010
116,Batman,WB,251188924,1989
117,Night at the Museum,Fox,250863268,2006
118,Men in Black,Sony,250690539,1997
119,Harry Potter and the Prisoner of Azkaban,WB,249541069,2004
120,Moana,BV,248757044,2016
121,Raiders of the Lost Ark,Par.,248159971,1981
122,Toy Story 2,BV,245852179,1999
123,Transformers: Age of Extinction,Par.,245439076,2014
124,Cars,BV,244082982,2006
125,Bruce Almighty,Uni.,242829261,2003
126,Ghostbusters,Col.,242212467,1984
127,Twister,WB,241721524,1996
128,My Big Fat Greek Wedding,IFC,241438208,2002
129,Maleficent,BV,241410378,2014
130,Pirates of the Caribbean: On Stranger Tides,BV,241071802,2011
131,Shrek Forever After,P/DW,238736787,2010
132,Fast & Furious 6,Uni.,238679850,2013
133,Brave,BV,237283207,2012
134,Oz The Great and Powerful,BV,234911825,2013
135,Beverly Hills Cop,Par.,234760478,1984
136,X-Men: The Last Stand,Fox,234362462,2006
137,War of the Worlds,Par.,234280354,2005
138,Fantastic Beasts and Where To Find Them,WB,234037575,2016
139,X-Men: Days of Future Past,Fox,233921534,2014
140,Cast Away,Fox,233632142,2000
141,The Exorcist,WB,232906145,1973
142,Doctor Strange,BV,232641920,2016
143,The Lost World: Jurassic Park,Uni.,229086679,1997
144,Justice League,WB,229024295,2017
145,Star Trek Into Darkness,Par.,228778661,2013
146,The Martian,Fox,228433663,2015
147,Signs,BV,227966634,2002
148,Hancock,Sony,227946274,2008
149,The Bourne Ultimatum,Uni.,227471070,2007
150,Logan,Fox,226277068,2017
151,Rush Hour 2,NL,226164286,2001
152,The Fate of the Furious,Uni.,226008385,2017
153,WALL-E,BV,223808164,2008
154,Big Hero 6,BV,222527828,2014
155,National Treasure: Book of Secrets,BV,219964115,2007
156,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,2009
157,Mrs. Doubtfire,Fox,219195243,1993
158,Beauty and the Beast,BV,218967620,1991
159,Ted,Uni.,218815487,2012
160,King Kong,Uni.,218080025,2005
161,Ghost,Par.,217631306,1990
162,How to Train Your Dragon,P/DW,217581231,2010
