rank,title,studio,lifetime_gross,year
1,Star Wars: The Force Awakens,BV,936662225,2015
2,Avengers: Endgame,BV,857190335,2019
3,Avatar,Fox,760507625,2009
4,Black Panther,BV,700059566,2018
5,Avengers: Infinity War,BV,678815482,2018
6,Titanic,Par.,659363944,1997
7,Jurassic World,Uni.,652270625,2015
8,Marvel's The Avengers,BV,623357910,2012
9,Star Wars: The Last Jedi,BV,620181382,2017
10,Incredibles 2,BV,608581744,2018
11,The Dark Knight,WB,535234033,2008
12,Rogue One: A Star Wars Story,BV,532177324,2016
13,Beauty and the Beast (2017),BV,504014165,2017
14,Finding Dory,BV,486295561,2016
15,Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999
16,Star Wars,Fox,460998007,1977
17,Avengers: Age of Ultron,BV,459005868,2015
18,The Dark Knight Rises,WB,448139099,2012
19,Shrek 2,DW,441226247,2004
20,E.T.: The Extra-Terrestrial,Uni.,435110554,1982
21,Captain Marvel ,BV,426829839,2019
22,The Hunger Games: Catching Fire,LGF,424668047,2013
23,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,2006
24,The Lion King,BV,422783777,1994
25,Jurassic World: Fallen Kingdom,Uni.,417719760,2018
26,Toy Story 3,BV,415004880,2010
27,Wonder Woman,WB,412563408,2017
28,Iron Man 3,BV,409013994,2013
29,Captain America: Civil War,BV,408084349,2016
30,The Hunger Games,LGF,408010692,2012
31,Toy Story 4,BV,404979743,2019
32,Jumanji: Welcome to the Jungle,Sony,404564861,2017
33,The Lion King (2019),BV,403748078,2019
34,Spider-Man,Sony,403706375,2002
35,Jurassic Park,Uni.,402828120,1993
36,Transformers: Revenge of the Fallen,P/DW,402111870,2009
37,Frozen,BV,400738009,2013
38,Guardians of the Galaxy Vol. 2,BV,389813101,2017
39,Harry Potter and the Deathly Hallows Part 2,WB,381193157,2011
40,Finding Nemo,BV,380843261,2003
41,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,2005
42,The Lord of the Rings: The Return of the King,NL,377845905,2003
43,Spider-Man 2,Sony,373585825,2004
44,The Passion of the Christ,NM,370782930,2004
45,The Secret Life of Pets,Uni.,368384330,2016
46,Despicable Me 2,Uni.,368061265,2013
47,The Jungle Book (2016),BV,364001123,2016
48,Deadpool,Fox,363070709,2016
49,Inside Out,BV,356461711,2015
50,Spider-Man: Far from Home,Sony,354788925,2019
51,Furious 7,Uni.,353007020,2015
52,Transformers: Dark of the Moon,P/DW,352390543,2011
53,American Sniper,WB,350126372,2014
54,Aladdin (2019),BV,348926592,2019
55,The Lord of the Rings: The Two Towers,NL,342551365,2002
56,Zootopia,BV,341268248,2016
57,The Hunger Games: Mockingjay - Part 1,LGF,337135885,2014
58,Spider-Man 3,Sony,336530303,2007
59,Minions,Uni.,336045770,2015
60,Aquaman,WB,335061807,2018
61,Spider-Man: Homecoming,Sony,334201140,2017
62,Alice in Wonderland (2010),BV,334191110,2010
63,Guardians of the Galaxy,BV,333176600,2014
64,Forrest Gump,Par.,330455270,1994
65,Batman v Superman: Dawn of Justice,WB,330360194,2016
66,It,WB (NL),327481748,2017
67,Suicide Squad,WB,325100054,2016
68,Deadpool 2,Fox,324591735,2018
69,Shrek the Third,P/DW,322719944,2007
70,Transformers,P/DW,319246193,2007
71,Iron Man,Par.,318412101,2008
72,Harry Potter and the Sorcerer's Stone,WB,317871467,2001
73,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,2008
74,The Lord of the Rings: The Fellowship of the Ring,NL,315544750,2001
75,Thor: Ragnarok,BV,315058289,2017
76,Iron Man 2,Par.,312433331,2010
77,Star Wars: Episode II - Attack of the Clones,Fox,310676740,2002
78,Pirates of the Caribbean: At World's End,BV,309420425,2007
79,Return of the Jedi,Fox,309306177,1983
80,Independence Day,Fox,306169268,1996
81,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,2003
82,Skyfall,Sony,304360277,2012
83,The Hobbit: An Unexpected Journey,WB (NL),303003568,2012
84,Harry Potter and the Half-Blood Prince,WB,302089278,2009
85,The Twilight Saga: Eclipse,Sum.,300531751,2010
86,The Twilight Saga: New Moon,Sum.,296623634,2009
87,Harry Potter and the Deathly Hallows Part 1,WB,296131568,2010
88,The Sixth Sense,BV,293506292,1999
89,Up,BV,293004164,2009
90,Inception,WB,292576195,2010
91,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,2012
92,Harry Potter and the Order of the Phoenix,WB,292137260,2007
93,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957,2005
94,Man of Steel,WB,291045518,2013
95,The Empire Strikes Back,Fox,290475067,1980
96,Harry Potter and the Goblet of Fire,WB,290201752,2005
97,"Monsters, Inc.",BV,289916256,2001
98,Home Alone,Fox,285761243,1990
99,The Hunger Games: Mockingjay - Part 2,LGF,281723902,2015
100,The Matrix Reloaded,WB,281576461,2003
101,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,2011
102,Meet the Fockers,Uni.,279261160,2004
103,The Hangover,WB,277322503,2009
104,Gravity,WB,274092705,2013
105,Dr. Seuss' The Grinch (2018),Uni.,270620950,2018
106,Sing,Uni.,270395425,2016
107,Monsters University,BV,268492764,2013
108,Shrek,DW,267665011,2001
109,Despicable Me 3,Uni.,264624300,2017
110,Harry Potter and the Chamber of Secrets,WB,262233983,2002
111,The Amazing Spider-Man,Sony,262030663,2012
112,The Incredibles,BV,261441092,2004
113,How the Grinch Stole Christmas,Uni.,260044825,2000
114,Jaws,Uni.,260000000,1975
115,Captain America: The Winter Soldier,BV,259766572,2014
116,The Hobbit: The Desolation of Smaug,WB (NL),258366855,2013
117,The LEGO Movie,WB,257760692,2014
118,Star Trek,Par.,257730019,2009
119,I Am Legend,WB,256393010,2007
120,The Blind Side,WB,255959475,2009
121,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,2014
122,The Hangover Part II,WB,254464305,2011
123,Despicable Me,Uni.,251513985,2010
124,Batman,WB,251348343,1989
125,Night at the Museum,Fox,250863268,2006
126,Men in Black,Sony,250690539,1997
127,Harry Potter and the Prisoner of Azkaban,WB,249759843,2004
128,Moana,BV,248757044,2016
129,Raiders of the Lost Ark,Par.,248159971,1981
130,Toy Story 2,BV,245852179,1999
131,Transformers: Age of Extinction,Par.,245439076,2014
132,Cars,BV,244082982,2006
133,Bruce Almighty,Uni.,242829261,2003
134,Ghostbusters,Col.,242212467,1984
135,Twister,WB,241721524,1996
136,My Big Fat Greek Wedding,IFC,241438208,2002
137,Maleficent,BV,241410378,2014
138,Pirates of the Caribbean: On Stranger Tides,BV,241071802,2011
139,Shrek Forever After,P/DW,238736787,2010
140,Fast & Furious 6,Uni.,238679850,2013
141,Brave,BV,237283207,2012
142,Oz The Great and Powerful,BV,234911825,2013
143,Beverly Hills Cop,Par.,234760478,1984
144,X-Men: The Last Stand,Fox,234362462,2006
145,War of the Worlds,Par.,234280354,2005
146,Fantastic Beasts and Where To Find Them,WB,234037575,2016
147,X-Men: Days of Future Past,Fox,233921534,2014
148,Cast Away,Fox,233632142,2000
149,The Exorcist,WB,232906145,1973
150,Doctor Strange,BV,232641920,2016
151,The Lost World: Jurassic Park,Uni.,229086679,1997
152,Justice League,WB,229024295,2017
153,Star Trek Into Darkness,Par.,228778661,2013
154,The Martian,Fox,228433663,2015
155,Signs,BV,227966634,2002
156,Hancock,Sony,227946274,2008
157,The Bourne Ultimatum,Uni.,227471070,2007
158,Logan (2017),Fox,226277068,2017
159,Rush Hour 2,NL,226164286,2001
160,The Fate of the Furious,Uni.,226008385,2017
161,WALL-E,BV,223808164,2008
162,Big Hero 6,BV,222527828,2014
163,Mission: Impossible - Fallout,Par.,220159104,2018
164,National Treasure: Book of Secrets,BV,219964115,2007
165,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,2009
166,Mrs. Doubtfire,Fox,219195243,1993
167,Beauty and the Beast,BV,218967620,1991
168,Ted,Uni.,218815487,2012
169,King Kong,Uni.,218080025,2005
170,Ghost,Par.,217631306,1990
171,How to Train Your Dragon,P/DW,217581231,2010
172,The Da Vinci Code,Sony,217536138,2006
173,Aladdin,BV,217350219,1992
