drink,Volume (ml),Calories,Caffeine (mg),type
Costa Coffee,256.99371499999995,0,277,Coffee
Coffee Friend Brewed Coffee,250.19181000000003,0,145,Coffee
Hell Energy Coffee,250.19181000000003,150,100,Coffee
Killer Coffee (AU),250.19181000000003,0,430,Coffee
Nescafe Gold,250.19181000000003,0,66,Coffee
Espresso Monster,248.41740000000001,170,160,Coffee
Dunkin Donuts Shot In The Dark,239.54534999999998,80,134,Coffee
Illy Issimo Cafe,201.0998,45,155,Coffee
Starbucks Doubleshot Espresso,192.22775,140,120,Coffee
TrueStart Performance Coffee,150.82485,0,95,Coffee
Bizzy Cold Brew,78.96124499999999,0,125,Coffee
Zola Coconut Water Espresso,517.53625,0,125,Coffee
Barista Bros Iced Coffee,500.08788499999997,204,140,Coffee
Dare Iced Coffee,500.08788499999997,429,160,Coffee
V Iced Coffee,500.08788499999997,345,155,Coffee
Bottled Iced Coffee Dunkin Donuts,405.15695,260,171,Coffee
Starbucks Bottled Frappuccino,405.15695,300,110,Coffee
Stok Cold Brew,405.15695,0,145,Coffee
Wide Awake Iced Coffee Drinks,405.15695,290,30,Coffee
Caribou Canned Cold Brew,340.09524999999996,10,177,Coffee
McDonalds Iced Coffee,340.09524999999996,180,133,Coffee
Premier Protein Cafe Latte,340.09524999999996,160,120,Coffee
Stumptown Cold Brew Coffee,310.52175,3,279,Coffee
Espresso Shot,44.36025,0,77,Coffee
Peet's Coffee Espresso,44.36025,0,70,Coffee
Peet's Decaf Espresso,44.36025,0,10,Coffee
Gourmesso Coffee Pods,39.924225,0,65,Coffee
Nespresso Coffee Capsules,39.924225,0,60,Coffee
Stok Coffee Shots,12.716605,10,40,Coffee
Starbucks Bottled Iced Coffee,1419.528,240,640,Coffee
Baskin Robbins Cappuccino Blast,709.764,470,234,Coffee
Dunkin' Cold Brew,709.764,5,260,Coffee
Dunkin' Donuts Iced Coffee,709.764,20,297,Coffee
Dunkin' Donuts Iced Latte,709.764,100,166,Coffee
Dutch Bros Coffee (Classic),591.47,10,187,Coffee
Tim Hortons Large Brewed Coffee,591.47,5,270,Coffee
7 Eleven Brewed Coffee,473.176,5,280,Coffee
Arby's Jamocha Shake,473.176,830,12,Coffee
Biggby Brewed Coffee,473.176,0,200,Coffee
Biggby Creamy Lattes,473.176,387,100,Coffee
Biggby Iced Coffee,473.176,0,155,Coffee
Caribou Brewed Coffee,473.176,5,305,Coffee
Coffee Bean & Tea leaf Coffee,473.176,5,333,Coffee
Einstein Bros Coffee,473.176,0,206,Coffee
Latte,473.176,160,154,Coffee
McDonalds (McCafe) Latte,473.176,190,142,Coffee
McDonalds (McCafe) Mocha,473.176,380,167,Coffee
McDonalds Coffee,473.176,0,145,Coffee
Panera Bread Coffee,473.176,15,189,Coffee
Peet's Brewed Coffee,473.176,5,267,Coffee
Peet's Caffe Americano,473.176,10,140,Coffee
Peet's Caffe Latte,473.176,190,140,Coffee
Peet's Caffe Mocha,473.176,390,165,Coffee
Peet's Cappuccino,473.176,140,140,Coffee
Peet's Iced Coffee,473.176,0,150,Coffee
Peet's Iced Latte,473.176,120,140,Coffee
Peet's Iced Mocha,473.176,310,165,Coffee
Starbucks Caramel Macchiato,473.176,250,150,Coffee
Starbucks Cold Brew Coffee,473.176,5,205,Coffee
Starbucks Decaf Coffee,473.176,0,25,Coffee
Starbucks Grande Caffe Americano,473.176,15,225,Coffee
Starbucks Grande Caffe Latte,473.176,190,150,Coffee
Starbucks Grande Caffe Mocha,473.176,370,175,Coffee
Starbucks Grande Cappuccino,473.176,140,150,Coffee
Starbucks Grande Coffee,473.176,5,310,Coffee
Starbucks Iced Americano,473.176,15,225,Coffee
Starbucks Nitro Cold Brew Coffee,473.176,5,280,Coffee
Starbucks Pink Drink,473.176,140,45,Coffee
Starbucks Pumpkin Cream Cold Brew,473.176,250,185,Coffee
Starbucks Refreshers,473.176,70,45,Coffee
Wawa Coffee,473.176,4,290,Coffee
Private Selection Canned Espresso,443.60249999999996,230,145,Coffee
Starbucks Doubleshot Energy,443.60249999999996,220,135,Coffee
Wide Awak Energy Coffee,443.60249999999996,190,180,Coffee
Chick-fil-A Frosted Coffee,414.029,240,130,Coffee
Chick-fil-A Iced Coffee,414.029,190,80,Coffee
Dunkin' Donuts Brewed Coffee,414.029,5,210,Coffee
Dunkin' Donuts Dunkaccino,414.029,350,83,Coffee
Dunkin' Donuts Extra Charged Coffee,414.029,10,252,Coffee
Dunkin' Donuts Latte,414.029,100,166,Coffee
Americano Coffee,354.882,5,154,Coffee
Big Train Java Chip Ice Coffee,354.882,410,49,Coffee
Biohazard Coffee,354.882,3,928,Coffee
Black Ink Coffee,354.882,0,144,Coffee
Black Insomnia Coffee,354.882,0,1105,Coffee
Black Label Brewed Coffee,354.882,0,1555,Coffee
Cafe Bustelo,354.882,0,150,Coffee
Caffe Mocha,354.882,239,152,Coffee
Caffe Nero Coffee,354.882,5,160,Coffee
Cannonball Coffee Maximum Charge (UK),354.882,0,1101,Coffee
Cappuccino,354.882,97,154,Coffee
Death Wish Coffee,354.882,0,728,Coffee
Devils Brew Extreme Caffeine Coffee,354.882,0,1325,Coffee
Flat White,354.882,170,130,Coffee
GymBrew Coffee,354.882,4,333,Coffee
High Voltage Coffee (AU),354.882,0,1150,Coffee
International Delight Iced Coffee,354.882,180,88,Coffee
Seattle's Best Brewed Coffee,354.882,10,260,Coffee
Starbucks Iced Espresso Classics,354.882,190,125,Coffee
Stipe Miocic Extra Strength Coffee,354.882,0,500,Coffee
Sudden Instant Coffee,354.882,0,95,Coffee
Taft Coffee (EU),354.882,0,1182,Coffee
Very Strong Coffee,354.882,0,1350,Coffee
Chameleon Cold Brew With Milk,325.3085,100,100,Coffee
Muscle Milk Coffee House,325.3085,130,120,Coffee
SlimFast Shake - Cappuccino,325.3085,180,100,Coffee
Starbucks Bottled Cold Brew,325.3085,50,180,Coffee
Starbucks Canned Nitro Cold Brew,325.3085,0,235,Coffee
Starbucks Cold & Crafted,325.3085,50,135,Coffee
Stumptown Nitro Cold Brew,325.3085,3,330,Coffee
Sunup Pure Green Coffee,325.3085,5,200,Coffee
Wide Awake Coffee Cold Brew,325.3085,5,120,Coffee
Chameleon Cold Brew RTD,295.735,10,230,Coffee
Chick-fil-A Brewed Coffee,295.735,0,136,Coffee
CoolBrew Coffee,295.735,0,60,Coffee
Tim Hortons Small French Vanilla Coffee,295.735,0,60,Coffee
La Colombe Cold Brew,266.1615,5,180,Coffee
La Colombe Draft Latte,266.1615,90,120,Coffee
Alpine Start Instant Coffee,236.588,0,120,Coffee
Bulletproof Coffee,236.588,0,145,Coffee
Califia Farms Cold Brew Coffee,236.588,10,180,Coffee
CBD Coffee,236.588,0,100,Coffee
Chameleon Cold Brew Coffee,236.588,15,200,Coffee
Coffee,236.588,0,163,Coffee
"Coffee (Decaf, Instant)",236.588,6,2,Coffee
Coffee (Instant),236.588,0,57,Coffee
Coffee Leaf Tea,236.588,0,20,Coffee
Crio Bru Brewed Cacao,236.588,20,10,Coffee
Death Wish Canned Cold Brew,236.588,15,300,Coffee
Death Wish Latte,236.588,170,300,Coffee
Decaf Coffee,236.588,2,6,Coffee
Driftaway Coffee,236.588,0,160,Coffee
Eight O'Clock Coffee,236.588,0,112,Coffee
Folgers Coffee,236.588,0,112,Coffee
Gold Peak Coffee,236.588,5,126,Coffee
Gothrider Gasoline Coffee,236.588,0,200,Coffee
High Brew Coffee,236.588,50,140,Coffee
Indulgio Cappuccino,236.588,79,20,Coffee
K Cup Decaf,236.588,0,4,Coffee
K-Cup Coffee,236.588,0,100,Coffee
Maxwell House Coffee,236.588,0,112,Coffee
Maxwell House Max Boost Coffee,236.588,0,196,Coffee
Nescafe Dolce Gusto,236.588,0,106,Coffee
Nescafe Ice Java,236.588,50,100,Coffee
Nescafe Ricoffy,236.588,10,6,Coffee
Nestle Milo,236.588,80,4,Coffee
Noocaf Smart Coffee,236.588,0,160,Coffee
Ocean Spray Brew,236.588,30,40,Coffee
Purity Coffee,236.588,0,163,Coffee
Revv Coffee Pods,236.588,0,127,Coffee
Robusta Coffee,236.588,0,265,Coffee
Starbucks 2X Coffee Pods,236.588,0,260,Coffee
Starbucks Cordusio Mocha,236.588,130,155,Coffee
Starbucks Verismo Coffee Pods,236.588,0,60,Coffee
Starbucks Via Ready Brew,236.588,0,135,Coffee
Steep 18 Cold Brew,236.588,0,90,Coffee
Taster's Choice Instant Coffee,236.588,0,98,Coffee
Voila Instant Coffee,236.588,0,100,Coffee
Waka Decaf Instant Coffee,236.588,0,4,Coffee
Waka Indian Instant Coffee,236.588,0,70,Coffee
Waka Instant Coffee,236.588,0,70,Coffee
Whipped (Dalgona) Coffee,236.588,48,105,Coffee
Mushroom Coffee,207.0145,5,40,Coffee
Cafe Con Leche,177.441,56,154,Coffee
Choffy (roasted cacao),177.441,0,23,Coffee
COGO Caffeinated Hot Chocolate,177.441,110,98,Coffee
Dripdash Kyoto Coffee,177.441,0,225,Coffee
Long Black,177.441,2,154,Coffee
