"manufact","model","sales","resale","type","price","engine_s","horsepow","wheelbas","width","length","curb_wgt","fuel_cap","mpg"
"Acura        ","Integra          ",16.919,16.36,0,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28
"Acura        ","TL               ",39.384,19.875,0,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25
"Acura        ","CL               ",14.114,18.225,0,NA,3.2,225,106.9,70.6,192,3.47,17.2,26
"Acura        ","RL               ",8.588,29.725,0,42,3.5,210,114.6,71.4,196.6,3.85,18,22
"Audi         ","A4               ",20.397,22.255,0,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27
"Audi         ","A6               ",18.78,23.555,0,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22
"Audi         ","A8               ",1.38,39,0,62,4.2,310,113,74,198.2,3.902,23.7,21
"BMW          ","323i             ",19.747,NA,0,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26.1
"BMW          ","328i             ",9.231,28.675,0,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24
"BMW          ","528i             ",17.527,36.125,0,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8
"Buick        ","Century          ",91.561,12.475,0,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25
"Buick        ","Regal            ",39.35,13.74,0,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23
"Buick        ","Park Avenue      ",27.851,20.19,0,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24
"Buick        ","LeSabre          ",83.257,13.36,0,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25
"Cadillac     ","DeVille          ",63.729,22.525,0,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22
"Cadillac     ","Seville          ",15.943,27.1,0,44.475,4.6,275,112.2,75,201,NA,18.5,22
"Cadillac     ","Eldorado         ",6.536,25.725,0,39.665,4.6,275,108,75.5,200.6,3.843,19,22
"Cadillac     ","Catera           ",11.185,18.225,0,31.01,3,200,107.4,70.3,194.8,3.77,18,22
"Cadillac     ","Escalade         ",14.785,NA,1,46.225,5.7,255,117.5,77,201.2,5.572,30,15
"Chevrolet    ","Cavalier         ",145.519,9.25,0,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27
"Chevrolet    ","Malibu           ",135.126,11.225,0,16.535,3.1,170,107,69.4,190.4,3.051,15,25
"Chevrolet    ","Lumina           ",24.629,10.31,0,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25
"Chevrolet    ","Monte Carlo      ",42.593,11.525,0,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27
"Chevrolet    ","Camaro           ",26.402,13.025,0,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25
"Chevrolet    ","Corvette         ",17.947,36.225,0,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22
"Chevrolet    ","Prizm            ",32.299,9.125,0,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33
"Chevrolet    ","Metro            ",21.855,5.16,0,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45
"Chevrolet    ","Impala           ",107.995,NA,0,18.89,3.4,180,110.5,73,200,3.389,17,27
"Chrysler     ","Sebring Coupe    ",7.854,12.36,0,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24
"Chrysler     ","Sebring Conv.    ",32.775,14.18,0,24.495,2.5,168,106,69.2,193,3.332,16,24
"Chrysler     ","Concorde         ",31.148,13.725,0,22.245,2.7,200,113,74.4,209.1,3.452,17,26
"Chrysler     ","Cirrus           ",32.306,12.64,0,16.48,2,132,108,71,186,2.911,16,27
"Chrysler     ","LHS              ",13.462,17.325,0,28.34,3.5,253,113,74.4,207.7,3.564,17,23
"Chrysler     ","Town & Country   ",53.48,19.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysler     ","300M             ",30.696,NA,0,29.185,3.5,253,113,74.4,197.8,3.567,17,23
"Dodge        ","Neon             ",76.034,7.75,0,12.64,2,132,105,74.4,174.4,2.567,12.5,29
"Dodge        ","Avenger          ",4.734,12.545,0,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24
"Dodge        ","Stratus          ",71.186,10.185,0,20.23,2.5,168,108,71,186,3.058,16,24
"Dodge        ","Intrepid         ",88.028,12.275,0,22.505,2.7,202,113,74.7,203.7,3.489,17,NA
"Dodge        ","Viper            ",0.916,58.47,0,69.725,8,450,96.2,75.7,176.7,3.375,19,16
"Dodge        ","Ram Pickup       ",227.061,15.06,1,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17
"Dodge        ","Ram Wagon        ",16.767,15.51,1,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15
"Dodge        ","Ram Van          ",31.038,13.425,1,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16
"Dodge        ","Dakota           ",111.313,11.26,1,16.98,2.5,120,131,71.5,215,3.557,22,19
