age,menu,sex,size,menu_c,size_c
34,water,F,S,water,S
28,water,M,L,water,L
30,water,F,L,water,L
32,water,F,S,water,S
37,water,M,S,water,S
33,tea,M,L,tea,L
29,water,M,S,water,S
41,water,F,M,water,M
32,espresso,M,L,espresso,L
26,tea,F,L,tea,L
33,water,F,L,water,L
33,water,M,M,water,M
37,tea,F,XL,tea,XL
28,espresso,F,M,espresso,M
40,mocha,F,S,mocha,S
31,espresso,F,S,espresso,S
33,water,F,S,water,S
35,mocha,F,M,mocha,M
36,water,M,M,water,M
30,water,M,XL,water,XL
31,espresso,F,M,espresso,M
35,water,M,XL,water,XL
34,mocha,F,XL,mocha,XL
34,tea,F,L,tea,L
29,water,F,XL,water,XL
32,mocha,F,S,mocha,S
35,tea,F,L,tea,L
36,mocha,M,S,mocha,S
35,mocha,F,S,mocha,S
40,water,F,L,water,L
37,water,M,S,water,S
35,mocha,F,L,mocha,L
32,latte,F,XL,latte,XL
29,espresso,M,M,espresso,M
32,mocha,F,S,mocha,S
34,water,M,M,water,M
35,water,M,S,water,S
38,mocha,F,S,mocha,S
39,latte,F,L,latte,L
38,tea,F,S,tea,S
40,water,M,XL,water,XL
34,water,M,L,water,L
30,water,F,L,water,L
26,mocha,M,S,mocha,S
34,espresso,M,L,espresso,L
24,mocha,F,L,mocha,L
33,tea,F,S,tea,S
33,water,F,S,water,S
38,espresso,F,S,espresso,S
41,water,F,M,water,M
35,water,M,S,water,S
40,water,M,L,water,L
35,mocha,M,XL,mocha,XL
38,water,F,L,water,L
40,latte,F,S,latte,S
40,water,M,S,water,S
37,water,F,S,water,S
32,water,F,S,water,S
32,water,F,XL,water,XL
34,tea,F,S,tea,S
44,water,M,S,water,S
39,mocha,F,M,mocha,M
32,tea,F,L,tea,L
32,espresso,M,M,espresso,M
39,espresso,F,S,espresso,S
39,water,F,M,water,M
37,tea,F,S,tea,S
37,tea,M,M,tea,M
36,tea,F,S,tea,S
41,mocha,M,L,mocha,L
23,espresso,F,S,espresso,S
29,tea,F,S,tea,S
30,water,F,XL,water,XL
40,espresso,F,M,espresso,M
38,water,F,L,water,L
36,water,F,S,water,S
32,water,F,XL,water,XL
43,espresso,F,XL,espresso,XL
34,water,M,M,water,M
34,espresso,M,L,espresso,L
40,tea,F,S,tea,S
32,espresso,M,L,espresso,L
32,espresso,F,L,espresso,L
31,tea,M,L,tea,L
37,water,F,M,water,M
34,latte,M,S,latte,S
32,tea,M,XL,tea,XL
32,mocha,F,S,mocha,S
30,mocha,F,S,mocha,S
39,water,M,S,water,S
34,water,F,L,water,L
36,water,M,S,water,S
28,water,F,XL,water,XL
37,mocha,F,M,mocha,M
39,espresso,F,L,espresso,L
33,espresso,F,M,espresso,M
27,water,M,S,water,S
