symbol,date,open,high,low,close,volume,adjusted
BBL,2017-07-03,185.5,186,185,185,1273400,173.385284
BBL,2017-07-04,185.5,185.5,184.5,184.5,1545200,172.916672
BBL,2017-07-05,185,186,184.5,185.5,2642600,173.853882
BBL,2017-07-06,185,186,184.5,185.5,1924600,173.853882
BBL,2017-07-07,185.5,185.5,184,185,1647300,173.385284
BBL,2017-07-11,185.5,188,185,187,7943200,175.25972
BBL,2017-07-12,187,188.5,187,187.5,5926500,175.728333
BBL,2017-07-13,188.5,189.5,188.5,189.5,7349600,177.602768
BBL,2017-07-14,190,190,187,188.5,4221100,176.665543
BBL,2017-07-17,189.5,190,188.5,188.5,4323800,176.665543
BBL,2017-07-18,189,189,185,186,6360600,174.322495
BBL,2017-07-19,185.5,186,184.5,184.5,3167400,172.916672
BBL,2017-07-20,184,184.5,181,182.5,4821200,171.042252
BBL,2017-07-21,182,182.5,180,180.5,8650400,169.167816
BBL,2017-07-24,180.5,181,180,180,3269500,168.699188
BBL,2017-07-25,180.5,181.5,180,180,4043300,168.699188
BBL,2017-07-26,180.5,181.5,180,180.5,4757100,169.167816
BBL,2017-07-27,181,181.5,179.5,181.5,4232300,170.105011
BBL,2017-07-31,181.5,182,177.5,179.5,8177100,168.230591
BBL,2017-08-01,179,180.5,178,179.5,2994500,168.230591
BBL,2017-08-02,180,180.5,179,180,3230900,168.699188
BBL,2017-08-03,180,182,179.5,182,3563600,170.57363899999999
BBL,2017-08-04,181.5,182,179,179,2222100,167.761963
BBL,2017-08-07,179,181,178.5,180.5,1803700,169.167816
BBL,2017-08-08,180.5,182.5,180,181,3220800,169.636429
BBL,2017-08-09,181.5,181.5,180,181,1514200,169.636429
BBL,2017-08-10,180.5,181.5,180,181.5,927500,170.105011
BBL,2017-08-11,180.5,182,179.5,181,3103700,169.636429
BBL,2017-08-15,181.5,182,180,180.5,2344200,169.167816
BBL,2017-08-16,180,180.5,178,178.5,3213400,167.293365
BBL,2017-08-17,178.5,179.5,178,179,1077700,167.761963
BBL,2017-08-18,179,180.5,178.5,179.5,1172400,168.230591
BBL,2017-08-21,180,181.5,180,181,1276300,169.636429
BBL,2017-08-22,181.5,184,181.5,183.5,4879800,171.979446
BBL,2017-08-23,184,184.5,182.5,183.5,3275800,171.979446
BBL,2017-08-24,184,184,181.5,181.5,3193900,170.105011
BBL,2017-08-25,181.5,182.5,181,181.5,2140400,170.105011
BBL,2017-08-28,183,183,183,183,311700,171.510849
BBL,2017-08-29,183,187.5,182.5,186,8299000,174.322495
BBL,2017-08-30,187,187.5,186,186,3809900,174.322495
BBL,2017-08-31,186,186.5,184,184.5,3008000,172.916672
BBL,2017-09-01,185,187.5,184.5,186,4071000,174.322495
BBL,2017-09-04,186,187,185,186,2714500,174.322495
BBL,2017-09-05,184,184.5,183.5,183.5,1038900,173.848801
BBL,2017-09-06,183.5,184,182.5,184,1897200,174.322495
BBL,2017-09-07,184.5,187,184.5,186,4502300,176.2173
BBL,2017-09-08,187,189.5,186.5,186.5,7609900,176.69101
BBL,2017-09-11,187,189.5,187,189,4054900,179.059525
BBL,2017-09-12,190,190,188,188,3253300,178.112106
BBL,2017-09-13,188,189.5,188,188,2478700,178.112106
BBL,2017-09-14,188.5,190.5,187.5,190,4760400,180.006927
BBL,2017-09-15,190,191.5,189.5,190.5,7332000,180.480637
BBL,2017-09-18,191,193,191,191.5,5346400,181.42804
BBL,2017-09-19,191.5,191.5,189,189.5,4323800,179.533234
BBL,2017-09-20,189,189.5,186.5,187.5,6048700,177.638428
BBL,2017-09-21,186.5,187.5,186.5,187,3041000,177.164719
BBL,2017-09-22,186,186.5,184.5,185.5,4565800,175.743607
BBL,2017-09-25,185,187,184.5,186.5,1762100,176.69101
BBL,2017-09-26,187.5,187.5,185.5,186,2488500,176.2173
BBL,2017-09-27,186,186.5,184.5,185.5,2741400,175.743607
BBL,2017-09-28,186.5,186.5,184,184.5,2871300,174.796219
BBL,2017-09-29,184.5,187,184.5,186.5,2205000,176.69101
BBL,2017-10-02,186.5,189.5,186.5,189,4797500,179.059525
BBL,2017-10-03,189.5,189.5,188,188,3045400,178.112106
BBL,2017-10-04,189,189.5,187,188,2642400,178.112106
BBL,2017-10-05,188.5,189.5,187.5,189,2324900,179.059525
BBL,2017-10-06,189,189.5,187.5,188,2313100,178.112106
BBL,2017-10-09,188.5,188.5,187.5,187.5,734600,177.638428
BBL,2017-10-10,188,190,186,189.5,4294800,179.533234
BBL,2017-10-11,190,191.5,190,190,6130700,180.006927
BBL,2017-10-12,191,191,188.5,189,2881300,179.059525
BBL,2017-10-16,194.5,194.5,194.5,194.5,473700,184.270248
BBL,2017-10-17,194.5,196.5,194.5,196,6942300,185.691376
BBL,2017-10-18,195,195.5,193,193.5,2976000,183.322845
BBL,2017-10-19,192.5,193.5,189.5,189.5,3753700,179.533234
BBL,2017-10-20,189.5,192.5,187,192.5,3342300,182.375443
BBL,2017-10-24,192.5,193.5,190,190,2583600,180.006927
BBL,2017-10-25,190.5,191,188,188,3906200,178.112106
BBL,2017-10-27,188.5,189.5,187.5,188.5,2748300,178.585815
BBL,2017-10-30,189.5,190,187.5,189,3952400,179.059525
BBL,2017-10-31,189.5,193,189,193,4773900,182.849136
BBL,2017-11-01,193,195,192,194.5,4747100,184.270248
BBL,2017-11-02,193,193.5,191.5,192,3103800,181.901733
BBL,2017-11-03,191.5,192,190,192,3192200,181.901733
BBL,2017-11-06,191,192,189.5,192,2386300,181.901733
BBL,2017-11-07,192,192,189.5,190,3027000,180.006927
BBL,2017-11-08,190,193,189.5,191,3047100,180.954315
BBL,2017-11-09,191.5,192.5,191,191.5,1642700,181.42804
BBL,2017-11-10,191.5,192,190,191.5,1221900,181.42804
BBL,2017-11-13,190,190.5,189,190.5,1707900,180.480637
BBL,2017-11-14,190.5,193,190,193,2192100,182.849136
BBL,2017-11-15,191.5,193,191,193,1808800,182.849136
BBL,2017-11-16,194,198,194,196,10776700,185.691376
BBL,2017-11-17,197,197.5,196,196.5,6428800,186.165054
