id,gender,education_level,score
1,male,school,5.51
2,male,school,5.65
3,male,school,5.07
4,male,school,5.51
5,male,school,5.94
6,male,school,5.8
7,male,school,5.22
8,male,school,5.36
9,male,school,4.78
10,male,college,6.01
11,male,college,6.01
12,male,college,6.45
13,male,college,6.45
14,male,college,6.38
15,male,college,6.74
16,male,college,6.09
17,male,college,6.3
18,male,college,5.58
19,male,university,9.13
20,male,university,9.28
21,male,university,8.84
22,male,university,9.28
23,male,university,10
24,male,university,10
25,male,university,9.57
26,male,university,8.99
27,male,university,9.13
28,male,university,8.7
29,female,school,5.8
30,female,school,5.94
31,female,school,5.22
32,female,school,5.65
33,female,school,6.38
34,female,school,6.38
35,female,school,6.09
36,female,school,5.51
37,female,school,5.51
38,female,school,4.93
39,female,college,6.52
40,female,college,6.67
41,female,college,5.94
42,female,college,6.38
43,female,college,7.1
44,female,college,7.1
45,female,college,6.81
46,female,college,6.23
47,female,college,6.23
48,female,college,5.65
49,female,university,8.26
50,female,university,8.41
51,female,university,9.13
52,female,university,9.57
53,female,university,9.42
54,female,university,8.84
55,female,university,8.55
56,female,university,7.97
57,female,university,6.52
58,female,university,7.39
