property_type,buyer_type
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
flat,single male
bungalow,single male
bungalow,single male
bungalow,single male
bungalow,single male
detached house,single male
detached house,single male
detached house,single male
detached house,single male
detached house,single male
detached house,single male
detached house,single male
detached house,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
terrace,single male
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
flat,single female
bungalow,single female
bungalow,single female
bungalow,single female
bungalow,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
detached house,single female
terrace,single female
terrace,single female
terrace,single female
terrace,single female
terrace,single female
terrace,single female
terrace,single female
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
flat,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
bungalow,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
detached house,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
terrace,married couple
flat,family
flat,family
flat,family
flat,family
flat,family
flat,family
flat,family
flat,family
flat,family
flat,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
bungalow,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
detached house,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
terrace,family
