Rank,RatingTomatometer,Title,No. of Reviews
1.0,97%,Black Panther (2018),444
2.0,97%,Mad Max: Fury Road (2015),394
3.0,93%,Wonder Woman (2017),410
4.0,99%,Metropolis (1927),118
5.0,97%,Coco (2017),308
6.0,92%,Dunkirk (2017),413
7.0,94%,Incredibles 2 (2018),332
8.0,91%,Star Wars: The Last Jedi (2017),419
9.0,93%,Logan (2017),371
10.0,93%,Star Wars: Episode VII - The Force Awakens (2015),402
11.0,98%,King Kong (1933),56
12.0,100%,The Adventures of Robin Hood (1938),45
13.0,92%,Thor: Ragnarok (2017),370
14.0,93%,Baby Driver (2017),343
15.0,97%,Zootopia (2016),268
16.0,100%,Seven Samurai (Shichinin no Samurai) (1956),58
17.0,92%,Spider-Man: Homecoming (2017),350
18.0,98%,Up (2009),290
19.0,95%,The Jungle Book (2016),307
20.0,93%,War for the Planet of the Apes (2017),323
21.0,100%,The Treasure of the Sierra Madre (1948),45
22.0,98%,Lawrence of Arabia (1962),80
23.0,94%,The Dark Knight (2008),332
24.0,91%,Captain America: Civil War (2016),381
25.0,97%,Jaws (1975),79
26.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),320
27.0,97%,The Hurt Locker (2009),277
28.0,99%,Aliens (1986),68
29.0,96%,The LEGO Movie (2014),240
30.0,92%,Skyfall (2012),362
31.0,88%,Ant-Man and the Wasp (2018),364
32.0,93%,Star Wars: Episode IV - A New Hope (1977),114
33.0,96%,WALL-E (2008),252
34.0,95%,Moana (2016),261
35.0,100%,The Searchers (1956),42
36.0,94%,Star Trek (2009),342
37.0,97%,Kubo and the Two Strings (2016),207
38.0,96%,The 39 Steps (1935),46
39.0,100%,Rio Bravo (1959),40
40.0,100%,The Terminator (1984),59
41.0,93%,Mission: Impossible Rogue Nation (2015),300
42.0,92%,Marvel's The Avengers (2012),340
43.0,98%,The African Queen (1951),42
44.0,95%,Star Wars: Episode V - The Empire Strikes Back (1980),92
45.0,98%,Once Upon a Time in the West (1968),58
46.0,96%,Apocalypse Now (1979),85
47.0,87%,Blade Runner 2049 (2017),389
48.0,98%,The French Connection (1971),55
49.0,96%,True Grit (2010),270
50.0,89%,Isle of Dogs (2018),314
51.0,98%,Throne of Blood (1957),42
52.0,98%,"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes) (1972)",46
53.0,98%,Badlands (1974),52
54.0,84%,Avengers: Infinity War (2018),408
55.0,97%,Yellow Submarine (1968),59
56.0,91%,Guardians of the Galaxy (2014),306
57.0,93%,Iron Man (2008),274
58.0,97%,Chicken Run (2000),170
59.0,96%,Spartacus (1960),54
60.0,97%,The Princess Bride (1987),71
61.0,96%,Hunt for the Wilderpeople (2016),185
62.0,97%,Ghostbusters (1984 Original) (1984),71
63.0,97%,Goldfinger (1964),60
64.0,95%,Paths of Glory (1957),55
65.0,94%,Casino Royale (2006),252
66.0,94%,All Is Lost (2013),228
67.0,96%,Ran (1985),80
68.0,90%,The Lego Batman Movie (2017),289
69.0,89%,Doctor Strange (2016),338
70.0,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),47
71.0,98%,Assault on Precinct 13 (1976),42
72.0,90%,X-Men: Days of Future Past (2014),306
73.0,93%,No Country for Old Men (2007),279
74.0,95%,The Lord of the Rings: The Two Towers (2002),250
75.0,93%,Looper (2012),257
76.0,96%,Back to the Future (1985),77
77.0,98%,The Right Stuff (1983),46
78.0,93%,Gojira (1956),70
79.0,97%,"Crouching Tiger, Hidden Dragon (2001)",153
80.0,96%,The Fugitive (1993),74
81.0,90%,Dawn Of The Planet Of The Apes (2014),297
82.0,98%,Mad Max 2: The Road Warrior (1982),43
83.0,92%,Mandy (2018),213
84.0,97%,Who Framed Roger Rabbit (1988),63
85.0,89%,Annihilation (2018),271
86.0,96%,Close Encounters of the Third Kind (1977),57
87.0,98%,Diva (1981),48
88.0,94%,The Bridge on the River Kwai (1957),54
89.0,97%,Babe (1995),70
90.0,96%,Dr. No (1962),54
91.0,93%,The Lion King (1994),123
92.0,92%,Sicario (2015),250
93.0,91%,Jurassic Park (1993),123
94.0,96%,In the Line of Fire (1993),67
95.0,95%,Raiders of the Lost Ark (1981),75
96.0,96%,From Russia With Love (1964),55
97.0,94%,Superman (1978),65
98.0,93%,Saving Private Ryan (1998),137
99.0,93%,The Lord of the Rings: The Return of the King (2003),270
100.0,96%,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),139
