movie_title,release_date,hero,villian,song
Snow White and the Seven Dwarfs,1937-12-21,Snow White,Evil Queen,Some Day My Prince Will Come
Pinocchio,1940-02-07,Pinocchio,Stromboli,When You Wish upon a Star
Fantasia,1940-11-13,,Chernabog,
Dumbo,1941-10-23,Dumbo,Ringmaster,Baby Mine
Bambi,1942-08-13,Bambi,Hunter,Love Is a Song
Saludos Amigos,1943-02-06,Donald Duck,,Saludos Amigos
The Three Caballeros,1945-02-03,Donald Duck,,
Make Mine Music,1946-04-20,,,
Fun and Fancy Free,1947-09-27,Mickey Mouse,Willie the Giant,
Melody Time,1948-05-27,,,Little Toot
The Adventures of Ichabod and Mr. Toad,1949-10-05,Mr. Toad and Ichabod Crane,Mr. Winkie and The Headless Horseman,The Merrily Song
Cinderella,1950-02-15,Cinderella,Lady Tremaine,Bibbidi-Bobbidi-Boo
Alice in Wonderland,1951-07-28,Alice,Queen of Hearts,The Unbirthday Song
Peter Pan,1953-02-05,Peter Pan,Captain Hook,You Can Fly!
Lady and the Tramp,1955-06-22,Lady and Tramp,Si and Am,Bella Notte
Sleeping Beauty,1959-01-29,Aurora,Maleficent,Once Upon a Dream
One Hundred and One Dalmatians,1961-01-25,Pongo,Cruella de Vil,Cruella De Vil
The Sword in the Stone,1963-12-25,Arthur,Madam Mim,Higitus Figitus
The Jungle Book,1967-10-18,Mowgli,Kaa and Shere Khan,The Bare Necessities
The Aristocats,1970-12-24,Thomas and Duchess,Edgar Balthazar,Ev'rybody Wants to Be a Cat
Robin Hood,1973-11-08,Robin Hood,Prince John,Oo De Lally
The Many Adventures of Winnie the Pooh,1977-03-11,Winnie the Pooh,,Winnie the Pooh
The Rescuers,1977-06-22,Bernard and Miss Bianca,Madame Medusa,The Journey
The Fox and the Hound,1981-07-10,Tod and Copper,Amos Slade,Best of Friends
The Black Cauldron,1985-07-24,Taran,Horned King,
The Great Mouse Detective,1986-07-02,Basil,Professor Ratigan,The World's Greatest Criminal Mind
Oliver & Company,1988-11-18,Oliver,Sykes,Once Upon a Time in New York City
The Little Mermaid,1989-11-17,Ariel,Ursula,Under the Sea
The Rescuers Down Under,1990-11-16,Bernard and Miss Bianca,Percival C. McLeach,
Beauty and the Beast,1991-11-22,Belle,Gaston,Be Our Guest
Aladdin,1992-11-25,Aladdin,Jafar,A Whole New World
The Lion King,1994-06-24,Simba,Scar,Circle of Life
Pocahontas,1995-06-23,Pocahontas,Governor Ratcliffe,Colors of the Wind
The Hunchback of Notre Dame,1996-06-21,Quasimodo,Claude Frollo,God Help the Outcasts
Hercules,1997-06-27,Hercules,Hades,Go the Distance
Mulan,1998-06-19,Mulan,Shan Yu,I'll Make a Man Out of You
Tarzan,1999-06-18,Tarzan,Clayton,You'll Be in My Heart
Fantasia 2000,1999-12-17,,,
Dinosaur,2000-05-19,Aladar,Kron,
The Emperor's New Groove,2000-12-15,Kuzco,Yzma,My Funny Friend and Me
Atlantis: The Lost Empire,2001-06-15,Milo Thatch,Commander Rourke,Where the Dream Takes You
Lilo & Stitch,2002-06-21,Lilo and Stitch,,He Mele No Lilo
Treasure Planet,2002-11-27,Jim Hawkins,John Silver,I'm Still Here
Brother Bear,2003-11-01,Kenai,Denahi,Look Through My Eyes
Home on the Range,2004-04-02,Maggie,Alameda Slim,
Chicken Little,2005-11-04,Ace Cluck,Foxy Loxy,
Meet the Robinsons,2007-03-30,Lewis,Doris,Little Wonders
Bolt,2008-11-21,Bolt,Dr. Calico,I Thought I Lost You
The Princess and the Frog,2009-12-11,Tiana,Dr. Facilier,Almost There
Tangled,2010-11-24,Rapunzel,Mother Gothel,I See the Light
Winnie the Pooh,2011-07-15,Winnie the Pooh,,Winnie the Pooh
Wreck-It Ralph,2012-11-02,Ralph,Turbo,Sugar Rush
Frozen,2013-11-27,Elsa,Prince Hans,Let It Go
Big Hero 6,2014-11-07,Hiro Hamada,Professor Callaghan,Immortals
Zootopia,2016-03-04,Judy Hopps,,Try Everything
Moana,2016-11-23,Moana,,How Far I'll Go
