character,voice-actor,movie
Abby Mallard,Joan Cusack,Chicken Little
Abigail Gabble,Monica Evans,The Aristocats
Abis Mal,Jason Alexander,The Return of Jafar
Abu,Frank Welker,Aladdin
Achilles,None,The Hunchback of Notre Dame
Adella,Sherry Lynn,The Little Mermaid
Adorabeezle Winterpop,None,Wreck-It Ralph
The Agent,Greg Germann,Bolt
Agent Wendy Pleakley,Kevin McDonald,Lilo & Stitch
Ajax the Gorilla,None,Donald Duck and the Gorilla
Akela,John Abbott,The Jungle Book
Al the Alligator,Thurl Ravenscroft,Lady and the Tramp
Aladar,D. B. Sweeney,Dinosaur
Aladdin,Scott Weinger; Brad Kane,Aladdin
Alameda Slim,Randy Quaid,Home on the Range
Alan-a-Dale,Roger Miller,Robin Hood
Alana,Kimmy Robertson,The Little Mermaid
Alcmene,Barbara Barrie,Hercules
Alice,Kathryn Beaumont,Alice in Wonderland
Alice Bluebonnet,None,Make Mine Music
Alice's Sister,Heather Angel,Alice in Wonderland
Amelia Gabble,Carole Shelley,The Aristocats
Amos Slade,Jack Albertson,The Fox and the Hound
Amphitryon,Hal Holbrook,Hercules
Anastasia Tremaine,Lucille Bliss,Cinderella
Anda,Andrea Martin,Brother Bear 2
Andrina,Tara Strong,The Little Mermaid
Angel,Alyssa Milano,Lady and the Tramp II: Scamp's Adventure
Angelique,Bernadette Peters,Beauty and the Beast: The Enchanted Christmas
Angus MacBadger,Campbell Grant,The Adventures of Ichabod and Mr. Toad
Anita Radcliffe,Lisa Davis,101 Dalmatians
Anna,Kristen Bell,Frozen
Annette,Debi Derryberry,Lady and the Tramp II: Scamp's Adventure
April,None,House of Mouse
Apollo,Keith David,Hercules
Aquata,Grey DeLisle; Mona Marshall,The Little Mermaid
Aracuan Bird,Pinto Colvig,The Three Caballeros
The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame
Archimedes Q. Porter,Nigel Hawthorne,Tarzan
Archimedes,Junius Matthews,The Sword in the Stone
Ariel,Jodi Benson,The Little Mermaid
Arista,Kimmy Robertson,The Little Mermaid
Armoire,Jo Anne Worley,Beauty and the Beast
Arthur/Wart,Rickie Sorensen,The Sword in the Stone
Arthur/Wart,Richard Reitherman,The Sword in the Stone
Arthur/Wart,Robert Reitherman,The Sword in the Stone
Arthur,David Lander,Jungle Cubs
Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia
Atka,Jeff Bennett,Brother Bear 2
Atropos,Paddi Edwards,Hercules
Attina,Kari Wahlgren,The Little Mermaid
Audrey the Chicken,Estelle Harris,Home on the Range
Audrey Ramirez,Jacqueline Obradors,Atlantis: The Lost Empire
Aunt Sarah,Verna Felton,Lady and the Tramp
Aunt Siqiniq,Wendie Malick,Brother Bear 2
Aunt Taqqiq,Kathy Najimy,Brother Bear 2
Aurora,Mary Costa,Sleeping Beauty
Axe,Jeff Bennett,Beauty and the Beast: The Enchanted Christmas
B.E.N.,Martin Short,Treasure Planet
Babette,Mary Kay Bergman,Beauty and the Beast
Babyface Beagle,Terry McGovern,DuckTales
Baby Red Bird,Tress MacNeille,Mickey Mouse Clubhouse
Baby Herman,April Winchell,Who Framed Roger Rabbit
Baby Herman,Lou Hirsch,Who Framed Roger Rabbit
Backwoods Beagle,Danny Mann,DuckTales
Bacon Beagle,None,DuckTales
Baggy Beagle,Frank Welker,DuckTales
Bagheera,Sebastian Cabot,The Jungle Book
Baileywick,Tim Gunn,Sofia the First
