name,director
Snow White and the Seven Dwarfs,David Hand
Pinocchio,Ben Sharpsteen
Fantasia,full credits
Dumbo,Ben Sharpsteen
Bambi,David Hand
Saludos Amigos,Jack Kinney
The Three Caballeros,Norman Ferguson
Make Mine Music,Jack Kinney
Fun and Fancy Free,Jack Kinney
Melody Time,Clyde Geronimi
The Adventures of Ichabod and Mr. Toad,Jack Kinney
Cinderella,Wilfred Jackson
Alice in Wonderland,Clyde Geronimi
Peter Pan,Hamilton Luske
Lady and the Tramp,Hamilton Luske
Sleeping Beauty,Clyde Geronimi
101 Dalmatians,Wolfgang Reitherman
The Sword in the Stone,Wolfgang Reitherman
The Jungle Book,Wolfgang Reitherman
The Aristocats,Wolfgang Reitherman
Robin Hood,Wolfgang Reitherman
The Many Adventures of Winnie the Pooh,Wolfgang Reitherman
The Rescuers,Wolfgang Reitherman
The Fox and the Hound,Art Stevens
The Black Cauldron,Ted Berman
The Great Mouse Detective,Ron Clements
Oliver & Company,George Scribner
The Little Mermaid,Ron Clements
The Rescuers Down Under,Mike Gabriel
Beauty and the Beast,Gary Trousdale
Aladdin,Ron Clements
The Lion King,Roger Allers
Pocahontas,Mike Gabriel
The Hunchback of Notre Dame,Gary Trousdale
Hercules,Ron Clements
Mulan,Barry Cook
Tarzan,Chris Buck
Fantasia 2000,full credits
Dinosaur,Ralph Zondag
The Emperor's New Groove,Mark Dindal
Atlantis: The Lost Empire,Gary Trousdale
Lilo & Stitch,Chris Sanders
Treasure Planet,Ron Clements
Brother Bear,Robert Walker
Home on the Range,Will Finn
Chicken Little,Mark Dindal
Meet the Robinsons,Stephen J. Anderson
Bolt,Chris Williams
The Princess and the Frog,Ron Clements
Tangled,Nathan Greno
Winnie the Pooh,Stephen J. Anderson
Wreck-It Ralph,Rich Moore
Frozen,Chris Buck
Big Hero 6,Don Hall
Zootopia,Byron Howard
Moana,Ron Clements
