ranking,company,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,effectiveness
1,Microsoft Corp,55.4,72.7,136.2,75.4,88.6,105.5
2,Amazon.com Inc,53.6,53.9,155,50.2,77.5,94.3
3,Apple Inc,57.2,62.2,111.8,67,89.3,91.6
4,Intl Business Machines Corp,75.4,53.4,115.6,68.9,54.1,88.9
5,Intel Corp,62.3,60.5,84.9,75.8,71.6,82.9
6,Nvidia Corp,73.3,76.5,65.9,65.2,76,81.1
7,Johnson & Johnson,55.8,64.9,90.8,66.9,71.4,80.9
8,Cisco Systems Inc,77.7,66.7,68.7,72.6,62.8,80.5
9,Procter & Gamble,70.4,66.1,78.1,62,73.3,79.7
10,HP Inc,69.7,62.5,61.5,79.2,65.4,77.5
11,PepsiCo Inc,68,58,77,70.6,63.6,77.4
12,Adobe Inc,59.8,73.5,65.4,70.3,67.9,76.3
13,Alphabet Inc C,54,55.5,81.6,63.8,84.5,76.1
14,Accenture plc A,69.9,59.7,67.2,71,65.8,75.8
15,Merck & Co Inc,64.3,63,70.6,70.6,62.9,75.5
16,General Motors Company,68.8,56,81.3,63.3,60.2,75.1
17,Equinix Inc,59.9,64.4,97.5,56.4,45.8,74.9
18,3M Co,53.8,59.7,82.5,71.3,55.4,74.2
19,Capital One Financial,52,62.9,92.8,57,57.9,73.3
20,NIKE Inc B,68.5,49.6,75.5,63.9,67.4,72.9
21,Visa Inc A,66.2,61,65.4,67.7,64,72.8
22,Salesforce.com,64.4,73.6,67.8,63.1,50.4,72.1
23,Abbott Laboratories,51.1,58,78.8,71.6,55.6,71.8
24,Edwards Lifesciences Corp,70.2,62.7,60.7,67.3,59,71.6
25,Advanced Micro Devices,60,65.6,55.4,63.1,81.8,70.9
26,Ford Motor Co,68.7,57,75.1,61.2,52.3,70.8
27,Pfizer Inc,62.5,62.6,68.9,61.9,59.9,70.3
28,"Etsy, Inc",65.4,67.8,63.8,50,76.9,70.1
29,Lockheed Martin,63.4,60.7,64.1,64.6,62,69.9
30,S&P Global Inc,69.6,57.9,50.3,66.5,75.1,69.6
31,JP Morgan Chase & Co,58.4,58.6,69,61.2,67.6,69.4
31,Meta Platforms Inc,27.3,67.9,81.7,57,84.4,69.4
33,Eli Lilly & Co,62.7,59.4,61.3,65.9,64.4,69.3
34,American Express Co,53.7,64.6,72.1,62.9,56.9,69.2
34,Target Corp,61.1,52.2,70,63.5,65.9,69.2
36,Verizon Communications Inc,46.3,58.9,69.2,68,70.2,69.1
37,Amgen Inc,70.9,60.9,56.4,67.5,54.5,69
38,Colgate-Palmolive Co,57.2,69,53.2,66.8,68.7,68.9
39,Whirlpool Corp,54.8,57.8,71.6,67.3,56.2,68.8
40,eBay Inc,55,56.5,73.5,63.5,60.6,68.7
40,Oracle Corp,67.1,46.8,66.3,61.3,72.7,68.7
42,Coca-Cola Co,64,54.7,67,63.8,59.8,68.5
43,Agilent Technologies Inc,77.1,62.3,51.3,65.1,53.9,68.3
44,Caterpillar Inc,75.2,52.7,72.2,56.3,50.5,68.2
45,Lam Research Corp,64.1,63.9,49.6,64.2,72.4,68.1
46,Deere & Co,63.6,52.8,69.1,63.5,56.2,67.7
47,Weyerhaeuser Co,65.5,54.2,63.3,65.2,57.7,67.6
48,Applied Materials Inc,62.3,55.7,58,63.9,70.4,67.5
48,Medtronic plc,52.5,59.4,75.2,65.9,47.7,67.5
50,Allstate Corp,60.1,42.3,73.8,62.7,67.8,67.4
51,QUALCOMM Inc,41.5,57.4,69.6,64.4,75.5,67.2
52,Dell Technologies Inc-C,61.3,39.9,77.9,63.5,58.8,66.9
52,Home Depot Inc,50.9,51.6,64.3,62,81.7,66.9
54,Owens Corning Inc,67.6,63.7,53,67.7,50.2,66.8
55,Hewlett Packard Enterprise Co,57.5,58.4,65.4,70.7,45.5,66.7
55,Raytheon Technologies Corp,62.6,54.5,83.3,56.2,40.5,66.7
57,Hershey Co,69.4,60,50.5,67.5,56,66.5
57,Hilton Worldwide Holdings Inc,70.5,62.1,59.8,65.4,40.1,66.5
59,Clorox Co,69.8,61.5,52,64.4,55.3,66.3
59,Walmart Inc,51.2,41.4,88.2,54.2,67.4,66.3
61,Citigroup Inc,49,54,71,66.1,59.9,66.2
61,Mastercard Inc A,47,69.3,55,64.9,70,66.2
63,Linde plc,67,51.5,63.8,66.5,48.7,66
63,Texas Instruments Inc,49.2,65.2,48,69.2,75.2,66
65,General Mills Inc,53.4,64.4,55.4,72.7,51.9,65.9
66,General Electric Co,59.7,51.1,79,59.6,45.6,65.8
67,Estee Lauder Cos. A,66,57.5,49.9,65.8,61.9,65.2
67,Johnson Controls International plc,68,47.3,60.7,69.7,48.7,65.2
67,Nielsen Holdings plc,63.6,52.8,75.4,57.7,44.4,65.2
70,Honeywell Intl Inc,62.1,49.9,70.7,60,53.5,65.1
71,Altria Group Inc,47.5,59.6,66.4,62.1,63,65
72,Jones Lang Lasalle Inc,55.7,57.2,62.7,67.2,50.5,64.6
73,Humana Inc,62.8,61.8,59.4,59.5,51.1,64.2
73,Kimberly-Clark,61.4,59.6,51,63.5,63,64.2
73,Rockwell Automation Inc,64.7,56.5,54.6,61.3,60.8,64.2
76,Intl Flavors & Fragrances,73.4,54.1,55.5,65.6,42,64
77,Intuit Inc,54.8,68.3,57.6,57,59.3,63.9
77,Newmont Corp,56.1,67.1,49.9,68.4,51.7,63.9
79,Cummins Inc,54.7,58.6,55.4,69.7,53.6,63.8
79,Trane Technologies plc,62.2,60.2,47.8,70.9,51.6,63.8
79,Vmware Inc A,61.4,68.9,52.9,59.1,52.8,63.8
82,Regeneron Pharmaceuticals Inc,59.1,59.7,50.4,55.6,77.9,63.6
82,Starbucks Corp,50.2,52.5,68.4,62.1,59.3,63.6
84,Northrop Grumman Corp,46.9,57.4,65.6,66,53.1,63.2
84,PayPal Holdings Inc,46.1,60.5,64,60,62.7,63.2
86,Autodesk Inc,51.3,66.2,47.2,65.9,64.4,63.1
87,TE Connectivity Ltd.,71.8,53.1,51.3,64.8,48.9,63
88,AbbVie Inc,47.5,63,56.3,67.8,55.3,62.9
89,Mettler-Toledo Intl,68.1,52.5,46.5,61.2,67.2,62.6
90,Illumina Inc,54.6,60.5,52.5,68.2,52.5,62.5
91,Campbell Soup Co,61.8,56.2,53,66.5,49.2,62.3
91,Moody’s Corp,65.6,56.7,45.7,63.4,60.6,62.3
91,Workday Inc A,67.5,68.2,48.2,60.7,43.2,62.3
94,Biogen Inc,58,65.3,48.3,66.6,49.2,62.2
95,Best Buy Co Inc,68.2,47.6,52.3,62.4,59.7,62.1
96,Morgan Stanley,57.8,57.1,54.6,60.6,60,62
96,United Parcel Service Inc B,51.7,47.9,61.5,63.3,65,62
98,Huntsman Corp,69.9,57.6,51.2,60.4,47.5,61.8
98,McCormick & Co,64.9,62.2,48.7,62.7,48,61.8
100,Marriott Intl A,60.7,52.7,62,60.7,48.6,61.7
101,Keysight Technologies Inc,65.3,62,48.4,58.9,54.4,61.6
101,T-Mobile US Inc,50,59.9,62.9,57.7,56.8,61.6
101,Xylem Inc,63.8,53.7,50.9,68.8,46.2,61.6
104,Bank of America Corp,45.4,61,55.8,67.2,55.1,61.4
105,Bristol-Myers Squibb,45.8,66.4,62.7,62.4,44.4,61.3
106,Archer-Daniels-Midland Co,68.8,56.2,50.2,57.9,54.5,61.2
106,Automatic Data Processing,57.9,56.1,53,61.3,58.7,61.2
106,Leidos Holdings Inc,50.9,55.7,55.6,69.4,50.9,61.2
109,CBRE Group Inc,52.5,57.8,53.3,65.3,55.5,61
109,Intuitive Surgical Inc,53.9,66.2,63,47.5,57.9,61
111,DuPont de Nemours Inc,61.6,53.9,72.3,50.4,43.3,60.9
112,Dow Inc,51.4,64.3,60.6,55.4,52.7,60.8
113,Ball Corp,57.3,59.4,47.5,68.3,49.3,60.7
113,Cadence Design Systems Inc,62.1,64.5,49.2,54.2,58.2,60.7
115,AES Corp,53.6,66.5,57.3,59.7,43.6,60.6
115,ProLogis Inc,60.3,68.3,44.5,63.3,46.2,60.6
117,Danaher Corp,63.4,54.3,58.6,53.8,54.5,60.5
118,Philip Morris International,35.7,54,63,60.2,74.2,60.4
118,Vertex Pharmaceuticals Inc,64.4,56.7,50.2,52.4,65.7,60.4
118,VF Corp,64,56.4,49.2,64.3,47.1,60.4
121,Anthem Inc,36.1,51.3,64.8,70.3,56.3,60.3
122,FedEx Corp,59.7,51.2,54,60.1,59,60.2
123,Cardinal Health Inc,61.6,47.9,52.3,67,50.5,60
123,Cigna Corporation,40,56.8,55.3,70.7,56.6,60
123,Eaton Corp plc,62.5,52.8,51.3,64.6,48.5,60
123,Kellogg Co,54.8,55.6,51.8,67.3,49.6,60
123,Waste Management Inc,61.1,53.3,50.3,64.1,52.1,60
128,Becton Dickinson & Co,49.2,55.3,63.3,63.6,45.3,59.9
129,Stanley Black & Decker,64.6,48.2,56.2,60.6,49.6,59.8
129,Yum! Brands Inc,45.6,55.1,56.4,62.9,62.4,59.8
131,NextEra Energy Inc,53.8,56.6,60.1,59.2,49.3,59.7
131,Pitney Bowes Inc,72.8,47.2,51.6,61.3,45.8,59.7
131,W.W. Grainger Inc,65.6,58.5,44.6,60.7,52.7,59.7
131,Wells Fargo & Co,39.8,47.3,77.5,61.4,49.1,59.7
135,Gap Inc,55.4,50.1,59.9,65.4,44.4,59.6
135,Oshkosh Corporation,66.9,57.3,51.3,56.9,48,59.6
135,Travelers Cos Inc,50.7,59.8,54.4,59.3,57.4,59.6
135,Western Union Co,57.5,50.6,58.6,58.9,54.5,59.6
139,Costco Wholesale Corp,50.2,61.6,58.9,49.6,65,59.5
139,Thermo Fisher Scientific,49.3,54.8,56.5,58.4,63.8,59.5
141,Air Products & Chemicals Inc,44.6,59.6,54.3,67.8,50.5,59.4
141,Baxter Intl Inc,54.2,57.8,50.9,66.8,46.7,59.4
141,Goldman Sachs Group Inc,45.8,56,49.4,66.4,64.2,59.4
141,Lowe’s Cos Inc,51.5,42.8,53.7,63.4,72.4,59.4
141,Prudential Financial Inc,42.3,52.5,60.4,65.7,57.1,59.4
141,"Square, Inc A",59.6,64.6,48.1,48.8,66.3,59.4
141,Xilinx Inc,61.2,61.4,51.1,53.6,55.3,59.4
148,Hologic Inc,67.5,56.1,46,52.3,63.8,59.3
148,PVH Corp,66.6,56.6,54.2,57.5,42,59.3
150,Delta Air Lines,60.9,69.7,57.8,55.9,28.7,59.2
150,Ecolab Inc,47.5,52.4,63.7,64,46.5,59.2
150,Synopsys Inc,58.6,60.4,53.9,54.3,53.7,59.2
153,Hasbro Inc,53,54.5,56.4,65.2,45,59
153,Micron Technology Inc,56.2,57.2,55.1,59.4,49.4,59
155,Metlife Inc,46.9,53.9,54.4,65.7,56.2,58.9
155,Polaris Inc,56.5,57,57,53.5,55.9,58.9
155,T Rowe Price Group Inc,48.7,54.6,48.2,58.2,75.8,58.9
158,Deckers Outdoor,63.2,53,49.2,53.8,63.9,58.8
158,Hormel Foods Corp,62.5,60.3,50.1,56.8,47.9,58.8
160,Church & Dwight Co,61.7,57.9,49,57.6,52.2,58.7
160,Molson Coors Beverage Co B,62.4,53.7,54.5,61.4,41.4,58.7
162,Eastman Chemical Co,65.3,56.6,49.8,59.4,44.4,58.6
163,Uber Technologies Inc,49.2,56,85,42.8,38.1,58.4
164,Aptiv plc,60,49.8,51.1,63.5,50.2,58.3
164,Avery Dennison Corp,60,56.6,51,56.1,53.9,58.3
166,Analog Devices Inc,63.5,55,49.6,58.3,49.7,58.2
166,AT&T Inc,49,46.8,60.5,66.6,48.4,58.2
168,Hartford Finl Services Group,43.3,59.5,54.7,64.2,51.9,58.1
169,Mosaic Co,61.8,54.3,50.2,59.3,48.7,58
169,On Semiconductor Corp,67.3,48.9,48.6,61.8,46.7,58
169,Walt Disney Co,44.8,56.8,59.3,65.9,42.4,58
172,ResMed Inc,57.9,60.4,49.1,55.9,53.1,57.9
173,Boston Scientific Corp,44.6,62.8,53.1,66.1,43.3,57.8
173,Exelon Corp,44.4,64.8,50.7,63.7,49.3,57.8
175,Brown-Forman Corp B,56.4,61.4,50.5,55.6,51.4,57.7
175,Jacobs Engineering Group Inc,57.3,55.1,52.1,58.4,51.4,57.7
175,Lululemon Athletica inc,57.3,62.6,51.3,47.9,60.7,57.7
178,Celanese Corp A,63.8,49.4,50.1,54.8,58.8,57.6
178,Unitedhealth Group Inc,39,47.1,56.2,62.9,71.8,57.6
180,AECOM,66.5,46.6,53,59.6,45.7,57.5
180,Corteva Inc,51.6,55.4,75.2,43.3,46.5,57.5
180,Freeport-McMoRan Inc,59.3,56.5,45.7,60.7,51.7,57.5
183,Iron Mountain Inc,57.1,45,60.4,59.1,49.1,57.4
183,Sempra Energy,40.6,64.7,52.4,64.3,48.9,57.4
185,JetBlue Airways Corp,66.1,56.7,57.1,50.7,40.4,57.3
185,Teradyne Inc,59.8,61.7,41.7,50,68.6,57.3
187,Comcast Corp A,31.3,55.4,61.9,61.2,63.1,57.1
187,CVS Health Corporation,57.6,34.7,57.5,62.7,59.2,57.1
187,Gilead Sciences Inc,50.2,57.6,54.7,59.4,48.7,57.1
187,ServiceNow Inc,55,64.8,46.3,49.8,62.7,57.1
191,Borgwarner Inc,64.1,48.9,50.8,58.6,48.6,57
191,Discover Financial Services,57.3,56.9,51.7,50.4,60.3,57
191,Hess Corp,50,60.6,46.2,69.3,41,57
191,NetApp Inc,58.3,60,45.3,55.8,55.4,57
191,Progressive Corp,46.3,60.8,53.3,48.7,70.2,57
191,"Tapestry, Inc",61.5,53.9,54.3,53.5,48.6,57
191,Waters Corp,64,49.7,48.6,52.1,62.6,57
198,Avient Corp,62.2,57,49.5,55.8,46.5,56.8
198,Cognizant Tech Solutions Corp,60.7,42.7,54.4,61.9,49.4,56.8
198,Sherwin-Williams Co,58.2,49.4,51.9,57.6,55.3,56.8
201,Illinois Tool Works Inc,52.9,47.7,54.7,58.3,58.7,56.7
201,NXP Semiconductor NV,50.6,54.1,52.4,62.5,49.4,56.7
203,Alcoa Corp,58.5,53.2,50.4,61.8,44,56.6
203,PerkinElmer Inc,66.9,47.1,48.6,53,58.7,56.6
205,Juniper Networks Inc,65.7,55.8,49.5,55.2,42.8,56.5
205,Mondelez International Inc,50.4,55.7,46.7,64.1,53,56.5
207,Ryder System Inc,71.6,46.8,48.3,57,44.8,56.3
207,Sysco Corp,62.3,50.5,49.4,59.6,46.1,56.3
209,Baker Hughes Company,48,50,60.2,66.9,35.7,56.2
209,BlackRock Inc,44.7,63.2,50.1,58.7,53.1,56.2
209,Keurig Dr Pepper Inc,66.3,49.9,48.3,56.5,48.3,56.2
212,LyondellBasell Industries N.V.,51.4,59,51.1,54.6,54.6,56.1
212,Motorola Solutions Inc,49.5,55.8,45.5,64.6,53.1,56.1
