int_attacking_id,int_player_id,int_crossing,int_finishing,int_heading_accuracy,int_short_passing,int_volleys
1,1,85,95,70,91,88
2,2,84,95,90,82,86
3,3,13,11,15,43,13
4,4,94,82,55,94,82
5,5,85,87,62,87,87
6,6,71,94,87,85,89
7,7,78,91,73,83,83
8,8,17,13,19,45,20
9,9,79,91,59,84,79
10,10,76,90,84,85,75
11,11,53,52,87,79,45
12,12,18,14,11,61,14
13,13,58,64,80,84,63
14,14,14,14,13,33,12
15,15,15,13,25,55,11
16,16,75,88,91,86,86
17,17,66,65,92,82,69
18,18,70,94,78,83,86
19,19,68,65,54,85,56
20,20,91,66,72,87,67
21,21,82,84,64,87,88
22,22,20,14,14,57,18
23,23,78,85,46,84,67
24,24,75,94,85,81,85
25,25,30,22,84,74,14
26,26,81,87,68,83,78
27,27,77,82,61,85,83
28,28,88,76,58,93,82
29,29,12,10,10,42,12
30,30,83,81,38,88,83
31,31,93,56,69,85,62
32,32,85,79,51,86,70
33,33,90,57,67,82,32
34,34,58,45,86,82,40
35,35,87,77,58,88,86
36,36,75,63,75,85,47
37,37,73,80,75,87,85
38,38,83,88,83,84,87
39,39,11,15,11,30,11
40,40,55,93,81,80,85
41,41,62,67,68,89,44
42,42,76,91,75,77,84
43,43,12,12,16,32,14
44,44,88,79,51,83,78
45,45,86,72,55,91,76
46,46,80,92,84,83,90
47,47,13,10,10,50,11
48,48,54,33,83,65,45
49,49,68,92,79,69,82
50,50,79,87,42,82,83
51,51,84,51,72,83,49
52,52,42,46,85,78,42
53,53,75,60,55,90,64
54,54,80,75,75,86,84
55,55,17,13,21,50,13
56,56,85,85,81,84,84
57,57,85,73,70,84,60
58,58,82,73,65,86,71
59,59,65,55,87,82,60
60,60,13,13,10,40,8
61,61,84,72,53,92,82
62,62,57,65,84,81,57
63,63,83,80,38,86,72
64,64,73,85,78,84,80
65,65,52,50,86,75,45
66,66,40,42,82,73,40
67,67,63,64,75,85,59
68,68,77,83,68,81,73
69,69,12,12,12,34,8
70,70,75,63,66,90,69
71,71,64,80,86,85,74
72,72,83,81,72,81,85
73,73,55,39,83,78,37
74,74,69,88,78,78,86
75,75,82,63,65,83,59
76,76,75,79,84,84,69
77,77,88,73,53,86,74
78,78,68,33,84,82,31
79,79,83,79,48,80,76
80,80,47,90,88,76,85
81,81,76,77,49,90,76
82,82,83,75,59,83,74
83,83,85,72,61,87,56
84,84,9,9,13,50,10
85,85,73,86,85,79,77
86,86,84,55,76,81,68
87,87,86,77,52,90,80
88,88,86,83,61,92,72
89,89,78,68,54,89,84
90,90,81,51,74,78,57
91,91,85,86,44,85,89
92,92,16,10,23,35,10
93,93,44,48,84,77,58
94,94,64,45,82,79,38
95,95,52,42,85,79,47
96,96,72,75,78,88,73
97,97,81,56,60,90,72
98,98,79,84,40,82,70
99,99,60,40,81,80,61
100,100,46,87,67,74,82
101,101,56,86,84,78,83
102,102,73,70,58,88,63
103,103,82,84,60,81,73
104,104,50,50,76,79,66
105,105,15,12,20,33,13
