int_power_id,int_player_id,int_shot_power,int_jumping,int_stamina,int_strength,int_long_shots
1,1,86,68,72,69,94
2,2,94,95,84,78,93
3,3,59,78,41,78,12
4,4,91,63,89,74,91
5,5,80,62,81,50,84
6,6,89,84,76,86,85
7,7,86,77,86,76,79
8,8,64,52,32,78,14
9,9,80,69,85,75,84
10,10,84,86,88,70,78
11,11,81,90,75,92,64
12,12,66,79,35,78,10
13,13,88,87,90,91,81
14,14,56,68,38,70,17
15,15,68,77,43,80,16
16,16,84,79,78,80,79
17,17,79,93,81,85,64
18,18,89,78,78,74,84
19,19,71,77,96,72,65
20,20,78,79,95,67,84
21,21,82,75,78,60,87
22,22,70,66,41,78,18
23,23,78,57,79,65,79
24,24,91,79,84,84,86
25,25,55,82,70,94,15
26,26,88,56,87,64,90
27,27,82,56,82,63,78
28,28,89,32,75,72,86
29,29,55,78,41,71,19
30,30,70,51,77,67,63
31,31,80,66,88,62,74
32,32,76,51,93,54,76
33,33,78,62,95,65,65
34,34,68,76,72,85,47
35,35,89,72,94,67,89
36,36,81,75,88,81,70
37,37,82,81,88,74,77
38,38,81,90,86,63,82
39,39,56,74,39,75,13
40,40,86,77,78,77,80
41,41,61,66,81,74,54
42,42,82,75,80,74,78
43,43,55,71,45,65,14
44,44,83,72,78,60,86
45,45,79,67,83,58,82
46,46,89,69,78,85,88
47,47,51,74,41,43,14
48,48,78,87,54,87,49
49,49,87,79,79,68,65
50,50,87,65,78,69,82
51,51,68,77,89,74,47
52,52,52,81,75,86,53
53,53,56,65,76,53,58
54,54,90,82,83,89,82
55,55,59,67,43,60,12
56,56,78,77,86,66,81
57,57,64,80,88,61,66
58,58,77,78,91,78,75
59,59,71,68,65,86,51
60,60,64,73,45,68,12
61,61,72,64,70,46,73
62,62,62,74,69,87,51
63,63,76,70,73,44,82
64,64,74,75,82,69,78
65,65,82,84,76,88,66
66,66,50,78,73,84,30
67,67,74,69,84,79,76
68,68,90,72,87,76,81
69,69,57,72,34,72,18
70,70,68,76,90,74,61
71,71,83,85,85,88,80
72,72,87,64,70,69,78
