int_profile_id,int_player_id,str_preferred_foot,int_weak_foot,int_skill_moves,int_international_reputations,str_work_rate,str_body_type
1,1,Left,4,4,5,Medium/ Low,Unique
2,2,Right,4,5,5,High/ Low,Unique
3,3,Right,3,1,3,Medium/ Medium,Unique
4,4,Right,5,4,4,High/ High,Unique
5,5,Right,5,5,5,High/ Medium,Unique
6,6,Right,4,4,4,High/ Medium,Unique
7,7,Right,4,5,3,High/ Low,Unique
8,8,Right,3,1,3,Medium/ Medium,Unique
9,9,Left,3,4,3,High/ Medium,Unique
10,10,Right,4,4,3,High/ Medium,Unique
11,11,Right,3,2,3,Medium/ Medium,Unique
12,12,Right,4,1,3,Medium/ Medium,Unique
13,13,Right,3,2,3,High/ High,Unique
14,14,Left,3,1,4,Medium/ Medium,Unique
15,15,Right,4,1,5,Medium/ Medium,Unique
16,16,Right,4,4,4,Medium/ Low,Normal (170-185)
17,17,Right,3,3,4,High/ Medium,Unique
18,18,Right,4,4,4,High/ Medium,Unique
19,19,Right,3,2,3,Medium/ High,Unique
20,20,Right,4,3,3,High/ Medium,Lean (170-185)
21,21,Left,3,4,3,Medium/ Medium,Unique
22,22,Left,3,1,2,Medium/ Medium,Unique
23,23,Right,3,4,3,High/ Medium,Unique
24,24,Right,4,3,3,High/ High,Unique
25,25,Right,3,2,3,Medium/ High,Unique
26,26,Right,5,4,3,High/ High,Unique
27,27,Right,4,4,4,High/ Medium,Unique
28,28,Right,5,3,4,Medium/ Medium,Normal (170-185)
29,29,Right,3,1,3,Medium/ Medium,Unique
30,30,Right,3,5,3,High/ Medium,Normal (170-185)
31,31,Right,4,3,2,High/ Medium,Unique
32,32,Left,3,4,2,High/ High,Lean (170-185)
33,33,Left,2,3,3,High/ High,Unique
34,34,Left,3,2,2,Medium/ Medium,Unique
35,35,Right,4,4,2,High/ High,Lean (170-185)
36,36,Right,2,3,3,Medium/ High,Unique
37,37,Right,4,5,3,High/ High,Unique
38,38,Left,3,4,4,Medium/ Medium,Unique
39,39,Right,3,1,3,Medium/ Medium,Normal (185+)
40,40,Right,4,3,3,High/ Medium,Unique
41,41,Right,3,3,4,Medium/ Medium,Lean (185+)
42,42,Right,4,4,3,High/ High,Unique
43,43,Right,3,1,3,Medium/ Medium,Lean (185+)
44,44,Left,2,5,4,High/ Medium,Unique
45,45,Right,4,4,4,High/ Medium,Lean (170-185)
46,46,Right,4,3,5,High/ Medium,Unique
47,47,Left,1,1,4,Medium/ Medium,Unique
48,48,Left,3,2,4,Medium/ High,Normal (185+)
49,49,Right,3,3,3,High/ High,Unique
50,50,Right,4,4,3,High/ Medium,Unique
51,51,Right,3,3,3,High/ High,Unique
52,52,Right,3,2,3,Medium/ High,Unique
53,53,Right,4,4,3,Medium/ High,Unique
54,54,Right,4,5,4,High/ Medium,Unique
55,55,Right,3,1,4,Medium/ Medium,Unique
56,56,Right,4,3,4,High/ High,Lean (185+)
57,57,Left,3,3,3,High/ Medium,Unique
58,58,Right,3,3,2,High/ High,Normal (170-185)
59,59,Right,3,3,4,High/ High,Normal (185+)
60,60,Right,4,1,3,Medium/ Medium,Normal (170-185)
61,61,Left,2,4,4,High/ Medium,Normal (170-185)
62,62,Right,3,2,4,High/ Medium,Unique
63,63,Right,4,4,3,High/ Medium,Normal (170-)
64,64,Left,4,4,3,Medium/ Medium,Unique
65,65,Right,4,2,3,Medium/ High,Stocky (185+)
66,66,Right,4,2,1,Medium/ High,Unique
67,67,Right,4,3,2,Medium/ High,Normal (185+)
68,68,Right,4,5,2,High/ Medium,Unique
69,69,Right,3,1,3,Medium/ Medium,Unique
70,70,Right,3,4,3,Medium/ High,Unique
71,71,Right,4,4,2,High/ Medium,Normal (185+)
72,72,Left,3,4,2,High/ Medium,Unique
73,73,Left,4,2,2,Medium/ High,Unique
74,74,Right,4,3,3,High/ Medium,Unique
75,75,Right,4,3,3,High/ High,Unique
76,76,Right,4,3,3,High/ Medium,Unique
77,77,Left,2,5,3,High/ High,Unique
78,78,Right,3,3,3,Medium/ High,Normal (170-185)
79,79,Left,4,5,3,Medium/ Medium,Unique
80,80,Right,4,3,3,Medium/ Medium,Unique
81,81,Right,3,4,2,Medium/ Medium,Lean (170-185)
82,82,Right,4,4,3,High/ Medium,Unique
83,83,Right,4,3,3,High/ High,Normal (170-185)
84,84,Right,3,1,3,Medium/ Medium,Normal (185+)
85,85,Left,4,3,3,Medium/ Medium,Unique
86,86,Left,3,3,3,High/ Medium,Unique
87,87,Right,5,4,3,High/ High,Unique
88,88,Right,4,3,2,Medium/ Medium,Lean (170-185)
89,89,Right,3,5,3,Medium/ Medium,Normal (170-185)
90,90,Right,2,3,3,High/ High,Unique
91,91,Right,4,4,4,High/ Medium,Unique
92,92,Right,2,1,2,Medium/ Medium,Normal (185+)
93,93,Right,4,2,3,Medium/ High,Lean (185+)
94,94,Right,3,2,3,Medium/ Medium,Normal (185+)
95,95,Right,3,2,3,Medium/ High,Lean (185+)
96,96,Right,4,4,3,High/ High,Unique
97,97,Right,4,3,3,Medium/ Medium,Normal (170-185)
98,98,Right,4,4,3,High/ Low,Unique
99,99,Right,3,2,4,Medium/ High,Normal (170-185)
100,100,Left,3,3,2,High/ High,Unique
101,101,Right,4,4,1,High/ Medium,Normal (170-185)
102,102,Right,3,4,2,Medium/ Medium,Normal (170-185)
103,103,Left,3,3,1,High/ Medium,Lean (170-185)
104,104,Right,4,3,1,Medium/ High,Lean (170-185)
105,105,Right,3,1,3,Medium/ Medium,Stocky (185+)
106,106,Right,3,2,2,Medium/ High,Normal (185+)
107,107,Right,4,3,2,Medium/ High,Lean (170-185)
108,108,Right,3,4,3,Medium/ Low,Unique
109,109,Left,2,3,3,High/ High,Unique
110,110,Right,4,4,3,High/ Medium,Normal (185+)
111,111,Right,3,2,2,Medium/ Medium,Stocky (185+)
112,112,Right,3,4,3,Medium/ Medium,Unique
113,113,Left,2,3,3,High/ High,Normal (170-185)
114,114,Left,2,3,3,High/ Medium,Normal (170-185)
115,115,Right,3,3,2,Medium/ High,Normal (185+)
116,116,Left,2,4,3,Medium/ Medium,Normal (170-)
117,117,Left,4,3,3,High/ High,Lean (170-185)
118,118,Right,3,2,3,Medium/ High,Normal (185+)
