int_player_id,str_trait,int_trait_id
1,Finesse Shot,1
1,Long Shot Taker (AI),2
1,Speed Dribbler (AI),3
1,Playmaker (AI),4
1,Outside Foot Shot,5
1,One Club Player,6
1,Team Player,7
1,Chip Shot (AI),8
2,Power Free-Kick,9
2,Flair,10
2,Long Shot Taker (AI),11
2,Speed Dribbler (AI),12
2,Outside Foot Shot,13
3,GK Long Throw,14
3,Comes For Crosses,15
4,Injury Prone,16
4,Leadership,17
4,Early Crosser,18
4,Long Passer (AI),19
4,Long Shot Taker (AI),20
4,Playmaker (AI),21
4,Outside Foot Shot,22
5,Injury Prone,23
5,Flair,24
5,Speed Dribbler (AI),25
5,Outside Foot Shot,26
5,Technical Dribbler (AI),27
6,Solid Player,28
6,Finesse Shot,29
6,Outside Foot Shot,30
6,Chip Shot (AI),31
7,Finesse Shot,32
7,Flair,33
7,Speed Dribbler (AI),34
7,Outside Foot Shot,35
7,Technical Dribbler (AI),36
8,GK Long Throw,37
8,Rushes Out Of Goal,38
9,Finesse Shot,39
9,Long Shot Taker (AI),40
9,Speed Dribbler (AI),41
9,Outside Foot Shot,42
9,Chip Shot (AI),43
10,Flair,44
10,Speed Dribbler (AI),45
11,Solid Player,46
11,Leadership,47
11,Long Passer (AI),48
11,Power Header,49
12,Rushes Out Of Goal,50
12,Comes For Crosses,51
12,Saves with Feet,52
13,Power Free-Kick,53
13,Solid Player,54
13,Dives Into Tackles (AI),55
13,Long Shot Taker (AI),56
13,Team Player,57
14,GK Long Throw,58
14,Comes For Crosses,59
15,Leadership,60
15,GK Long Throw,61
15,Rushes Out Of Goal,62
15,Comes For Crosses,63
16,Leadership,64
16,Finesse Shot,65
16,Playmaker (AI),66
16,Outside Foot Shot,67
16,Team Player,68
17,Dives Into Tackles (AI),69
17,Leadership,70
17,Long Passer (AI),71
17,Power Header,72
17,Team Player,73
18,Injury Prone,74
18,Leadership,75
18,Chip Shot (AI),76
20,Leadership,77
21,Finesse Shot,78
21,Flair,79
21,Long Shot Taker (AI),80
21,Playmaker (AI),81
21,Outside Foot Shot,82
21,Technical Dribbler (AI),83
22,Long Passer (AI),84
22,Rushes Out Of Goal,85
22,Comes For Crosses,86
23,Flair,87
23,Speed Dribbler (AI),88
24,Leadership,89
24,Long Passer (AI),90
24,Long Shot Taker (AI),91
24,Outside Foot Shot,92
24,Team Player,93
25,Power Header,94
26,Solid Player,95
26,Finesse Shot,96
26,Long Shot Taker (AI),97
26,Speed Dribbler (AI),98
27,Injury Prone,99
27,Finesse Shot,100
27,Flair,101
27,Playmaker (AI),102
27,Outside Foot Shot,103
27,Technical Dribbler (AI),104
28,Long Passer (AI),105
28,Long Shot Taker (AI),106
28,Playmaker (AI),107
29,GK Long Throw,108
29,Team Player,109
30,Finesse Shot,110
30,Flair,111
30,Playmaker (AI),112
30,Outside Foot Shot,113
30,Technical Dribbler (AI),114
31,Early Crosser,115
31,Long Passer (AI),116
31,Long Shot Taker (AI),117
32,Flair,118
32,Playmaker (AI),119
32,Outside Foot Shot,120
32,Technical Dribbler (AI),121
33,Early Crosser,122
33,Speed Dribbler (AI),123
34,Long Passer (AI),124
35,Solid Player,125
35,Flair,126
35,Long Passer (AI),127
35,Long Shot Taker (AI),128
35,Playmaker (AI),129
35,Outside Foot Shot,130
36,Dives Into Tackles (AI),131
36,Long Passer (AI),132
37,Flair,133
37,Playmaker (AI),134
37,Outside Foot Shot,135
37,Chip Shot (AI),136
37,Technical Dribbler (AI),137
38,Finesse Shot,138
38,Flair,139
38,Long Shot Taker (AI),140
38,Playmaker (AI),141
38,Outside Foot Shot,142
38,Chip Shot (AI),143
38,Technical Dribbler (AI),144
39,GK Long Throw,145
39,Cautious With Crosses,146
40,Outside Foot Shot,147
40,Chip Shot (AI),148
41,Team Player,149
42,Solid Player,150
42,Finesse Shot,151
42,Speed Dribbler (AI),152
42,Outside Foot Shot,153
42,Chip Shot (AI),154
43,Comes For Crosses,155
44,Flair,156
44,Long Shot Taker (AI),157
44,Outside Foot Shot,158
44,Chip Shot (AI),159
44,Technical Dribbler (AI),160
45,Long Shot Taker (AI),161
45,Playmaker (AI),162
45,Outside Foot Shot,163
45,Technical Dribbler (AI),164
46,Solid Player,165
46,Outside Foot Shot,166
47,Leadership,167
47,Rushes Out Of Goal,168
47,Comes For Crosses,169
48,Long Throw-in,170
48,Injury Prone,171
48,Dives Into Tackles (AI),172
48,Power Header,173
48,Team Player,174
49,Dives Into Tackles (AI),175
49,Team Player,176
50,Injury Prone,177
50,Flair,178
50,Long Shot Taker (AI),179
50,Speed Dribbler (AI),180
50,Technical Dribbler (AI),181
51,Team Player,182
52,Dives Into Tackles (AI),183
53,Flair,184
53,Playmaker (AI),185
53,Outside Foot Shot,186
54,Flair,187
54,Long Passer (AI),188
54,Long Shot Taker (AI),189
54,Playmaker (AI),190
54,Outside Foot Shot,191
54,Technical Dribbler (AI),192
55,Solid Player,193
55,GK Long Throw,194
55,Cautious With Crosses,195
55,Saves with Feet,196
56,Solid Player,197
56,Leadership,198
56,Outside Foot Shot,199
57,Speed Dribbler (AI),200
58,Leadership,201
58,Early Crosser,202
58,Long Passer (AI),203
58,Team Player,204
59,Leadership,205
59,Long Passer (AI),206
59,Playmaker (AI),207
59,Power Header,208
59,Outside Foot Shot,209
60,Comes For Crosses,210
61,Finesse Shot,211
61,Flair,212
61,Playmaker (AI),213
61,Outside Foot Shot,214
62,Leadership,215
63,Long Shot Taker (AI),216
63,Playmaker (AI),217
63,Outside Foot Shot,218
63,Technical Dribbler (AI),219
64,Finesse Shot,220
