Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,4,21,7,DL,12892,14869,1016,-4,0,1307,-16,0,0
2013,9,2,1,UA,14771,12266,1500,36,1,2046,52,1,0
2013,8,2,5,AA,15376,11298,0735,-8,0,1150,-13,0,0
2013,8,11,7,DL,14679,10397,1342,-7,0,2103,-12,0,0
2013,10,23,3,FL,11278,10397,1400,-5,0,1543,0,0,0
2013,6,3,1,9E,11433,13342,1059,46,1,1110,34,1,0
2013,10,27,7,WN,13891,13796,1740,17,1,1905,4,0,0
2013,10,14,1,EV,13851,12266,1524,-1,0,1647,0,0,0
2013,5,3,5,OO,14679,14771,0954,12,0,1127,4,0,0
2013,10,17,4,DL,13487,14107,0915,0,0,1034,5,0,0
2013,4,16,2,US,10397,14100,1940,-13,0,2145,-25,0,0
2013,9,3,2,WN,14747,14107,1045,-3,0,1340,1,0,0
2013,7,21,7,WN,14107,14679,1435,-4,0,1540,-12,0,0
2013,6,19,3,MQ,11433,13930,0650,-8,0,0705,-2,0,0
2013,9,10,2,EV,11618,11193,1721,59,1,1929,101,1,0
2013,5,30,4,WN,14831,10800,0630,-3,0,0735,-7,0,0
2013,10,15,2,9E,13487,11057,0700,0,0,1035,0,0,0
2013,10,20,7,AA,14683,11298,0815,-8,0,0925,-12,0,0
2013,4,3,3,WN,14893,12892,0905,2,0,1025,-4,0,0
2013,10,12,6,AA,14908,11298,1405,-3,0,1900,-20,0,0
2013,8,22,4,EV,12266,14730,0837,-1,0,1158,-11,0,0
2013,6,6,4,VX,12889,14771,1655,-5,0,1825,6,0,0
2013,5,4,6,US,14100,11697,0749,0,0,1041,4,0,0
2013,4,11,4,WN,14570,12889,2010,-3,0,2125,-5,0,0
2013,7,17,3,EV,11193,14122,1610,-10,0,1718,-15,0,0
2013,4,1,1,US,11057,11697,1816,0,0,2009,32,1,0
2013,10,17,4,FL,11697,10397,1244,20,1,1433,29,1,0
2013,8,1,4,DL,10397,10693,1610,0,0,1619,-6,0,0
2013,5,3,5,UA,13930,14771,0821,-3,0,1103,-9,0,0
2013,7,15,1,WN,12889,14771,1130,42,1,1310,47,1,0
2013,7,30,2,DL,10397,13931,0726,-7,0,0904,-8,0,0
2013,9,23,1,DL,10397,12264,1925,-1,0,2117,-23,0,0
2013,7,4,4,WN,13891,14107,1540,1,0,1650,-4,0,0
2013,4,22,1,WN,12191,13851,0640,3,0,0800,2,0,0
2013,10,22,2,DL,12953,10397,1259,-9,0,1538,-4,0,0
2013,9,1,7,UA,14771,14908,2036,-2,0,2202,-4,0,0
2013,4,15,1,US,10529,11057,0630,-5,0,0840,-23,0,0
2013,6,20,4,US,14100,11057,0630,-2,0,0806,-18,0,0
2013,6,27,4,B6,11618,13204,2119,76,1,2354,72,1,0
