name_th|name_en
ก๋วยเตี๋ยวน้ำ|Noodle soup
ก๋วยเตี๋ยวราดหน้า|Fried noodle with pork and broccoli
กุ้งแห้ง|Dried shrimps
กุ้งแห้งยำ|Sun-dried shrimp salad
กุ้งอบวุ้นเส้น|Casseroled prawns/shrimps with glass noodles
เกี้ยวกรอบ|Crispy wonton
เกี้ยวน้ำ|Wonton soup
แกงเขียวหวานไก่|Chicken Green Curry
แกงจืดแตงกวายัดไส้|Stuffed cucumber soup
แกงจืดวุ้นเส้น|Jelly noodle soup
แกงจืดหมูสับใส่เต้าหู้|Minced pork and soya bean curd soup
แกงมัสมั่น|Massa man Curry
แกงส้ม|Sour soup made of Tamarind Paste
แกงส้มกุ้งผักกระเฉด|Sour soup with shrimp and water mimosa
แกงฮังเล|Hang-le curry
ไก่ต้มข่า|Chicken and galangal in coconut milk soup
ไก่ทอด|Fried chicken
ไก่ผัดขิง|Chicken stir-fried with ginger
ไก่ย่าง|Grilled chicken
ไก่ห่อใบเตย|Fried marinated chicken wrapped in pendan leaf
ข้าวขาหมู|Stewed pork leg on rice
ข้าวคลุกกะปิ|Shrimp-paste fried rice
ข้าวซอย|Chiang Mai noodles
ข้าวซี่โครงหมูย่าง|Rice with roast pork spareribs
ข้าวต้ม|Porridge
ข้าวต้มกุ้ง|Rice porridge with shrimp
ข้าวต้มปลา|Porridge with fish
ข้าวผัด|Fried rice
ข้าวผัดกระเพราหมู|Rice topped with stir-fried pork and basil
ข้าวผัดกุ้งเล็ก|Fried rice with Shrimp
ข้าวผัดไก่|Fried rice with Chicken
ข้าวผัดปู|Fried rice with Crab
ข้าวผัดหมู|Fried rice with pork
ข้าวผัดหมูกุ้งใหญ่|Fried rice with Lobster
ข้าวมันไก่|Steamed chicken with rice
ข้าวสวย|Steamed rice
ข้าวหน้าเป็ด|Rice with roast duck
ข้าวหมูกรอบ|Rice crispy pork
ข้าวหมูแดง|Barbecued red pork in sauce with rice
ข้าวหลาม|Sweet rice in bamboo
ข้าวเหนียว|Glutinous rice, Sticky rice
ข้าวอบสับปะรด|Baked rice with pineapple served in a pineapple
ข้าวอบหม้อดิน|Baked rice with seafood in clay pot
ไข่เค็ม|Salted eggs
ไข่เจียวหมูสับ|Minced pork omelet
ไข่ตุ๋น|Steamed Egg
ไข่ตุ๋นทรงเครื่อง|Poached egg garnished with seafood
ไข่ยัดไส้|Stuffed omelet
ไข่ลูกเขย|Boiled egg fried with tamarind sauce
คอหมูย่าง|Charcoal-boiled pork neck
แคบหมู|Streaky pork with crispy crackling
โจ๊ก|Congee
โจ๊กหมู|Congee with pork
ฉู่ฉี่ปลา/กุ้ง|Curry-fried fish/shrimps
ซี่โครงหมูทอดกระเทียมพริกไทย|Fried pork spare ribs with garlic and pepper
ซุปหน่อไม้|Spicy shredded bamboo-shoot salad (in northeastern style)
ต้มยำกุ้ง|Sour prawn soup
ทอดมันปลากราย|Fried Fish-paste balls
น้ำตก|Sliced grilled beef salad
น้ำพริกอ่อง|Northem style chilli dip
เนื้อผัดน้ำมันหอย|Fried beef with oyster sauce
ปลากะพงนึ่งมะนาว|Snapper steamed with lemon
ปลากะพงราดพริก|Fried chicken with asparagus
ปลาเก๋าสามรส|Fried grouper topped with sweet, sour and hot sauce
ปลาจะละเม็ดทรงเครื่อง|Deep-fried pomfret garnished with shredded pork and mushrooms
ปลาช่อนแป๊ะซะ|Steamed whole fish with sauce, Snakehead with dressing
ปลาดุกผัดเผ็ด|Salted cat fish with chili paste
ปลาเนื้ออ่อนทอดกระเทียมพริกไทย|Fried river fish with garlic and pepper
ปลาร้า|Pickled fish
ปลาราดพริก|Fried fish toppted with chilli sauce
ปลาหมึกทอด|Crisp fried calamari
ปูนิ่มผัดผงกะหรี่|Stir-fried Soft-shelled Crab in Curry Powder
เป็ดพะโล้|Steamed duck
เป็ดย่างน้ำผึ้ง|Honey rost duck
เปาะเปียะทอด|Deep-fried spring rolls served with sweet and sour plum sauce
เปาะเปียะสด|Steamed spring roll
ผัดกะเพราไก่|Spicy fried chicken with basil leaves
ผัดผักรวมมิตร|Sautéed mixed vegetables in oyster sauce
พล่ากุ้ง|Shrimp salad with lemon grass and mint
พะแนงเนื้อ|Beef in ground peanut-coconut cream curry
มั่สมั่นน่องไก่|Chicken drumstick curry and potato
ยำวุ้นเส้น|Spicy noodle salad
ลาบไก่|Spicy minced chicken salad
ลาบเนื้อ|Spicy minced beef
ลาบหมู|Spicy minced pork
ส้มตำ|Papaya salad
ไส้อั่ว|Northern Thai spicy sausage
หมูกรอบ|Fried pork crackling
หมูกระเทียมพริกไทย|Pork stir-fried with garlic and peppercorns
หมูไข่พะโล้|Eggs and pork in brown sauce frogs
หอยแครงลวก|Steamed blanched clams with dipping sauce
หอยทอด|Fried mussel pancakes
หอยทอดแบบกรอบๆ|Crisp fried mussel pancakes
หอยแมลงภู่อบ|Pan-steamed mussels
หูฉลาม|Shark's fin
แหนม|Sour sausage in banana leaf
