date,EUR,CNY,JPY,GBP,THB
2010-01-04,0.6949753284,6.8272986309,92.8626033776,0.6195010077,33.2052262145
2010-01-05,0.6924248719,6.827170752,91.7739925218,0.6234939759,33.1408392189
2010-01-06,0.6968641115,6.8273867596,92.4668989547,0.6262020906,33.1574912892
2010-01-07,0.6991051454,6.8276705817,93.3305369128,0.6289149888,33.1648489933
2010-01-08,0.700623555,6.8275064808,93.43515729,0.625937084,33.1598122329
2010-01-11,0.6883259912,6.826404185,92.3939977974,0.6187362335,33.045154185
2010-01-12,0.6905600442,6.8270837649,91.437055452,0.6195704717,33.0357019543
2010-01-13,0.6866717023,6.8268213967,91.3410698345,0.6142965048,33.0275355353
2010-01-14,0.6903216899,6.8272815132,91.7299461549,0.6147314649,32.8876156289
2010-01-15,0.6957005705,6.8269096981,90.9698065952,0.6129469876,32.8676777515
2010-01-18,0.6959426543,6.8269886561,90.7022061382,0.6120815645,32.8498851695
2010-01-19,0.7003291547,6.8273688634,90.8957209889,0.61229778,32.8874571048
2010-01-20,0.7076139258,6.8271299179,91.0345315596,0.6150580243,32.9542881404
2010-01-21,0.7110352673,6.8267918089,91.8230944255,0.6186006826,33.0048350398
2010-01-22,0.7074637425,6.8268836222,90.0955076052,0.6199504775,33.0300672091
2010-01-25,0.70666384,6.8268673592,90.269238923,0.6199561868,32.9651614727
2010-01-26,0.7099751509,6.8269080582,89.6769613064,0.6200212993,33.0479233227
2010-01-27,0.7106310404,6.8268192155,89.5039795338,0.6162947698,33.0351051734
2010-01-28,0.7143367383,6.8269162083,90.2635902564,0.6154725338,33.0852203729
2010-01-29,0.7160246312,6.8267936417,90.3265072318,0.6204711442,33.174853215
2010-02-01,0.7187522461,6.8274275857,90.2752821103,0.6288004025,33.1898224682
2010-02-02,0.7175145297,6.8269354954,90.5503336443,0.6269283203,33.1398435818
2010-02-03,0.7151029748,6.8265875286,90.625,0.6265732265,33.0348970252
2010-02-04,0.7221780891,6.826893912,90.7633422402,0.6305336896,33.0800895501
2010-02-05,0.7304068366,6.8271127018,89.4675334161,0.6378277701,33.2101380469
2010-02-08,0.731261426,6.826691042,89.2650822669,0.6406581353,33.18976234
2010-02-09,0.726744186,6.8266715116,89.6802325581,0.6398255814,33.1751453488
2010-02-10,0.7278020378,6.8302037846,89.5269286754,0.6403202329,33.1703056769
2010-02-11,0.7289692375,6.83459688,89.6850852894,0.6396705059,33.1651844292
2010-02-12,0.7368110816,6.8329649278,90.1340996169,0.6403625111,33.2051282051
2010-02-15,0.7349158521,6.8330271184,89.9683986184,0.6376129933,33.1851253032
2010-02-16,0.7326544069,6.8330280607,89.8820426405,0.6377756612,33.2038977214
2010-02-17,0.7285443684,6.8330176308,90.8421972898,0.6331050561,33.1451260382
2010-02-18,0.737082627,6.8329770767,90.8822879045,0.6415567185,33.175351957
2010-02-19,0.7396996819,6.8329758118,91.8485095051,0.6496782306,33.1747910348
2010-02-22,0.7338910906,6.8264347571,91.2813738441,0.6456039924,33.1410538676
2010-02-23,0.7365397363,6.8266922,90.7343301171,0.6483022759,33.0750533991
2010-02-24,0.7381708127,6.8269727615,90.1749464826,0.6477448882,33.0353583819
2010-02-25,0.7413447995,6.8268218548,89.4506635036,0.6530506338,33.1151308474
2010-02-26,0.7369196758,6.8260132646,89.1083271923,0.6578481945,33.0648489315
2010-03-01,0.7393715342,6.8263216266,89.2199630314,0.6703881701,32.8828096118
2010-03-02,0.7381163271,6.8264688515,89.0758783584,0.6689917331,32.732506643
2010-03-03,0.7330840847,6.8258192215,88.7764826626,0.6639542556,32.6852870024
2010-03-04,0.731635938,6.8263827919,88.4255194615,0.6621305239,32.6353526485
