Country Name,GDP_per_capita
Aruba,
Afghanistan,561.77874627093
Angola,3308.77282845577
Albania,4131.87234065272
Andorra,37231.8156714154
Arab World,6151.18092685221
United Arab Emirates,38517.8003858029
Argentina,12654.3549989958
Armenia,3605.74311684256
American Samoa,11834.7452292307
Antigua and Barbuda,14462.1762794658
Australia,49896.6811009246
Austria,44731.0108553361
Azerbaijan,3880.73873089556
Burundi,285.727442064745
Belgium,41260.9775511468
Benin,788.532442415695
Burkina Faso,613.993127495919
Bangladesh,1358.77902884543
Bulgaria,7469.44770298113
Bahrain,22560.5812707477
Bahamas, The,30260.3059054474
Bosnia and Herzegovina,4808.63604287112
Belarus,5022.62664330491
Belize,4960.18179390332
Bermuda,
Bolivia,3117.3304591216
Brazil,8639.36574344537
Barbados,15891.6265491446
Brunei Darussalam,26939.418047044
Bhutan,2773.54713530224
Botswana,6954.17430629368
Central African Republic,382.07028106683
Canada,42348.9454605979
Central Europe and the Baltics,12748.9233852545
Switzerland,79866.0318745681
Channel Islands,
Chile,13960.894209996
China,8117.26746543179
Cote d'Ivoire,1535.06812143674
Cameroon,1374.5158991066
Congo, Dem. Rep.,444.410334598663
Congo, Rep.,1528.24472001004
Colombia,5756.86160202051
Comoros,775.080084631843
Cabo Verde,3037.52564241437
Costa Rica,11732.7105484757
Caribbean small states,9355.86825345279
Cuba,
Curacao,
Cayman Islands,
Cyprus,23541.4882484476
Czech Republic,18483.7164797716
Germany,42232.5742082948
Djibouti,1872.23462294105
Dominica,7906.72174152587
Denmark,53578.7565680928
Dominican Republic,6793.53812543935
Algeria,3916.88157088626
East Asia & Pacific (excluding high income),6579.33082740518
Early-demographic dividend,3291.88279860473
East Asia & Pacific,9793.32118029292
Europe & Central Asia (excluding high income),7122.57584584211
Europe & Central Asia,22245.2736747337
Ecuador,6018.52686848782
Egypt, Arab Rep.,3479.28124621174
Euro area,35038.5512410981
Eritrea,
Spain,26616.757796551
Estonia,17736.8026953521
Ethiopia,712.877949961138
European Union,32259.8672615641
Fragile and conflict affected situations,1449.60719146613
Finland,43433.032224358
Fiji,5197.50913987692
France,36870.2191344563
Faroe Islands,
Micronesia, Fed. Sts.,3143.74910660682
Gabon,7078.68326044761
United Kingdom,40412.0336199885
Georgia,3865.78569412489
Ghana,1517.49550753102
Gibraltar,
Guinea,748.301305931726
Gambia, The,472.306438160201
Guinea-Bissau,648.898936629656
Equatorial Guinea,9217.88952758682
Greece,17881.5266973956
Grenada,9841.76405036101
Greenland,48159.5347057227
Guatemala,4140.73763497611
Guam,35562.5675277478
Guyana,4531.24352689057
High income,39675.0373572505
Hong Kong SAR, China,43737.0419709205
Honduras,2375.09632686503
Heavily indebted poor countries (HIPC),875.870725443172
Croatia,12298.5703473839
Haiti,734.802591238931
Hungary,12820.0881963053
IBRD only,5538.2366509047
IDA & IBRD total,4464.06088221497
IDA total,1263.26204552335
IDA blend,1773.0392980018
Indonesia,3570.28461476538
IDA only,1006.72047891171
Isle of Man,
India,1717.47387802956
Not classified,
Ireland,64100.4299522762
Iran, Islamic Rep.,5219.10980489885
Iraq,4609.60069352322
Iceland,60529.926756911
Israel,37180.8498115363
Italy,30668.9814289997
Jamaica,4878.57579137263
Jordan,4087.9375167203
Japan,38972.3406391468
Kazakhstan,7714.84184376024
Kenya,1462.50511473103
Kyrgyz Republic,1120.66651300848
Cambodia,1269.90723818939
Kiribati,1587.05814505111
St. Kitts and Nevis,16596.8265742987
Korea, Rep.,27608.2474287116
Kuwait,27368.2866787596
Latin America & Caribbean (excluding high income),7583.3794310616
Lao PDR,2338.69215683656
Lebanon,8257.29439052664
Liberia,455.370741357005
Libya,5125.67528336766
St. Lucia,9364.82152461143
Latin America & Caribbean,8406.71581061248
Least developed countries: UN classification,949.237733488829
Low income,702.750493157562
Liechtenstein,
Sri Lanka,3857.39636324977
Lower middle income,2059.58486067189
Low & middle income,4299.17384090974
Lesotho,1039.70330251141
Late-demographic dividend,8155.01292748305
Lithuania,14912.6865427932
Luxembourg,100738.684223143
Latvia,14070.4226525952
Macao SAR, China,74017.1847105799
St. Martin (French part),
Morocco,2892.77556054736
Monaco,
Moldova,1913.24036746174
Madagascar,401.742265413689
Maldives,9871.90691107088
Middle East & North Africa,7195.35231669596
Mexico,8443.69192417663
Marshall Islands,3665.20747748087
Middle income,4766.3701374552
Macedonia, FYR,5163.25025319412
Mali,779.944843827232
Malta,24770.8065738237
Myanmar,1195.51537205875
Middle East & North Africa (excluding high income),3865.68105525676
