Country,Y2015
Aruba,
Afghanistan,569.5779229
Angola,3695.793748
Albania,3934.895394
Andorra,36038.2676
Arab World,6435.525509
United Arab Emirates,39101.74689
Argentina,13467.10236
Armenia,3617.935746
American Samoa,11865.96323
Antigua and Barbuda,13659.14791
Australia,56408.34043
Austria,44255.58336
Azerbaijan,5500.310382
Burundi,300.6765569
Belgium,40375.38864
Benin,783.947091
Burkina Faso,575.3144542
Bangladesh,1210.158769
Bulgaria,6993.47736
Bahrain,22688.87824
"Bahamas, The",29056.09066
Bosnia and Herzegovina,4584.242548
Belarus,5949.106307
Belize,4849.997495
Bermuda,
Bolivia,3077.026199
Brazil,8757.206202
Barbados,16129.04928
Brunei Darussalam,30967.89051
Bhutan,2615.31022
Botswana,6532.044677
Central African Republic,348.381417
Canada,43525.37019
Central Europe and the Baltics,12450.81346
Switzerland,82016.02131
Channel Islands,
Chile,13653.2264
China,8069.213024
Cote d'Ivoire,1434.326615
Cameroon,1353.92449
"Congo, Dem. Rep.",497.6297557
"Congo, Rep.",1712.121146
Colombia,6044.525655
Comoros,727.6463868
Cabo Verde,2954.119467
Costa Rica,11406.36273
Caribbean small states,9648.39944
Cuba,7602.261218
Curacao,
Cayman Islands,
Cyprus,23212.2247
Czech Republic,17715.61685
Germany,41323.9215
Djibouti,1862.167274
Dominica,7313.849352
Denmark,53012.99658
Dominican Republic,6468.471648
Algeria,4160.220067
East Asia & Pacific (excluding high income),6509.110864
Early-demographic dividend,3259.700021
East Asia & Pacific,9539.111952
Europe & Central Asia (excluding high income),7521.365319
Europe & Central Asia,22443.84928
Ecuador,6150.155955
"Egypt, Arab Rep.",3547.713012
Euro area,34353.4257
Eritrea,
Spain,25789.51955
Estonia,17155.87418
Ethiopia,645.4650067
European Union,32199.87726
Fragile and conflict affected situations,1563.176362
Finland,42424.22081
Fiji,4921.950723
France,36526.77011
Faroe Islands,50581.96849
"Micronesia, Fed. Sts.",3018.008675
Gabon,7388.984144
United Kingdom,44305.55463
Georgia,3764.640912
Ghana,1361.113905
Gibraltar,
Guinea,725.0646897
"Gambia, The",458.9690024
Guinea-Bissau,585.2105569
Equatorial Guinea,10717.48218
Greece,18070.77678
Grenada,9333.270231
Greenland,39569.10579
Guatemala,3923.573344
Guam,35210.78883
Guyana,4160.269275
High income,40239.5632
"Hong Kong SAR, China",42434.66603
Honduras,2326.155856
Heavily indebted poor countries (HIPC),884.0594474
Croatia,11638.07948
Haiti,814.5463952
Hungary,12483.86594
IBRD only,5554.432658
IDA & IBRD total,4500.827459
IDA total,1321.239956
IDA blend,1932.695951
Indonesia,3336.106686
IDA only,1011.158713
Isle of Man,81672.0227
India,1596.470003
Not classified,
Ireland,62544.63165
"Iran, Islamic Rep.",4862.299729
Iraq,4974.02693
Iceland,51213.66133
Israel,35691.26916
Italy,30180.32151
Jamaica,4939.837281
Jordan,4096.099275
Japan,34567.74568
Kazakhstan,10509.98107
Kenya,1349.970144
Kyrgyz Republic,1121.082835
Cambodia,1163.18977
Kiribati,1504.715353
St. Kitts and Nevis,16178.18869
"Korea, Rep.",27105.07623
Kuwait,29109.06874
Latin America & Caribbean (excluding high income),8303.876751
Lao PDR,2159.433152
Lebanon,8452.443641
Liberia,452.0380717
Libya,
St. Lucia,9306.358868
Latin America & Caribbean,8674.115571
Least developed countries: UN classification,970.825243
Low income,629.8181016
Liechtenstein,168146.0153
Sri Lanka,3844.89123
Lower middle income,2024.662282
Low & middle income,4405.242448
Lesotho,1152.319585
Late-demographic dividend,8201.550929
Lithuania,14289.12057
Luxembourg,101446.7863
Latvia,13639.69412
"Macao SAR, China",75484.28658
St. Martin (French part),
Morocco,2864.092915
Monaco,
Moldova,1832.499052
Madagascar,402.0883072
Maldives,9575.7707
Middle East & North Africa,7336.969933
Mexico,9152.872306
Marshall Islands,3390.910292
Middle income,4843.320276
"Macedonia, FYR",4834.136723
Mali,749.9501571
Malta,23816.08514
Myanmar,1138.992271
Middle East & North Africa (excluding high income),3924.289301
Montenegro,6514.272695
Mongolia,3946.962075
Northern Mariana Islands,17020.57793
Mozambique,528.3139758
Mauritania,1158.256371
Mauritius,9260.447303
Malawi,362.6575444
Malaysia,9648.553455
North America,55175.35265
Namibia,4770.500939
New Caledonia,
Niger,362.7521263
Nigeria,2655.157977
Nicaragua,2095.966488
Netherlands,44746.33405
Norway,74498.13764
Nepal,747.1604624
Nauru,8052.888385
New Zealand,38201.89037
OECD members,36427.22181
Oman,16627.3643
Other small states,12595.8139
Pakistan,1428.637628
Panama,13134.04367
Peru,6030.343259
Philippines,2878.33837
Palau,13981.83953
Papua New Guinea,2659.263507
Poland,12564.48353
Pre-demographic dividend,1524.01913
Puerto Rico,29697.12779
"Korea, Dem. People’s Rep.",
Portugal,19252.63495
Paraguay,4109.367724
West Bank and Gaza,2865.805109
Pacific island small states,3644.381046
Post-demographic dividend,40326.28389
French Polynesia,
Qatar,66346.52267
Romania,8978.389254
Russian Federation,9329.290713
Rwanda,710.3483907
South Asia,1538.128926
Saudi Arabia,20653.24205
Sudan,2513.884661
Senegal,910.7747772
Singapore,53629.73746
Solomon Islands,1922.041388
Sierra Leone,587.5162611
El Salvador,4127.11775
San Marino,47610.98508
Somalia,426.0098537
Serbia,5237.255334
Sub-Saharan Africa (excluding high income),1596.978941
South Sudan,758.7205782
Sub-Saharan Africa,1598.260317
Small states,11508.39386
Sao Tome and Principe,1615.320711
Suriname,8724.723897
Slovak Republic,16132.86031
Slovenia,20873.16111
Sweden,50812.19086
Swaziland,3047.946756
Sint Maarten (Dutch part),
Seychelles,15390.04064
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,777.2487051
East Asia & Pacific (IDA & IBRD countries),6578.179407
Europe & Central Asia (IDA & IBRD countries),7944.292415
Togo,551.1308346
Thailand,5814.863134
Tajikistan,918.6771543
Turkmenistan,6432.668768
Latin America & the Caribbean (IDA & IBRD countries),8534.506463
Timor-Leste,1294.54454
Middle East & North Africa (IDA & IBRD countries),3936.596023
Tonga,4093.849585
South Asia (IDA & IBRD),1538.128926
Sub-Saharan Africa (IDA & IBRD countries),1598.260317
Trinidad and Tobago,17321.78762
Tunisia,3828.100633
Turkey,10984.77076
Tuvalu,2970.027974
Tanzania,872.2954949
Uganda,674.044972
Ukraine,2124.662666
Upper middle income,8112.01528
Uruguay,15524.84247
United States,56469.00897
Uzbekistan,2137.576852
St. Vincent and the Grenadines,6899.691708
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),34954.97168
Vietnam,2065.169099
Vanuatu,2805.83414
World,10164.21342
Samoa,4149.411429
Kosovo,3574.481782
"Yemen, Rep.",1401.903319
South Africa,5744.324157
Zambia,1313.889646
Zimbabwe,1033.415842
