id,first_name,last_name
429,Andrew,Adamson
2931,Darren,Aronofsky
9247,Zach,Braff
11652,"James (I)",Cameron
14927,Ron,Clements
15092,Ethan,Coen
15093,Joel,Coen
15901,"Francis Ford",Coppola
15906,Sofia,Coppola
16816,Cameron,Crowe
17810,Frank,Darabont
22104,Clint,Eastwood
24758,David,Fincher
28395,"Mel (I)",Gibson
35573,Ron,Howard
35838,"John (I)",Hughes
37872,Vicky,Jenson
38746,"Mike (I)",Judge
41975,David,Koepp
44291,"John (I)",Landis
46315,Jay,Levey
48115,George,Lucas
56332,John,Musker
58201,Christopher,Nolan
65940,Rob,Reiner
66849,Guy,Ritchie
68161,"Herbert (I)",Ross
74758,Steven,Soderbergh
76524,"Oliver (I)",Stone
78273,Quentin,Tarantino
82525,"Paul (I)",Verhoeven
83616,Andy,Wachowski
83617,Larry,Wachowski
88802,Unknown,Director
