Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
2S,2S METAL PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"8/5 Moo 14, Tha-change, Bangklam District Songkhla",90110,0-7480-0111,0-7480-1286,www.ss.co.th
7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,False,False,False,Technology,Information & Communication Technology,"73 Mahachol Building, Soi Sukhumvit 62, Sukhumvit Road, Phrakhanong Tai, Phrakhanong Bangkok",10260,0-2741-5700,0-2741-5724,www.sevenup.co.th
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Property Development,"999 Praditmanutham road, Saphansong, Wangthonglang Bangkok",10310,"0-2798-9999, 1797",0-2798-9990,http://www.areeya.co.th
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"349 SJ Infinite I Business Complex 19th Floor 1901 Unit Vibhavadi-Rangsit Road, Chomphon Chatuchak Bangkok",10900,0-2026-3512,0-2026-3513,www.assetfive.co.th
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,SET,False,True,False,Services,Transportation & Logistics,"222, Don Mueang International Airport, 3rd Fl., Central Office Bldg., Room no. 3200, Vibhavadee Rangsit Road, Don Mueang, Bangkok",10210,0-2562-5700,0-2562-5705,http://www.aavplc.com
ABICO,ABICO HOLDINGS PUBLIC COMPANY LIMITED,mai,False,False,False,Agro & Food Industry,-,"401/1 Moo 8, 5th floor ABICO Building, Phaholyothin Road, KhukhotSub-district, Lumlookka District Pathum Thani",12130,0-2080-7899,0-2080-7805,www.abicogroup.com
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"273/2 Rama 2 Road, Samae Dam Sub-district, Bang Khun Thian District Bangkok",10150,0-2415-0054,0-2415-1102,www.asiabiomass.com
ABPIF,AMATA B. GRIMM POWER POWER PLANT INFRASTRUCTURE FUND,SET,False,False,False,Resources,Energy & Utilities,"400/22 KASIKORNBANK Building, 6th and 12th floor, Phahon Yothin Road, Samsen Nai Sub-District, Phaya Thai District Bangkok",10400,0-2673-3999,0-2673-3988,http://www.kasikornasset.com
ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,mai,False,False,False,Financials,-,"349 SJ Infinite I Business Complex 24th Floor, Unit 2401-2405, Vibhavadi Rangsit Road, Chompol, Chatuchak Bangkok",10900,0-2793-3888,0-2793-3944,www.acap.co.th
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Home & Office Products,"32 Srinagarindra Road (The Corner of Soi Srinagarindra 40) Nongbon, Praves Bangkok",10250,0-2748-2400-1,0-2748-2402,http://acc-plc.com
ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"252 Moo 4, Sukhumvit Road, Praksa, Muang Samutprakarn Samut Prakarn",10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,True,True,True,Technology,Information & Communication Technology,"AIS TOWER 1, 414 PHAHOLYOTHIN ROAD, PHAYA THAI Bangkok",10400,0-2029-5000,0-2029-5165,http://investor.ais.co.th
AEC,AEC SECURITIES PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Finance & Securities,"17th fl., Athenee Tower, 63 Wittayu Road, Lumpini, Pathumwan Bangkok",10330,0-2659-3456,0-2659-3457,www.aecs.com
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,SET,False,True,False,Financials,Finance & Securities,"EXCHANGE TOWER, FLOOR 27, 388 SUKHUMVIT ROAD, KHLONG TOEI Bangkok",10110,"0-2665-0123, 0-2689-7197",0-2689-7007,www.aeon.co.th
AF,AIRA FACTORING PUBLIC COMPANY LIMITED,mai,False,False,False,Financials,-,"No. 319 Chamchuri Square, 20 Floors, Phayathai Road, Pathumwan Sub-District, Pathumwan District Bangkok",10330,0-2657-6222,"0-2657-6244, 0-2657-6245",www.airafactoring.co.th
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"WALL STREET TOWER,FLOOR 27,33/133-136 SURAWONG ROAD, BANG RAK Bangkok",10500,0-2632-7071-85,0-2236-1982,www.asiafiber.com
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"273/1 Rama II Road, Samaedam, Bangkhuntien Bangkok",10150,0-2894-0088,"0-2894-0044, 0-2894-4267",www.agecoal.com
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Automotive,"99 MOO 1 HITECH INDUSTRIAL ESTATE TAMBON BAN LANE, AMPHUR BANG PA-IN Ayutthya",13160,0-3535-0880,0-3535-0881,www.aapico.com
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Health Care Services,"68/3 MOO 2, PHRAYASATJA ROAD, AMPHOE MUANG Chonburi",20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,www.aikchol.com
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,SET,False,False,False,Resources,Energy & Utilities,"254, SERI THAI ROAD, KHAN NA YAO Bangkok",10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com
AIE,AI ENERGY PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"55/2 Moo 8 Sethakit 1 Rd., Klong Maduea, Krathum Baen Samut Sakhon",74110,0-3487-7485-8,0-3487-7491-2,www.aienergy.co.th
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,False,False,False,Property & Construction,Property Fund & REITs,"62 Millennia Tower Bldg. 16 Fl. Room 1601, Soi Lang Suan Lumpini, Pathum Wan Bangkok",10330,0-2254-0441-2,0-2254-0443,www.aimreit.com
AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,mai,False,False,False,Financials,-,"319 Chamchuri Square Building. 12th Floor, Phayathai Road, Pathumwan Bangkok",10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th
