name,number,img_url,link
Alisson Becker,1,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91643_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/alisson-becker
Adrian,13,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91641_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/adrian
Andy Lonergan,22,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/94/thumb_93312_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/andy-lonergan
Caoimhin Kelleher,62,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91645_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/caoimhin-kelleher
Virgil van Dijk,4,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91665_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/virgil-van-dijk
Joe Gomez,12,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91652_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/joe-gomez
Andy Robertson,26,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91644_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/andy-robertson
Joel Matip,32,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91653_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/joel-matip
Ki-Jana Hoever,51,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91655_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/ki-jana-hoever
Trent Alexander-Arnold,66,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91664_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/trent-alexander-arnold
Sepp van den Berg,72,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91661_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/sepp-van-den-berg
Neco Williams,76,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0002/08/thumb_107850_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/neco-williams
Fabinho,3,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91648_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/fabinho
Georginio Wijnaldum,5,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91649_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/georginio-wijnaldum
James Milner,7,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91651_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/james-milner
Naby Keita,8,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91657_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/naby-keita
Jordan Henderson,14,https://d3j2s6hdd6a7rg.cloudfront.net/v2/uploads/media/misc/0001/92/thumb_91654_misc_general_500.jpeg,https://www.liverpoolfc.com/team/first-team/player/jordan-henderson
