studentid,gender,subject,score
A312,F,eng1,8
A312,F,eng2,6
A312,F,eng3,10
A312,F,math1,9
A312,F,math2,8
A312,F,math3,5
A312,F,sci1,10
A312,F,sci2,9
A312,F,sci3,9
A349,M,eng1,4
A349,M,eng2,6
A349,M,eng3,5
A349,M,math1,4
A349,M,math2,7
A349,M,math3,9
A349,M,sci1,7
A349,M,sci2,6
A349,M,sci3,8
A398,F,eng1,6
A398,F,eng2,5
A398,F,eng3,5
A398,F,math1,4
A398,F,math2,5
A398,F,math3,7
A398,F,sci1,8
A398,F,sci2,4
A398,F,sci3,8
B243,M,eng1,6
B243,M,eng2,5
B243,M,eng3,6
B243,M,math1,4
B243,M,math2,6
B243,M,math3,8
B243,M,sci1,6
B243,M,sci2,3
B243,M,sci3,6
B304,F,eng1,4
B304,F,eng2,7
B304,F,eng3,9
B304,F,math1,4
B304,F,math2,6
B304,F,math3,7
B304,F,sci1,4
B304,F,sci2,4
B304,F,sci3,6
B344,F,eng1,8
B344,F,eng2,8
B344,F,eng3,10
B344,F,math1,4
B344,F,math2,6
B344,F,math3,4
B344,F,sci1,7
B344,F,sci2,7
B344,F,sci3,8
C211,M,eng1,10
C211,M,eng2,6
C211,M,eng3,5
C211,M,math1,6
C211,M,math2,10
C211,M,math3,6
C211,M,sci1,8
C211,M,sci2,7
C211,M,sci3,10
C215,M,eng1,9
C215,M,eng2,5
C215,M,eng3,6
C215,M,math1,10
C215,M,math2,7
C215,M,math3,7
C215,M,sci1,4
C215,M,sci2,6
C215,M,sci3,9
C305,M,eng1,5
C305,M,eng2,3
C305,M,eng3,10
C305,M,math1,8
C305,M,math2,6
C305,M,math3,10
C305,M,sci1,4
C305,M,sci2,7
C305,M,sci3,5
C409,F,eng1,4
C409,F,eng2,6
C409,F,eng3,9
C409,F,math1,4
C409,F,math2,8
C409,F,math3,10
C409,F,sci1,4
C409,F,sci2,8
C409,F,sci3,6
C446,M,eng1,10
C446,M,eng2,5
C446,M,eng3,7
C446,M,math1,4
C446,M,math2,3
C446,M,math3,10
C446,M,sci1,4
C446,M,sci2,4
C446,M,sci3,7
