game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
Portal 2,PC,Valve Software,Action,,E10+,"Apr 18, 2011",51,1,0,1700,107,19,95,90
The Elder Scrolls V: Skyrim,PC,Bethesda Game Studios,Role-Playing,No Online Multiplayer,M,"Nov 10, 2011",32,0,0,1616,322,451,94,82
The Legend of Zelda: Ocarina of Time 3D,3DS,GREZZO,Miscellaneous,No Online Multiplayer,E10+,"Jun 19, 2011",84,1,0,283,20,5,94,90
Batman: Arkham City,PC,Rocksteady Studios,Action Adventure,,T,"Nov 21, 2011",27,0,0,240,34,27,91,87
Super Mario 3D Land,3DS,Nintendo,Action,No Online Multiplayer,E,"Nov 13, 2011",81,1,0,251,39,11,90,84
Deus Ex: Human Revolution,PC,Nixxes Software,Action,No Online Multiplayer,M,"Aug 23, 2011",52,0,0,520,112,78,90,85
Pushmo,3DS,Intelligent Systems,Miscellaneous,1 Player,E,"Dec  8, 2011",31,0,0,34,4,2,90,83
Total War: Shogun 2,PC,Creative Assembly,Strategy,Online Multiplayer,T,"Mar 15, 2011",62,0,0,187,44,29,90,84
FIFA Soccer 12,PC,Electronic Arts,Sports,,E,"Sep 27, 2011",14,0,0,33,8,10,89,71
Battlefield 3,PC,EA DICE,Action,,M,"Oct 25, 2011",60,1,0,1061,191,271,89,76
LIMBO,PC,PLAYDEAD,Action,No Online Multiplayer,T,"Aug  2, 2011",22,0,0,190,63,25,88,81
Assassin's Creed: Brotherhood,PC,Ubisoft Montreal,Action Adventure,,M,"Mar 22, 2011",24,0,0,107,34,13,88,82
The Witcher 2: Assassins of Kings,PC,CD Projekt Red Studio,Role-Playing,No Online Multiplayer,M,"May 17, 2011",70,6,0,1155,127,77,88,85
Dead Space 2,PC,Visceral Games,Action,,M,"Jan 25, 2011",27,1,0,128,31,12,87,84
Bastion,PC,Supergiant Games,Action,No Online Multiplayer,E10+,"Aug 16, 2011",16,1,0,302,51,12,86,85
Crysis 2,PC,Crytek,Action,,M,"Mar 22, 2011",39,3,0,202,119,120,86,68
DiRT 3,PC,Codemasters,Driving,,T,"May 23, 2011",21,2,0,48,30,31,86,70
Battlefield 3: Back to Karkand,PC,EA DICE,Action,,M,"Dec 13, 2011",8,1,0,22,8,6,86,72
Super Street Fighter IV: 3D Edition,3DS,Capcom,Action,,T,"Mar 27, 2011",67,2,0,43,9,2,85,80
Frozen Synapse,PC,Mode 7 Games,Strategy,2 ,,"May 26, 2011",24,3,0,43,6,10,85,76
