Titleholder,Represented (group),Represented,Hometown,Year,Year (group),Age,Summary ,Eye Color,Hair Color,Height,Cm,Ft,In
Armi Kuusela,Europe,Finland,Muhos,1952,1950s,17,Winning Traits between 1952 and 1952,Blue,Blonde,168.0cm,168,5.51,66.14
Rina Messinger,Asia,Israel,Kiryat Tiv'on,1976,1970s,20,Winning Traits between 1976 and 1976,Blue,Blonde,170.0cm,170,5.58,66.93
Hillevi Rombin,Europe,Sweden,Alfta,1955,1950s,21,Winning Traits between 1955 and 1955,Blue,Blonde,170.0cm,170,5.58,66.93
Yvonne Ryding,Europe,Sweden,Eskilstuna,1984,1980s,21,Winning Traits between 1984 and 1984,Blue,Blonde,170.0cm,170,5.58,66.93
Lorraine Downes,Austraila+,New Zealand,Auckland,1983,1980s,19,Winning Traits between 1983 and 1983,Blue,Blonde,173.0cm,173,5.68,68.11
Margareta Arvidsson,Europe,Sweden,Gothenburg,1966,1960s,18,Winning Traits between 1966 and 1966,Blue,Blonde,173.0cm,173,5.68,68.11
Shawn Weatherly,N America,United States,Sumter,1980,1980s,20,Winning Traits between 1980 and 1980,Blue,Blonde,173.0cm,173,5.68,68.11
Marlene Schmidt,Europe,Germany,Stuttgart,1961,1960s,24,Winning Traits between 1961 and 1961,Blue,Blonde,173.0cm,173,5.68,68.11
Jennifer Hawkins,Austraila+,Australia,Newcastle,2004,2000s,20,Winning Traits between 2004 and 2004,Blue,Blonde,180.0cm,180,5.91,70.87
Christiane Martel,Europe,France,Créteil,1953,1950s,21,Winning Traits between 1953 and 1953,Blue,Brown,168.0cm,168,5.51,66.14
Miriam Stevenson,N America,United States,Winnsboro,1954,1950s,21,Winning Traits between 1954 and 1954,Blue,Brown,168.0cm,168,5.51,66.14
Dayanara Torres,N America,Puerto Rico,Toa Alta,1993,1990s,18,Winning Traits between 1993 and 1993,Blue,Brown,170.0cm,170,5.58,66.93
Carol Morris,N America,United States,Ottumwa,1956,1950s,20,Winning Traits between 1956 and 1956,Blue,Brown,170.0cm,170,5.58,66.93
Marisol Malaret,N America,Puerto Rico,San Juan,1970,1970s,20,Winning Traits between 1970 and 1970,Blue,Brown,173.0cm,173,5.68,68.11
Karen Dianne Baldwin,N America,Canada,London,1982,1980s,18,Winning Traits between 1982 and 1982,Blue,Brown,178.0cm,178,5.84,70.08
Kerry Anne Wells,Austraila+,Australia,Perth,1972,1970s,20,Winning Traits between 1972 and 1972,Blue,Brown,180.0cm,180,5.91,70.87
Natalie Glebova,N America,Canada,Toronto,2005,2000s,23,Winning Traits between 2005 and 2005,Blue,Brown,180.0cm,180,5.91,70.87
Wendy Fitzwilliam,N America,Trinidad & Tobago,Diego Martin,1998,1990s,25,Winning Traits between 1998 and 1998,Brown,Black,183.0cm,183,6.0,72.05
