MovieID,Title,Genres,Movie_title,Release,Genres2
1,Toy Story (1995),Animation|Children's|Comedy,Toy Story,1995,"['Animation', ""Children's"", 'Comedy']"
2,Jumanji (1995),Adventure|Children's|Fantasy,Jumanji,1995,"['Adventure', ""Children's"", 'Fantasy']"
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men,1995,"['Comedy', 'Romance']"
4,Waiting to Exhale (1995),Comedy|Drama,Waiting to Exhale,1995,"['Comedy', 'Drama']"
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II,1995,['Comedy']
6,Heat (1995),Action|Crime|Thriller,Heat,1995,"['Action', 'Crime', 'Thriller']"
7,Sabrina (1995),Comedy|Romance,Sabrina,1995,"['Comedy', 'Romance']"
8,Tom and Huck (1995),Adventure|Children's,Tom and Huck,1995,"['Adventure', ""Children's""]"
9,Sudden Death (1995),Action,Sudden Death,1995,['Action']
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye,1995,"['Action', 'Adventure', 'Thriller']"
11,"American President, The (1995)",Comedy|Drama|Romance,"American President, The",1995,"['Comedy', 'Drama', 'Romance']"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It,1995,"['Comedy', 'Horror']"
13,Balto (1995),Animation|Children's,Balto,1995,"['Animation', ""Children's""]"
14,Nixon (1995),Drama,Nixon,1995,['Drama']
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island,1995,"['Action', 'Adventure', 'Romance']"
16,Casino (1995),Drama|Thriller,Casino,1995,"['Drama', 'Thriller']"
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility,1995,"['Drama', 'Romance']"
18,Four Rooms (1995),Thriller,Four Rooms,1995,['Thriller']
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls,1995,['Comedy']
20,Money Train (1995),Action,Money Train,1995,['Action']
21,Get Shorty (1995),Action|Comedy|Drama,Get Shorty,1995,"['Action', 'Comedy', 'Drama']"
22,Copycat (1995),Crime|Drama|Thriller,Copycat,1995,"['Crime', 'Drama', 'Thriller']"
23,Assassins (1995),Thriller,Assassins,1995,['Thriller']
24,Powder (1995),Drama|Sci-Fi,Powder,1995,"['Drama', 'Sci-Fi']"
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas,1995,"['Drama', 'Romance']"
26,Othello (1995),Drama,Othello,1995,['Drama']
27,Now and Then (1995),Drama,Now and Then,1995,['Drama']
28,Persuasion (1995),Romance,Persuasion,1995,['Romance']
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"City of Lost Children, The",1995,"['Adventure', 'Sci-Fi']"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,['Drama']
31,Dangerous Minds (1995),Drama,Dangerous Minds,1995,['Drama']
32,Twelve Monkeys (1995),Drama|Sci-Fi,Twelve Monkeys,1995,"['Drama', 'Sci-Fi']"
33,Wings of Courage (1995),Adventure|Romance,Wings of Courage,1995,"['Adventure', 'Romance']"
34,Babe (1995),Children's|Comedy|Drama,Babe,1995,"[""Children's"", 'Comedy', 'Drama']"
35,Carrington (1995),Drama|Romance,Carrington,1995,"['Drama', 'Romance']"
36,Dead Man Walking (1995),Drama,Dead Man Walking,1995,['Drama']
37,Across the Sea of Time (1995),Documentary,Across the Sea of Time,1995,['Documentary']
38,It Takes Two (1995),Comedy,It Takes Two,1995,['Comedy']
39,Clueless (1995),Comedy|Romance,Clueless,1995,"['Comedy', 'Romance']"
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country",1995,['Drama']
41,Richard III (1995),Drama|War,Richard III,1995,"['Drama', 'War']"
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents,1995,"['Action', 'Crime', 'Drama']"
43,Restoration (1995),Drama,Restoration,1995,['Drama']
44,Mortal Kombat (1995),Action|Adventure,Mortal Kombat,1995,"['Action', 'Adventure']"
45,To Die For (1995),Comedy|Drama,To Die For,1995,"['Comedy', 'Drama']"
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,1995,"['Drama', 'Romance']"
47,Seven (Se7en) (1995),Crime|Thriller,Seven (Se7en),1995,"['Crime', 'Thriller']"
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Pocahontas,1995,"['Animation', ""Children's"", 'Musical', 'Romance']"
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,1995,"['Drama', 'Romance']"
50,"Usual Suspects, The (1995)",Crime|Thriller,"Usual Suspects, The",1995,"['Crime', 'Thriller']"
51,Guardian Angel (1994),Action|Drama|Thriller,Guardian Angel,1994,"['Action', 'Drama', 'Thriller']"
52,Mighty Aphrodite (1995),Comedy,Mighty Aphrodite,1995,['Comedy']
53,Lamerica (1994),Drama,Lamerica,1994,['Drama']
54,"Big Green, The (1995)",Children's|Comedy,"Big Green, The",1995,"[""Children's"", 'Comedy']"
55,Georgia (1995),Drama,Georgia,1995,['Drama']
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Kids of the Round Table,1995,"['Adventure', ""Children's"", 'Fantasy']"
57,Home for the Holidays (1995),Drama,Home for the Holidays,1995,['Drama']
58,"Postino, Il (The Postman) (1994)",Drama|Romance,"Postino, Il (The Postman)",1994,"['Drama', 'Romance']"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,"Confessional, The (Le Confessionnal)",1995,"['Drama', 'Mystery']"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,"Indian in the Cupboard, The",1995,"['Adventure', ""Children's"", 'Fantasy']"
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,1996,"['Drama', 'Thriller']"
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,1995,['Drama']
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,['Comedy']
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,1996,"['Comedy', 'Romance']"
65,Bio-Dome (1996),Comedy,Bio-Dome,1996,['Comedy']
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996,"['Sci-Fi', 'Thriller']"
67,Two Bits (1995),Drama,Two Bits,1995,['Drama']
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),1995,"['Comedy', 'Romance']"
69,Friday (1995),Comedy,Friday,1995,['Comedy']
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,From Dusk Till Dawn,1996,"['Action', 'Comedy', 'Crime', 'Horror', 'Thriller']"
71,Fair Game (1995),Action,Fair Game,1995,['Action']
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,1995,"['Comedy', 'Drama']"
73,"Misérables, Les (1995)",Drama|Musical,"Misérables, Les",1995,"['Drama', 'Musical']"
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,1996,"['Drama', 'Romance']"
75,Big Bully (1996),Comedy|Drama,Big Bully,1996,"['Comedy', 'Drama']"
76,Screamers (1995),Sci-Fi|Thriller,Screamers,1995,"['Sci-Fi', 'Thriller']"
77,Nico Icon (1995),Documentary,Nico Icon,1995,['Documentary']
78,"Crossing Guard, The (1995)",Drama,"Crossing Guard, The",1995,['Drama']
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",1996,"['Drama', 'Thriller']"
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,"White Balloon, The (Badkonake Sefid )",1995,['Drama']
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver when You're Dead,1995,"['Crime', 'Drama', 'Romance']"
82,Antonia's Line (Antonia) (1995),Drama,Antonia's Line (Antonia),1995,['Drama']
83,Once Upon a Time... When We Were Colored (1995),Drama,Once Upon a Time... When We Were Colored,1995,['Drama']
84,Last Summer in the Hamptons (1995),Comedy|Drama,Last Summer in the Hamptons,1995,"['Comedy', 'Drama']"
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,1995,"['Drama', 'Romance']"
86,White Squall (1996),Adventure|Drama,White Squall,1996,"['Adventure', 'Drama']"
87,Dunston Checks In (1996),Children's|Comedy,Dunston Checks In,1996,"[""Children's"", 'Comedy']"
88,Black Sheep (1996),Comedy,Black Sheep,1996,['Comedy']
