Rank,Account name,Followers(millions),Profession,Country,as_of
1,Facebook,214,Social media,USA,2019-12-18
2,Samsung,162,Product and services,KOR,2019-12-18
3,Cristiano Ronaldo,122,Football Player,POR,2019-12-18
4,Real Madrid C.F.,110,Football club,ESP,2019-12-18
5,Coca-Cola,107,Product and services,USA,2019-12-18
6,FC Barcelona,103,Football club,ESP,2019-12-18
7,Shakira,101,Musician,COL,2019-12-18
8,Vin Diesel,97,Actor,USA,2019-12-18
9,Tasty,97,Internet media,USA,2019-12-18
10,Lionel Messi,90,Football Player,ARG,2019-12-18
11,Mr. Bean,88,Public figure,UK,2019-12-18
12,Eminem,87,Musician,USA,2019-12-18
13,YouTube,83,Product and services,USA,2019-12-18
14,McDonald's,79,Product and services,USA,2019-12-18
15,Rihanna,79,Musician,BAR,2019-12-18
16,Will Smith,77,Actor,USA,2019-12-18
17,Justin Bieber,76,Musician,CAN,2019-12-18
18,China Daily,75,Newspaper,CHN,2019-12-18
19,Manchester United,73,Football club,UK,2019-12-18
20,Harry Potter,72,Fictional Character,UK,2019-12-18
21,Michael Jackson,72,Musician,USA,2019-12-18
22,Taylor Swift,71,Musician,USA,2019-12-18
23,Bob Marley,70,Musician,JAM,2019-12-18
24,Katy Perry,67,Musician,USA,2019-12-18
25,Beyoncé,61,Musician,USA,2019-12-18
