Rank,Account name,Owner,Followers_mil,Activity,Country,as_of
1,@BarackObama,Barack Obama,111,Former U.S. president,USA,2019-12-18
2,@katyperry,Katy Perry,108,Musician,USA,2019-12-18
3,@justinbieber,Justin Bieber,107,Musician,CAN,2019-12-18
4,@rihanna,Rihanna,95,Musician and businesswoman,BAR,2019-12-18
5,@taylorswift13,Taylor Swift,85,Musician,USA,2019-12-18
6,@Cristiano,Cristiano Ronaldo,81,Footballer,POR,2019-12-18
7,@ladygaga,Lady Gaga,80,Musician and actress,USA,2019-12-18
8,@TheEllenShow,Ellen DeGeneres,79,Comedian,USA,2019-12-18
9,@YouTube,YouTube,72,Online video platform,USA,2019-12-18
10,@ArianaGrande,Ariana Grande,68,Musician and actress,USA,2019-12-18
11,@realDonaldTrump,Donald Trump,68,Current U.S. president,USA,2019-12-18
12,@jtimberlake,Justin Timberlake,65,Musician and actor,USA,2019-12-18
13,@KimKardashian,Kim Kardashian,62,Television personality and businesswoman,USA,2019-12-18
14,@selenagomez,Selena Gomez,59,Musician and actress,USA,2019-12-18
15,@twitter,Twitter,57,Social media platform,USA,2019-12-18
16,@britneyspears,Britney Spears,56,Musician,USA,2019-12-18
17,@cnnbrk,CNN Breaking News,56,News channel,USA,2019-12-18
18,@narendramodi,Narendra Modi,52,Current Prime Minister of India,IND,2019-12-18
19,@shakira,Shakira,52,Musician,COL,2019-12-18
20,@jimmyfallon,Jimmy Fallon,51,Comedian,USA,2019-12-18
21,@BillGates,Bill Gates,49,Businessman and philanthropist,USA,2019-12-18
22,@neymarjr,Neymar,45,Footballer,BRA,2019-12-18
23,@nytimes,The New York Times,45,Newspaper,USA,2019-12-18
24,@MileyCyrus,Miley Cyrus,45,Musician and actress,USA,2019-12-18
25,@JLo,Jennifer Lopez,44,Musician and actress,USA,2019-12-18
26,@KingJames,LeBron James,44,Basketball player,USA,2019-12-18
27,@CNN,CNN,44,News channel,USA,2019-12-18
28,@BrunoMars,Bruno Mars,43,Musician,USA,2019-12-18
29,@Oprah,Oprah Winfrey,43,Television personality and businesswoman,USA,2019-12-18
30,@BBCBreaking,BBC Breaking News,41,News channel,UK,2019-12-18
31,@NiallOfficial,Niall Horan,39,Musician,IRE,2019-12-18
32,@iamsrk,Shah Rukh Khan,39,Actor and film producer,IND,2019-12-18
33,@SrBachchan,Amitabh Bachchan,39,Actor,IND,2019-12-18
34,@Drake,Drake,39,Rapper,CAN,2019-12-18
35,@BeingSalmanKhan,Salman Khan,39,Actor and film producer,IND,2019-12-18
36,@instagram,Instagram,36,Social media platform,USA,2019-12-18
37,@SportsCenter,SportsCenter,36,Sports channel,USA,2019-12-18
38,@KevinHart4real,Kevin Hart,36,Comedian and actor,USA,2019-12-18
39,@wizkhalifa,Wiz Khalifa,35,Rapper,USA,2019-12-18
40,@espn,ESPN,35,Sports channel,USA,2019-12-18
41,@LilTunechi,Lil Wayne,34,Rapper,USA,2019-12-18
42,@NASA,NASA,34,Space agency,USA,2019-12-18
43,@Harry_Styles,Harry Styles,34,Musician,UK,2019-12-18
44,@Louis_Tomlinson,Louis Tomlinson,33,Musician,UK,2019-12-18
45,@realmadrid,Real Madrid CF,33,Football club,ESP,2019-12-18
46,@akshaykumar,Akshay Kumar,33,Actor,IND,2019-12-18
47,@LiamPayne,Liam Payne,33,Musician,UK,2019-12-18
48,@imVkohli,Virat Kohli,33,Cricketer,IND,2019-12-18
49,@Pink,P!nk,32,Musician,USA,2019-12-18
50,@FCBarcelona,FC Barcelona,31,Football club,ESP,2019-12-18
