id,keywords,cast,director
862,"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']","['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter
8844,"['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']","['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']",Joe Johnston
15602,"['fishing', 'best friend', 'duringcreditsstinger', 'old men']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']",Howard Deutch
31357,"['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",Forest Whitaker
11862,"['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']","['Steve Martin', 'Diane Keaton', 'Martin Short']",Charles Shyer
949,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']","['Al Pacino', 'Robert De Niro', 'Val Kilmer']",Michael Mann
11860,"['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']",Sydney Pollack
45325,[],"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook']",Peter Hewitt
9091,"['terrorist', 'hostage', 'explosive', 'vice president']","['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']",Peter Hyams
710,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",Martin Campbell
9087,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox']",Rob Reiner
12110,"['dracula', 'spoof']","['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck']",Mel Brooks
21032,"['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",Simon Wells
10858,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",Oliver Stone
